frame,time_s,timestamp,tracking_time_ms,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
0,0.0,1784291468.0319998,1707.4973999988288,nan,nan,nan,nan,nan,nan,0,0,nan,133,0,0,1,133,0,0,0,0,0,0
1,0.03333333333333333,1784291468.0653331,436.5398999998433,nan,nan,nan,nan,nan,nan,0,0,nan,136,0,0,2,133,0,124,0,0,0,0
2,0.06666666666666667,1784291468.0986664,105.31129999981204,nan,nan,nan,nan,nan,nan,0,0,nan,133,0,0,3,133,124,124,0,0,0,0
3,0.1,1784291468.1319997,115.48650000077032,nan,nan,nan,nan,nan,nan,0,0,nan,141,0,0,4,133,124,123,0,0,0,0
4,0.13333333333333333,1784291468.1653333,123.68640000022424,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,131,0,126,5,133,126,95,126,1,1,1
5,0.16666666666666666,1784291468.1986666,131.73679999999877,-1.1213303048286676,-0.41169146923293454,-0.16215208255619018,-0.06746814985863431,-0.08332995784202195,-0.7361774156087582,65,26,0.4,89,1,88,0,0,0,0,214,1,2,1
6,0.2,1784291468.2319999,140.47560000108206,nan,nan,nan,nan,nan,nan,83,13,0.1566265060240964,81,0,0,0,0,0,0,214,0,2,0
7,0.23333333333333334,1784291468.2653332,149.42660000087926,nan,nan,nan,nan,nan,nan,70,16,0.22857142857142856,73,0,0,0,0,0,0,214,0,2,0
8,0.26666666666666666,1784291468.2986665,146.1946999988868,nan,nan,nan,nan,nan,nan,75,12,0.16,79,0,0,0,0,0,0,214,0,2,0
9,0.3,1784291468.3319998,175.24319999938598,nan,nan,nan,nan,nan,nan,75,19,0.25333333333333335,63,0,0,0,0,0,0,214,0,2,0
10,0.3333333333333333,1784291468.365333,138.4291000013036,nan,nan,nan,nan,nan,nan,79,18,0.22784810126582278,77,0,0,0,0,0,0,214,0,2,0
11,0.36666666666666664,1784291468.3986664,132.98439999925904,nan,nan,nan,nan,nan,nan,81,18,0.2222222222222222,65,0,0,0,0,0,0,214,0,2,0
12,0.4,1784291468.432,132.58200000018405,nan,nan,nan,nan,nan,nan,72,17,0.2361111111111111,75,0,0,0,0,0,0,214,0,2,0
13,0.43333333333333335,1784291468.4653332,135.73840000026394,nan,nan,nan,nan,nan,nan,72,12,0.16666666666666666,73,0,0,0,0,0,0,214,0,2,0
14,0.4666666666666667,1784291468.4986665,199.48250000015832,-2.3399044820238473,-1.022052680065869,0.4659578458297915,-0.8141711736628826,0.4751217713311026,-0.5496938512339585,73,33,0.4520547945205479,74,0,74,0,0,0,0,288,1,3,1
15,0.5,1784291468.5319998,204.23520000076678,nan,nan,nan,nan,nan,nan,81,19,0.2345679012345679,53,0,0,0,0,0,0,288,0,3,0
16,0.5333333333333333,1784291468.5653331,251.02250000054482,-4.0303407121233334,-2.1928509221930597,1.1785251062638622,-1.1517172605066655,0.9407960908812814,-1.2700343711093833,84,26,0.30952380952380953,69,0,69,0,0,0,0,357,1,4,1
17,0.5666666666666667,1784291468.5986664,295.36169999846607,nan,nan,nan,nan,nan,nan,86,10,0.11627906976744186,61,0,0,0,0,0,0,357,0,4,0
18,0.6,1784291468.6319997,289.616300000489,-0.9709136650798698,-4.341593156305265,3.561846401201805,-0.06414375153630433,2.3442907104754203,-0.5761387706457194,90,23,0.25555555555555554,51,0,51,0,0,0,0,408,1,5,1
19,0.6333333333333333,1784291468.6653333,387.3546000013448,0.9592626856219653,-1.5549136602071059,2.0267148612975063,0.9193135572662574,0.8188919218275972,-0.46061335461572994,98,21,0.21428571428571427,59,0,59,0,0,0,0,467,1,6,1
20,0.6666666666666666,1784291468.6986666,311.0151999990194,nan,nan,nan,nan,nan,nan,85,17,0.2,62,0,0,0,0,0,0,467,0,6,0
21,0.7,1784291468.7319999,395.7943000004889,-2.3018037062276235,-3.5308989329705156,3.4383137450628993,-0.2663636452457678,1.9217193532465102,-0.9988809653048442,98,20,0.20408163265306123,48,0,0,0,0,0,0,467,0,6,1
22,0.7333333333333333,1784291468.7653332,295.6264000004012,nan,nan,nan,nan,nan,nan,82,12,0.14634146341463414,66,0,0,0,0,0,0,467,0,6,0
23,0.7666666666666667,1784291468.7986665,329.0913000000728,nan,nan,nan,nan,nan,nan,93,19,0.20430107526881722,52,0,0,0,0,0,0,467,0,6,0
24,0.8,1784291468.8319998,259.94189999983064,nan,nan,nan,nan,nan,nan,85,18,0.21176470588235294,44,0,0,0,0,0,0,467,0,6,0
25,0.8333333333333334,1784291468.865333,267.24560000002384,nan,nan,nan,nan,nan,nan,76,11,0.14473684210526316,52,0,0,0,0,0,0,467,0,6,0
26,0.8666666666666667,1784291468.8986664,217.56400000049325,nan,nan,nan,nan,nan,nan,76,12,0.15789473684210525,59,0,0,0,0,0,0,467,0,6,0
27,0.9,1784291468.932,442.2549999999319,nan,nan,nan,nan,nan,nan,65,8,0.12307692307692308,38,0,0,0,0,0,0,467,0,6,0
28,0.9333333333333333,1784291468.9653332,319.33810000009544,nan,nan,nan,nan,nan,nan,74,16,0.21621621621621623,67,0,0,0,0,0,0,467,0,6,0
29,0.9666666666666667,1784291468.9986665,289.93459999946936,nan,nan,nan,nan,nan,nan,63,9,0.14285714285714285,49,0,0,0,0,0,0,467,0,6,0
30,1.0,1784291469.0319998,356.48310000033234,nan,nan,nan,nan,nan,nan,61,10,0.16393442622950818,46,0,0,0,0,0,0,467,0,6,0
31,1.0333333333333334,1784291469.0653331,277.057600000262,nan,nan,nan,nan,nan,nan,58,13,0.22413793103448276,57,0,0,0,0,0,0,467,0,6,0
32,1.0666666666666667,1784291469.0986664,340.8573999986402,nan,nan,nan,nan,nan,nan,59,10,0.1694915254237288,47,0,0,0,0,0,0,467,0,6,0
33,1.1,1784291469.1319997,230.3781999999046,nan,nan,nan,nan,nan,nan,50,13,0.26,58,0,0,0,0,0,0,467,0,6,0
34,1.1333333333333333,1784291469.1653333,267.09500000106345,nan,nan,nan,nan,nan,nan,64,13,0.203125,57,0,0,0,0,0,0,467,0,6,0
35,1.1666666666666667,1784291469.1986666,302.3391000006086,nan,nan,nan,nan,nan,nan,59,6,0.1016949152542373,47,0,0,0,0,0,0,467,0,6,0
36,1.2,1784291469.2319999,313.0601000011666,nan,nan,nan,nan,nan,nan,49,11,0.22448979591836735,51,0,0,0,0,0,0,467,0,6,0
37,1.2333333333333334,1784291469.2653332,224.63999999854423,nan,nan,nan,nan,nan,nan,56,7,0.125,66,0,0,0,0,0,0,467,0,6,0
38,1.2666666666666666,1784291469.2986665,249.2880999998306,nan,nan,nan,nan,nan,nan,54,10,0.18518518518518517,72,0,0,0,0,0,0,467,0,6,0
39,1.3,1784291469.3319998,351.07500000049185,nan,nan,nan,nan,nan,nan,58,6,0.10344827586206896,59,0,0,0,0,0,0,467,0,6,0
40,1.3333333333333333,1784291469.365333,363.64659999890137,nan,nan,nan,nan,nan,nan,51,7,0.13725490196078433,53,0,0,0,0,0,0,467,0,6,0
41,1.3666666666666667,1784291469.3986664,338.01110000058543,nan,nan,nan,nan,nan,nan,60,8,0.13333333333333333,68,0,0,0,0,0,0,467,0,6,0
42,1.4,1784291469.432,271.576000001005,nan,nan,nan,nan,nan,nan,52,0,0.0,63,0,0,0,0,0,0,467,0,6,0
43,1.4333333333333333,1784291469.4653332,271.69040000080713,nan,nan,nan,nan,nan,nan,47,5,0.10638297872340426,72,0,0,0,0,0,0,467,0,6,0
44,1.4666666666666666,1784291469.4986665,300.8337000010215,nan,nan,nan,nan,nan,nan,55,0,0.0,63,0,0,0,0,0,0,467,0,6,0
45,1.5,1784291469.5319998,229.38880000037898,nan,nan,nan,nan,nan,nan,55,5,0.09090909090909091,52,0,0,0,0,0,0,467,0,6,0
46,1.5333333333333334,1784291469.5653331,298.3708000010665,nan,nan,nan,nan,nan,nan,38,0,0.0,66,0,0,0,0,0,0,467,0,6,0
47,1.5666666666666667,1784291469.5986664,386.90410000162956,nan,nan,nan,nan,nan,nan,43,0,0.0,64,0,0,0,0,0,0,467,0,6,0
48,1.6,1784291469.6319997,329.1079999999056,nan,nan,nan,nan,nan,nan,45,5,0.1111111111111111,57,0,0,0,0,0,0,467,0,6,0
49,1.6333333333333333,1784291469.6653333,470.1554000002943,nan,nan,nan,nan,nan,nan,44,0,0.0,55,0,0,0,0,0,0,467,0,6,0
50,1.6666666666666667,1784291469.6986666,387.43569999860483,nan,nan,nan,nan,nan,nan,47,0,0.0,55,0,0,0,0,0,0,467,0,6,0
51,1.7,1784291469.7319999,354.25799999939045,nan,nan,nan,nan,nan,nan,36,0,0.0,66,0,0,0,0,0,0,467,0,6,0
52,1.7333333333333334,1784291469.7653332,300.490899999204,nan,nan,nan,nan,nan,nan,35,5,0.14285714285714285,56,0,0,0,0,0,0,467,0,6,0
53,1.7666666666666666,1784291469.7986665,245.51830000018526,nan,nan,nan,nan,nan,nan,36,0,0.0,65,0,0,0,0,0,0,467,0,6,0
54,1.8,1784291469.8319998,310.9246999993047,nan,nan,nan,nan,nan,nan,39,0,0.0,58,0,0,0,0,0,0,467,0,6,0
55,1.8333333333333333,1784291469.865333,411.6716999997152,nan,nan,nan,nan,nan,nan,37,0,0.0,71,0,0,0,0,0,0,467,0,6,0
56,1.8666666666666667,1784291469.8986664,438.5192999998253,nan,nan,nan,nan,nan,nan,32,0,0.0,68,0,0,0,0,0,0,467,0,6,0
57,1.9,1784291469.932,476.809100000537,nan,nan,nan,nan,nan,nan,38,0,0.0,34,0,0,0,0,0,0,467,0,6,0
58,1.9333333333333333,1784291469.9653332,548.7054999994143,nan,nan,nan,nan,nan,nan,37,0,0.0,55,0,0,0,0,0,0,467,0,6,0
59,1.9666666666666666,1784291469.9986665,584.3016999988322,nan,nan,nan,nan,nan,nan,30,0,0.0,52,0,0,0,0,0,0,467,0,6,0
60,2.0,1784291470.0319998,481.1195999991469,nan,nan,nan,nan,nan,nan,31,0,0.0,53,0,0,0,0,0,0,467,0,6,0
61,2.033333333333333,1784291470.0653331,448.1988999996247,nan,nan,nan,nan,nan,nan,34,0,0.0,58,0,0,0,0,0,0,467,0,6,0
62,2.066666666666667,1784291470.0986664,438.45990000045276,nan,nan,nan,nan,nan,nan,24,0,nan,54,0,0,0,0,0,0,467,0,6,0
63,2.1,1784291470.1319997,414.70099999969534,nan,nan,nan,nan,nan,nan,32,5,0.15625,49,0,0,0,0,0,0,467,0,6,0
64,2.1333333333333333,1784291470.1653333,286.319499999081,nan,nan,nan,nan,nan,nan,24,0,nan,49,0,0,0,0,0,0,467,0,6,0
65,2.1666666666666665,1784291470.1986666,339.1566000009334,nan,nan,nan,nan,nan,nan,23,0,nan,63,0,0,0,0,0,0,467,0,6,0
66,2.2,1784291470.2319999,350.6288000007771,nan,nan,nan,nan,nan,nan,23,0,nan,48,0,0,0,0,0,0,467,0,6,0
67,2.2333333333333334,1784291470.2653332,333.03929999965476,nan,nan,nan,nan,nan,nan,22,0,nan,55,0,0,0,0,0,0,467,0,6,0
68,2.2666666666666666,1784291470.2986665,333.74519999961194,nan,nan,nan,nan,nan,nan,24,0,nan,52,0,0,0,0,0,0,467,0,6,0
69,2.3,1784291470.3319998,305.87849999938044,nan,nan,nan,nan,nan,nan,18,0,nan,42,0,0,0,0,0,0,467,0,6,0
70,2.3333333333333335,1784291470.365333,359.4202000003861,nan,nan,nan,nan,nan,nan,23,0,nan,38,0,0,0,0,0,0,467,0,6,0
71,2.3666666666666667,1784291470.3986664,249.86899999930756,nan,nan,nan,nan,nan,nan,23,0,nan,44,0,0,0,0,0,0,467,0,6,0
72,2.4,1784291470.432,363.81319999964035,nan,nan,nan,nan,nan,nan,22,0,nan,46,0,0,0,0,0,0,467,0,6,0
73,2.433333333333333,1784291470.4653332,367.4862000007124,nan,nan,nan,nan,nan,nan,19,0,nan,35,0,0,0,0,0,0,467,0,6,0
74,2.466666666666667,1784291470.4986665,353.283399999782,nan,nan,nan,nan,nan,nan,18,0,nan,53,0,0,0,0,0,0,467,0,6,0
75,2.5,1784291470.5319998,369.66560000109894,nan,nan,nan,nan,nan,nan,16,0,nan,51,0,0,0,0,0,0,467,0,6,0
76,2.533333333333333,1784291470.5653331,360.0274999989779,nan,nan,nan,nan,nan,nan,17,0,nan,46,0,0,0,0,0,0,467,0,6,0
77,2.566666666666667,1784291470.5986664,386.295300000711,nan,nan,nan,nan,nan,nan,20,0,nan,44,0,0,0,0,0,0,467,0,6,0
78,2.6,1784291470.6319997,335.994799999753,nan,nan,nan,nan,nan,nan,16,0,nan,51,0,0,0,0,0,0,467,0,6,0
79,2.6333333333333333,1784291470.6653333,345.8626000010554,nan,nan,nan,nan,nan,nan,15,0,nan,61,0,0,0,0,0,0,467,0,6,0
80,2.6666666666666665,1784291470.6986666,292.5952999994479,nan,nan,nan,nan,nan,nan,15,0,nan,52,0,0,0,0,0,0,467,0,6,0
81,2.7,1784291470.7319999,286.9318999983079,nan,nan,nan,nan,nan,nan,20,0,nan,60,0,0,0,0,0,0,467,0,6,0
82,2.7333333333333334,1784291470.7653332,379.2734000016935,nan,nan,nan,nan,nan,nan,20,0,nan,52,0,0,0,0,0,0,467,0,6,0
83,2.7666666666666666,1784291470.7986665,301.489200001015,nan,nan,nan,nan,nan,nan,9,0,nan,63,0,0,0,0,0,0,467,0,6,0
84,2.8,1784291470.8319998,346.86879999935627,nan,nan,nan,nan,nan,nan,11,0,nan,52,0,0,0,0,0,0,467,0,6,0
85,2.8333333333333335,1784291470.865333,290.39969999939785,nan,nan,nan,nan,nan,nan,17,0,nan,59,0,0,0,0,0,0,467,0,6,0
86,2.8666666666666667,1784291470.8986664,262.516400000095,nan,nan,nan,nan,nan,nan,6,0,nan,68,0,0,0,0,0,0,467,0,6,0
87,2.9,1784291470.932,355.65869999845745,nan,nan,nan,nan,nan,nan,15,0,nan,67,0,0,0,0,0,0,467,0,6,0
88,2.933333333333333,1784291470.9653332,307.8996999993251,nan,nan,nan,nan,nan,nan,11,0,nan,66,0,0,0,0,0,0,467,0,6,0
89,2.966666666666667,1784291470.9986665,304.4315999995888,nan,nan,nan,nan,nan,nan,7,0,nan,63,0,0,0,0,0,0,467,0,6,0
90,3.0,1784291471.0319998,247.08769999961078,nan,nan,nan,nan,nan,nan,9,0,nan,54,0,0,0,0,0,0,467,0,6,0
91,3.033333333333333,1784291471.0653331,223.51850000086415,nan,nan,nan,nan,nan,nan,5,0,nan,57,0,0,0,0,0,0,467,0,6,0
92,3.066666666666667,1784291471.0986664,278.65100000053644,nan,nan,nan,nan,nan,nan,9,0,nan,54,0,0,0,0,0,0,467,0,6,0
93,3.1,1784291471.1319997,143.71489999939513,nan,nan,nan,nan,nan,nan,3,0,nan,70,0,0,0,0,0,0,467,0,6,0
94,3.1333333333333333,1784291471.1653333,306.1017999989417,nan,nan,nan,nan,nan,nan,7,0,nan,75,0,0,0,0,0,0,467,0,6,0
95,3.1666666666666665,1784291471.1986666,216.9174999999086,nan,nan,nan,nan,nan,nan,6,0,nan,57,0,0,0,0,0,0,467,0,6,0
96,3.2,1784291471.2319999,295.95700000027136,nan,nan,nan,nan,nan,nan,6,0,nan,37,0,0,0,0,0,0,467,0,6,0
97,3.2333333333333334,1784291471.2653332,260.53030000002764,nan,nan,nan,nan,nan,nan,9,0,nan,50,0,0,0,0,0,0,467,0,6,0
98,3.2666666666666666,1784291471.2986665,296.628399999463,nan,nan,nan,nan,nan,nan,4,0,nan,75,0,0,0,0,0,0,467,0,6,0
99,3.3,1784291471.3319998,178.68199999975332,nan,nan,nan,nan,nan,nan,6,0,nan,73,0,0,0,0,0,0,467,0,6,0
100,3.3333333333333335,1784291471.365333,337.99270000054094,nan,nan,nan,nan,nan,nan,6,0,nan,74,0,0,0,0,0,0,467,0,6,0
101,3.3666666666666667,1784291471.3986664,224.85530000085419,nan,nan,nan,nan,nan,nan,2,0,nan,53,0,0,0,0,0,0,467,0,6,0
102,3.4,1784291471.432,248.56960000033723,nan,nan,nan,nan,nan,nan,4,0,nan,51,0,0,0,0,0,0,467,0,6,0
103,3.433333333333333,1784291471.4653332,289.6976000010909,nan,nan,nan,nan,nan,nan,6,0,nan,41,0,0,0,0,0,0,467,0,6,0
104,3.466666666666667,1784291471.4986665,256.3970999999583,nan,nan,nan,nan,nan,nan,8,0,nan,46,0,0,0,0,0,0,467,0,6,0
105,3.5,1784291471.5319998,269.2384000001766,nan,nan,nan,nan,nan,nan,3,0,nan,62,0,0,0,0,0,0,467,0,6,0
106,3.533333333333333,1784291471.5653331,151.82000000095286,nan,nan,nan,nan,nan,nan,7,0,nan,49,0,0,0,0,0,0,467,0,6,0
107,3.566666666666667,1784291471.5986664,199.4208999985858,nan,nan,nan,nan,nan,nan,4,0,nan,58,0,0,0,0,0,0,467,0,6,0
108,3.6,1784291471.6319997,301.63330000141286,nan,nan,nan,nan,nan,nan,4,0,nan,57,0,0,0,0,0,0,467,0,6,0
109,3.6333333333333333,1784291471.6653333,266.89600000099745,nan,nan,nan,nan,nan,nan,4,0,nan,53,0,0,0,0,0,0,467,0,6,0
110,3.6666666666666665,1784291471.6986666,223.5677000007854,nan,nan,nan,nan,nan,nan,5,0,nan,57,0,0,0,0,0,0,467,0,6,0
111,3.7,1784291471.7319999,316.63490000028105,nan,nan,nan,nan,nan,nan,5,0,nan,56,0,0,0,0,0,0,467,0,6,0
112,3.7333333333333334,1784291471.7653332,266.2921999999526,nan,nan,nan,nan,nan,nan,4,0,nan,52,0,0,0,0,0,0,467,0,6,0
113,3.7666666666666666,1784291471.7986665,190.86840000090888,nan,nan,nan,nan,nan,nan,5,0,nan,57,0,0,0,0,0,0,467,0,6,0
114,3.8,1784291471.8319998,246.6828999986319,nan,nan,nan,nan,nan,nan,6,0,nan,56,0,0,0,0,0,0,467,0,6,0
115,3.8333333333333335,1784291471.865333,262.29500000044936,nan,nan,nan,nan,nan,nan,8,0,nan,41,0,0,0,0,0,0,467,0,6,0
116,3.8666666666666667,1784291471.8986664,300.67330000019865,nan,nan,nan,nan,nan,nan,15,0,nan,69,0,0,0,0,0,0,467,0,6,0
117,3.9,1784291471.932,311.1384000003454,nan,nan,nan,nan,nan,nan,12,0,nan,53,0,0,0,0,0,0,467,0,6,0
118,3.933333333333333,1784291471.9653332,327.4987999993755,nan,nan,nan,nan,nan,nan,14,0,nan,51,0,0,0,0,0,0,467,0,6,0
119,3.966666666666667,1784291471.9986665,228.34819999843603,nan,nan,nan,nan,nan,nan,6,0,nan,61,0,0,0,0,0,0,467,0,6,0
120,4.0,1784291472.0319998,309.03480000051786,nan,nan,nan,nan,nan,nan,13,0,nan,61,0,0,0,0,0,0,467,0,6,0
121,4.033333333333333,1784291472.0653331,345.22950000064156,nan,nan,nan,nan,nan,nan,7,0,nan,55,0,0,0,0,0,0,467,0,6,0
122,4.066666666666666,1784291472.0986664,379.57269999969867,nan,nan,nan,nan,nan,nan,15,0,nan,39,0,0,0,0,0,0,467,0,6,0
123,4.1,1784291472.1319997,450.00050000089686,nan,nan,nan,nan,nan,nan,14,0,nan,47,0,0,0,0,0,0,467,0,6,0
124,4.133333333333334,1784291472.1653333,404.107299998941,nan,nan,nan,nan,nan,nan,18,0,nan,52,0,0,0,0,0,0,467,0,6,0
125,4.166666666666667,1784291472.1986666,339.2722999997204,nan,nan,nan,nan,nan,nan,16,0,nan,59,0,0,0,0,0,0,467,0,6,0
126,4.2,1784291472.2319999,339.85950000169396,nan,nan,nan,nan,nan,nan,9,0,nan,43,0,0,0,0,0,0,467,0,6,0
127,4.233333333333333,1784291472.2653332,351.8320000002859,nan,nan,nan,nan,nan,nan,22,0,nan,45,0,0,0,0,0,0,467,0,6,0
128,4.266666666666667,1784291472.2986665,344.6875000008731,nan,nan,nan,nan,nan,nan,9,0,nan,62,0,0,0,0,0,0,467,0,6,0
129,4.3,1784291472.3319998,278.0545000005077,nan,nan,nan,nan,nan,nan,18,0,nan,59,0,0,0,0,0,0,467,0,6,0
130,4.333333333333333,1784291472.365333,230.50710000097752,nan,nan,nan,nan,nan,nan,9,0,nan,55,0,0,0,0,0,0,467,0,6,0
131,4.366666666666666,1784291472.3986664,336.1585999991803,nan,nan,nan,nan,nan,nan,19,0,nan,47,0,0,0,0,0,0,467,0,6,0
132,4.4,1784291472.432,331.3393000007636,nan,nan,nan,nan,nan,nan,16,0,nan,46,0,0,0,0,0,0,467,0,6,0
133,4.433333333333334,1784291472.4653332,330.3448999995453,nan,nan,nan,nan,nan,nan,15,0,nan,50,0,0,0,0,0,0,467,0,6,0
134,4.466666666666667,1784291472.4986665,426.61779999980354,nan,nan,nan,nan,nan,nan,13,0,nan,62,0,0,0,0,0,0,467,0,6,0
135,4.5,1784291472.5319998,411.30840000005264,nan,nan,nan,nan,nan,nan,15,0,nan,60,0,0,0,0,0,0,467,0,6,0
