frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
0,0.0,1784291923.2129998,nan,nan,nan,nan,nan,nan,0,0,nan,199,0,0,1,199,0,0,0,0,0,0
1,0.03333333333333333,1784291923.2463331,nan,nan,nan,nan,nan,nan,0,0,nan,201,0,0,2,199,0,186,0,0,0,0
2,0.06666666666666667,1784291923.2796664,nan,nan,nan,nan,nan,nan,0,0,nan,201,0,0,3,199,184,186,0,0,0,0
3,0.1,1784291923.3129997,nan,nan,nan,nan,nan,nan,0,0,nan,191,0,0,4,199,186,172,0,0,0,0
4,0.13333333333333333,1784291923.3463333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,209,0,149,5,199,187,94,149,1,1,1
5,0.16666666666666666,1784291923.3796666,nan,nan,nan,nan,nan,nan,90,8,0.08888888888888889,121,0,0,0,0,0,0,149,0,1,0
6,0.2,1784291923.4129999,nan,nan,nan,nan,nan,nan,73,9,0.1232876712328767,140,0,0,0,0,0,0,149,0,1,0
7,0.23333333333333334,1784291923.4463332,nan,nan,nan,nan,nan,nan,79,8,0.10126582278481013,122,0,0,0,0,0,0,149,0,1,0
8,0.26666666666666666,1784291923.4796665,nan,nan,nan,nan,nan,nan,78,8,0.10256410256410256,117,0,0,0,0,0,0,149,0,1,0
9,0.3,1784291923.5129998,nan,nan,nan,nan,nan,nan,76,8,0.10526315789473684,124,0,0,0,0,0,0,149,0,1,0
10,0.3333333333333333,1784291923.546333,nan,nan,nan,nan,nan,nan,81,9,0.1111111111111111,113,0,0,0,0,0,0,149,0,1,0
11,0.36666666666666664,1784291923.5796664,nan,nan,nan,nan,nan,nan,74,8,0.10810810810810811,110,0,0,0,0,0,0,149,0,1,0
12,0.4,1784291923.613,nan,nan,nan,nan,nan,nan,75,7,0.09333333333333334,123,0,0,0,0,0,0,149,0,1,0
13,0.43333333333333335,1784291923.6463332,nan,nan,nan,nan,nan,nan,78,8,0.10256410256410256,121,0,0,0,0,0,0,149,0,1,0
14,0.4666666666666667,1784291923.6796665,nan,nan,nan,nan,nan,nan,78,7,0.08974358974358974,133,0,0,0,0,0,0,149,0,1,0
15,0.5,1784291923.7129998,nan,nan,nan,nan,nan,nan,85,7,0.08235294117647059,103,0,0,0,0,0,0,149,0,1,0
16,0.5333333333333333,1784291923.7463331,nan,nan,nan,nan,nan,nan,77,9,0.11688311688311688,122,0,0,0,0,0,0,149,0,1,0
17,0.5666666666666667,1784291923.7796664,nan,nan,nan,nan,nan,nan,78,10,0.1282051282051282,124,0,0,0,0,0,0,149,0,1,0
18,0.6,1784291923.8129997,nan,nan,nan,nan,nan,nan,74,10,0.13513513513513514,137,0,0,0,0,0,0,149,0,1,0
19,0.6333333333333333,1784291923.8463333,nan,nan,nan,nan,nan,nan,75,7,0.09333333333333334,116,0,0,0,0,0,0,149,0,1,0
20,0.6666666666666666,1784291923.8796666,nan,nan,nan,nan,nan,nan,76,7,0.09210526315789473,119,0,0,0,0,0,0,149,0,1,0
21,0.7,1784291923.9129999,nan,nan,nan,nan,nan,nan,79,9,0.11392405063291139,121,0,0,0,0,0,0,149,0,1,0
22,0.7333333333333333,1784291923.9463332,nan,nan,nan,nan,nan,nan,81,9,0.1111111111111111,122,0,0,0,0,0,0,149,0,1,0
23,0.7666666666666667,1784291923.9796665,nan,nan,nan,nan,nan,nan,79,7,0.08860759493670886,127,0,0,0,0,0,0,149,0,1,0
24,0.8,1784291924.0129998,nan,nan,nan,nan,nan,nan,68,8,0.11764705882352941,111,0,0,0,0,0,0,149,0,1,0
25,0.8333333333333334,1784291924.046333,nan,nan,nan,nan,nan,nan,72,8,0.1111111111111111,130,0,0,0,0,0,0,149,0,1,0
26,0.8666666666666667,1784291924.0796664,nan,nan,nan,nan,nan,nan,62,0,0.0,126,0,0,0,0,0,0,149,0,1,0
27,0.9,1784291924.113,nan,nan,nan,nan,nan,nan,63,0,0.0,116,0,0,0,0,0,0,149,0,1,0
28,0.9333333333333333,1784291924.1463332,nan,nan,nan,nan,nan,nan,56,0,0.0,129,0,0,0,0,0,0,149,0,1,0
29,0.9666666666666667,1784291924.1796665,nan,nan,nan,nan,nan,nan,51,0,0.0,113,0,0,0,0,0,0,149,0,1,0
30,1.0,1784291924.2129998,nan,nan,nan,nan,nan,nan,50,0,0.0,123,0,0,0,0,0,0,149,0,1,0
31,1.0333333333333334,1784291924.2463331,nan,nan,nan,nan,nan,nan,41,0,0.0,131,0,0,0,0,0,0,149,0,1,0
32,1.0666666666666667,1784291924.2796664,nan,nan,nan,nan,nan,nan,35,0,0.0,142,0,0,0,0,0,0,149,0,1,0
33,1.1,1784291924.3129997,nan,nan,nan,nan,nan,nan,35,0,0.0,123,0,0,0,0,0,0,149,0,1,0
34,1.1333333333333333,1784291924.3463333,nan,nan,nan,nan,nan,nan,30,0,0.0,138,0,0,0,0,0,0,149,0,1,0
35,1.1666666666666667,1784291924.3796666,nan,nan,nan,nan,nan,nan,37,5,0.13513513513513514,168,0,0,0,0,0,0,149,0,1,0
36,1.2,1784291924.4129999,nan,nan,nan,nan,nan,nan,35,0,0.0,178,0,0,0,0,0,0,149,0,1,0
37,1.2333333333333334,1784291924.4463332,nan,nan,nan,nan,nan,nan,33,0,0.0,189,0,0,0,0,0,0,149,0,1,0
38,1.2666666666666666,1784291924.4796665,nan,nan,nan,nan,nan,nan,27,0,nan,187,0,0,0,0,0,0,149,0,1,0
39,1.3,1784291924.5129998,nan,nan,nan,nan,nan,nan,32,0,0.0,186,0,0,0,0,0,0,149,0,1,0
40,1.3333333333333333,1784291924.546333,nan,nan,nan,nan,nan,nan,35,0,0.0,202,0,0,0,0,0,0,149,0,1,0
41,1.3666666666666667,1784291924.5796664,nan,nan,nan,nan,nan,nan,33,0,0.0,210,0,0,0,0,0,0,149,0,1,0
42,1.4,1784291924.613,nan,nan,nan,nan,nan,nan,28,0,nan,215,0,0,0,0,0,0,149,0,1,0
43,1.4333333333333333,1784291924.6463332,nan,nan,nan,nan,nan,nan,34,0,0.0,225,0,0,0,0,0,0,149,0,1,0
44,1.4666666666666666,1784291924.6796665,nan,nan,nan,nan,nan,nan,32,0,0.0,232,0,0,0,0,0,0,149,0,1,0
45,1.5,1784291924.7129998,nan,nan,nan,nan,nan,nan,19,0,nan,225,0,0,0,0,0,0,149,0,1,0
46,1.5333333333333334,1784291924.7463331,nan,nan,nan,nan,nan,nan,25,0,nan,239,0,0,0,0,0,0,149,0,1,0
47,1.5666666666666667,1784291924.7796664,nan,nan,nan,nan,nan,nan,26,0,nan,241,0,0,0,0,0,0,149,0,1,0
48,1.6,1784291924.8129997,nan,nan,nan,nan,nan,nan,21,0,nan,265,0,0,0,0,0,0,149,0,1,0
49,1.6333333333333333,1784291924.8463333,nan,nan,nan,nan,nan,nan,21,0,nan,275,0,0,0,0,0,0,149,0,1,0
