frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
0,0.0,1784291923.2129998,nan,nan,nan,nan,nan,nan,0,0,nan,327,0,0,1,327,0,0,0,0,0,0
1,0.03333333333333333,1784291923.2463331,nan,nan,nan,nan,nan,nan,0,0,nan,332,0,0,2,327,0,311,0,0,0,0
2,0.06666666666666667,1784291923.2796664,nan,nan,nan,nan,nan,nan,0,0,nan,325,0,0,3,327,304,306,0,0,0,0
3,0.1,1784291923.3129997,nan,nan,nan,nan,nan,nan,0,0,nan,319,0,0,4,327,307,288,0,0,0,0
4,0.13333333333333333,1784291923.3463333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,360,0,250,5,327,308,163,250,1,1,1
5,0.16666666666666666,1784291923.3796666,nan,nan,nan,nan,nan,nan,158,18,0.11392405063291139,208,0,0,0,0,0,0,250,0,1,0
6,0.2,1784291923.4129999,nan,nan,nan,nan,nan,nan,130,16,0.12307692307692308,222,0,0,0,0,0,0,250,0,1,0
7,0.23333333333333334,1784291923.4463332,nan,nan,nan,nan,nan,nan,140,17,0.12142857142857143,191,0,0,0,0,0,0,250,0,1,0
8,0.26666666666666666,1784291923.4796665,nan,nan,nan,nan,nan,nan,144,19,0.13194444444444445,199,0,0,0,0,0,0,250,0,1,0
9,0.3,1784291923.5129998,nan,nan,nan,nan,nan,nan,140,14,0.1,195,0,0,0,0,0,0,250,0,1,0
10,0.3333333333333333,1784291923.546333,1.4490001104055281,1.2157663185625474,-1.1312162273589692,-0.9294969332893133,-1.8872724362070177,-0.3194486776039398,143,21,0.14685314685314685,200,0,0,0,0,0,0,250,0,1,1
11,0.36666666666666664,1784291923.5796664,nan,nan,nan,nan,nan,nan,141,19,0.1347517730496454,194,0,0,0,0,0,0,250,0,1,0
12,0.4,1784291923.613,nan,nan,nan,nan,nan,nan,144,19,0.13194444444444445,204,0,0,0,0,0,0,250,0,1,0
13,0.43333333333333335,1784291923.6463332,nan,nan,nan,nan,nan,nan,137,16,0.11678832116788321,193,0,0,0,0,0,0,250,0,1,0
14,0.4666666666666667,1784291923.6796665,nan,nan,nan,nan,nan,nan,145,16,0.1103448275862069,212,0,0,0,0,0,0,250,0,1,0
15,0.5,1784291923.7129998,nan,nan,nan,nan,nan,nan,151,17,0.11258278145695365,189,0,0,0,0,0,0,250,0,1,0
16,0.5333333333333333,1784291923.7463331,nan,nan,nan,nan,nan,nan,142,18,0.1267605633802817,206,0,0,0,0,0,0,250,0,1,0
17,0.5666666666666667,1784291923.7796664,nan,nan,nan,nan,nan,nan,142,18,0.1267605633802817,201,0,0,0,0,0,0,250,0,1,0
18,0.6,1784291923.8129997,nan,nan,nan,nan,nan,nan,137,18,0.13138686131386862,213,0,0,0,0,0,0,250,0,1,0
19,0.6333333333333333,1784291923.8463333,-0.44387301852702166,2.1606287202056746,-0.680998064690165,-2.0979727745021886,0.1461908678083417,-0.11216450751836242,140,22,0.15714285714285714,209,0,0,0,0,0,0,250,0,1,1
20,0.6666666666666666,1784291923.8796666,nan,nan,nan,nan,nan,nan,139,19,0.1366906474820144,206,0,0,0,0,0,0,250,0,1,0
21,0.7,1784291923.9129999,-2.1910488553768133,4.058465657854766,-0.4268431566231712,-4.338733037299813,2.240021800527695,-0.3025467659255973,146,21,0.14383561643835616,209,0,0,0,0,0,0,250,0,1,1
22,0.7333333333333333,1784291923.9463332,nan,nan,nan,nan,nan,nan,139,18,0.12949640287769784,216,0,0,0,0,0,0,250,0,1,0
23,0.7666666666666667,1784291923.9796665,nan,nan,nan,nan,nan,nan,139,18,0.12949640287769784,212,0,0,0,0,0,0,250,0,1,0
24,0.8,1784291924.0129998,nan,nan,nan,nan,nan,nan,133,16,0.12030075187969924,189,0,0,0,0,0,0,250,0,1,0
25,0.8333333333333334,1784291924.046333,nan,nan,nan,nan,nan,nan,123,12,0.0975609756097561,223,0,0,0,0,0,0,250,0,1,0
26,0.8666666666666667,1784291924.0796664,nan,nan,nan,nan,nan,nan,102,9,0.08823529411764706,209,0,0,0,0,0,0,250,0,1,0
27,0.9,1784291924.113,nan,nan,nan,nan,nan,nan,109,0,0.0,192,0,0,0,0,0,0,250,0,1,0
28,0.9333333333333333,1784291924.1463332,nan,nan,nan,nan,nan,nan,109,0,0.0,229,0,0,0,0,0,0,250,0,1,0
29,0.9666666666666667,1784291924.1796665,nan,nan,nan,nan,nan,nan,91,0,0.0,199,0,0,0,0,0,0,250,0,1,0
30,1.0,1784291924.2129998,nan,nan,nan,nan,nan,nan,78,5,0.0641025641025641,233,0,0,0,0,0,0,250,0,1,0
31,1.0333333333333334,1784291924.2463331,nan,nan,nan,nan,nan,nan,82,0,0.0,231,0,0,0,0,0,0,250,0,1,0
32,1.0666666666666667,1784291924.2796664,nan,nan,nan,nan,nan,nan,76,0,0.0,272,0,0,0,0,0,0,250,0,1,0
33,1.1,1784291924.3129997,nan,nan,nan,nan,nan,nan,77,0,0.0,237,0,0,0,0,0,0,250,0,1,0
34,1.1333333333333333,1784291924.3463333,nan,nan,nan,nan,nan,nan,70,0,0.0,255,0,0,0,0,0,0,250,0,1,0
35,1.1666666666666667,1784291924.3796666,nan,nan,nan,nan,nan,nan,65,6,0.09230769230769231,292,0,0,0,0,0,0,250,0,1,0
36,1.2,1784291924.4129999,nan,nan,nan,nan,nan,nan,69,0,0.0,288,0,0,0,0,0,0,250,0,1,0
37,1.2333333333333334,1784291924.4463332,nan,nan,nan,nan,nan,nan,69,6,0.08695652173913043,316,0,0,0,0,0,0,250,0,1,0
38,1.2666666666666666,1784291924.4796665,nan,nan,nan,nan,nan,nan,66,0,0.0,283,0,0,0,0,0,0,250,0,1,0
39,1.3,1784291924.5129998,nan,nan,nan,nan,nan,nan,70,5,0.07142857142857142,301,0,0,0,0,0,0,250,0,1,0
