rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
01/01/2000,01:28:10.20,16.35,-53.92,-862.91,87.50,-761.25,-323.75,1,0.0,
01/01/2000,01:28:10.21,16.96,-55.14,-885.96,148.75,-612.50,-332.50,1,100.0,
01/01/2000,01:28:10.23,17.32,-56.49,-904.75,183.75,-638.75,-376.25,1,100.0,
01/01/2000,01:28:10.24,17.45,-57.10,-915.49,183.75,-735.0,-192.50,1,100.0,
01/01/2000,01:28:10.25,17.81,-57.83,-925.00,96.25,-708.75,-315.0,1,100.0,
01/01/2000,01:28:10.26,17.93,-58.44,-937.20,192.50,-752.50,-350.0,1,100.0,
01/01/2000,01:28:10.27,18.06,-59.05,-944.04,105.0,-577.50,-350.0,1,100.0,
01/01/2000,01:28:10.28,18.18,-59.17,-949.89,201.25,-595.0,-297.50,1,100.0,
01/01/2000,01:28:10.29,18.30,-59.66,-955.14,122.50,-656.25,-341.25,1,100.0,
01/01/2000,01:28:10.30,18.42,-59.90,-961.85,140.0,-778.75,-297.50,1,100.0,
01/01/2000,01:28:10.31,18.42,-60.15,-965.75,131.25,-761.25,-367.50,1,100.0,
01/01/2000,01:28:10.32,18.54,-60.27,-969.05,192.50,-656.25,-280.0,1,100.0,
01/01/2000,01:28:10.33,18.67,-60.51,-971.85,210.0,-700.0,-236.25,1,100.0,
01/01/2000,01:28:10.34,18.54,-60.76,-975.63,227.50,-700.0,-481.25,1,100.0,
01/01/2000,01:28:10.35,18.54,-61.0,-977.83,210.0,-586.25,-323.75,1,100.0,
01/01/2000,01:28:10.36,18.67,-61.24,-979.78,96.25,-726.25,-332.50,1,100.0,
01/01/2000,01:28:10.37,18.79,-61.24,-981.25,157.50,-656.25,-332.50,1,100.0,
01/01/2000,01:28:10.38,18.67,-61.24,-983.44,70.0,-726.25,-262.50,1,100.0,
01/01/2000,01:28:10.39,18.79,-61.49,-984.66,175.0,-726.25,-367.50,1,100.0,
01/01/2000,01:28:10.40,18.79,-61.49,-985.76,113.75,-682.50,-367.50,1,100.0,
01/01/2000,01:28:10.41,18.67,-61.73,-986.74,43.75,-647.50,-323.75,1,100.0,
01/01/2000,01:28:10.42,18.67,-61.73,-987.47,218.75,-813.75,-271.25,1,100.0,
01/01/2000,01:28:10.43,18.91,-61.73,-988.08,78.75,-787.50,-315.0,1,100.0,
01/01/2000,01:28:10.44,19.03,-61.61,-988.81,61.25,-603.75,-332.50,1,100.0,
01/01/2000,01:28:10.45,19.03,-61.73,-989.79,210.0,-717.50,-297.50,1,100.0,
01/01/2000,01:28:10.46,19.03,-61.61,-990.40,157.50,-551.25,-297.50,1,100.0,
01/01/2000,01:28:10.47,19.03,-61.73,-990.64,105.0,-735.0,-393.75,1,100.0,
01/01/2000,01:28:10.48,19.03,-61.73,-991.01,122.50,-691.25,-402.50,1,96.552,
01/01/2000,01:28:10.49,19.03,-61.73,-991.01,183.75,-612.50,-332.50,1,96.667,
01/01/2000,01:28:10.50,19.03,-61.61,-991.37,122.50,-682.50,-332.50,1,96.774,
01/01/2000,01:28:10.51,18.91,-61.85,-991.86,157.50,-665.0,-332.50,1,96.875,
01/01/2000,01:28:10.52,18.79,-61.98,-992.10,122.50,-603.75,-350.0,1,96.970,
01/01/2000,01:28:10.53,18.79,-61.85,-992.10,288.75,-726.25,-315.0,1,97.059,
01/01/2000,01:28:10.55,19.03,-61.73,-991.98,78.75,-761.25,-315.0,1,97.143,
01/01/2000,01:28:10.56,19.03,-61.85,-991.86,280.0,-805.0,-271.25,1,97.222,
01/01/2000,01:28:10.57,18.91,-61.98,-992.10,140.0,-533.75,-437.50,1,97.297,
01/01/2000,01:28:10.58,19.03,-61.85,-992.35,262.50,-691.25,-315.0,1,97.368,
01/01/2000,01:28:10.59,18.91,-61.73,-992.59,236.25,-708.75,-315.0,1,97.436,
01/01/2000,01:28:10.60,18.91,-61.85,-992.59,271.25,-673.75,-323.75,1,97.500,
01/01/2000,01:28:10.61,18.91,-61.85,-992.59,157.50,-673.75,-323.75,1,97.561,
01/01/2000,01:28:10.62,19.03,-61.98,-992.35,271.25,-560.0,-367.50,1,97.619,
01/01/2000,01:28:10.63,19.15,-62.22,-992.59,140.0,-621.25,-350.0,1,95.455,
01/01/2000,01:28:10.64,19.03,-62.34,-992.71,218.75,-708.75,-376.25,1,95.556,
01/01/2000,01:28:10.65,19.15,-62.10,-992.71,113.75,-778.75,-332.50,1,95.652,
01/01/2000,01:28:10.66,19.03,-61.98,-992.59,218.75,-682.50,-271.25,1,95.745,
01/01/2000,01:28:10.67,19.03,-61.98,-992.47,105.0,-665.0,-288.75,1,95.833,
01/01/2000,01:28:10.68,18.91,-61.98,-992.47,210.0,-682.50,-280.0,1,95.918,
01/01/2000,01:28:10.70,19.03,-61.98,-992.71,131.25,-665.0,-350.0,1,96.0,
01/01/2000,01:28:10.71,19.03,-61.98,-992.71,122.50,-586.25,-262.50,1,96.078,
01/01/2000,01:28:10.72,19.03,-61.73,-992.59,70.0,-665.0,-350.0,1,96.154,
01/01/2000,01:28:10.73,19.03,-61.73,-992.59,183.75,-638.75,-323.75,1,96.226,
01/01/2000,01:28:10.74,19.28,-61.73,-992.84,175.0,-717.50,-376.25,1,96.296,
01/01/2000,01:28:10.75,19.28,-61.85,-992.96,210.0,-612.50,-358.75,1,96.364,
01/01/2000,01:28:10.76,19.28,-61.85,-992.96,201.25,-735.0,-306.25,1,94.737,
01/01/2000,01:28:10.77,19.15,-61.85,-992.84,288.75,-665.0,-411.25,1,94.828,
01/01/2000,01:28:10.78,19.03,-61.73,-992.84,140.0,-717.50,-297.50,1,94.915,
01/01/2000,01:28:10.79,19.28,-61.85,-992.84,175.0,-743.75,-236.25,1,95.0,
01/01/2000,01:28:10.80,19.15,-61.85,-992.84,192.50,-665.0,-315.0,1,95.082,
01/01/2000,01:28:10.81,19.03,-61.85,-992.59,227.50,-673.75,-376.25,1,95.161,
01/01/2000,01:28:10.82,19.03,-61.73,-992.59,166.25,-638.75,-411.25,1,95.238,
01/01/2000,01:28:10.84,19.15,-61.73,-992.84,262.50,-682.50,-201.25,1,95.313,
01/01/2000,01:28:10.85,19.15,-61.73,-992.84,175.0,-656.25,-411.25,1,95.385,
01/01/2000,01:28:10.86,19.15,-61.73,-992.84,175.0,-796.25,-437.50,1,95.455,
01/01/2000,01:28:10.87,19.03,-61.73,-992.84,210.0,-778.75,-420.0,1,95.522,
01/01/2000,01:28:10.88,19.15,-61.73,-992.84,87.50,-708.75,-236.25,1,95.588,
01/01/2000,01:28:10.89,19.28,-61.73,-992.96,131.25,-778.75,-402.50,1,95.652,
01/01/2000,01:28:10.90,19.28,-61.73,-992.84,78.75,-796.25,-358.75,1,95.714,
01/01/2000,01:28:10.91,19.28,-61.98,-992.84,210.0,-621.25,-350.0,1,95.775,
01/01/2000,01:28:10.92,19.15,-61.98,-992.84,236.25,-665.0,-393.75,1,95.833,
01/01/2000,01:28:10.93,19.03,-61.98,-992.71,218.75,-595.0,-332.50,1,95.890,
01/01/2000,01:28:10.94,19.03,-61.98,-992.59,113.75,-630.0,-297.50,1,95.946,
01/01/2000,01:28:10.95,19.03,-61.98,-992.47,61.25,-700.0,-350.0,1,96.0,
01/01/2000,01:28:10.96,19.03,-61.98,-992.59,148.75,-691.25,-402.50,1,96.053,
01/01/2000,01:28:10.98,19.15,-61.85,-992.96,245.0,-612.50,-253.75,1,94.872,
01/01/2000,01:28:10.99,19.28,-61.73,-993.08,122.50,-796.25,-253.75,1,94.937,
01/01/2000,01:28:11.00,19.03,-62.22,-992.84,192.50,-638.75,-315.0,1,95.0,
