rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
01/01/2000,01:43:28.88,11.59,-66.98,-863.03,236.25,-682.50,-315.0,1,0.0,
01/01/2000,01:43:28.89,11.96,-69.05,-892.31,210.0,-682.50,-341.25,1,100.0,
01/01/2000,01:43:28.90,11.96,-70.03,-904.39,245.0,-691.25,-271.25,1,100.0,
01/01/2000,01:43:28.91,12.08,-70.76,-915.24,148.75,-665.0,-411.25,1,100.0,
01/01/2000,01:43:28.92,12.20,-71.98,-928.79,210.0,-761.25,-332.50,1,100.0,
01/01/2000,01:43:28.93,12.32,-72.47,-936.47,157.50,-603.75,-446.25,1,100.0,
01/01/2000,01:43:28.94,12.44,-72.96,-943.30,113.75,-691.25,-271.25,1,100.0,
01/01/2000,01:43:28.95,12.44,-73.69,-951.84,192.50,-726.25,-420.0,1,100.0,
01/01/2000,01:43:28.96,12.44,-74.05,-956.97,140.0,-770.0,-323.75,1,100.0,
01/01/2000,01:43:28.97,12.69,-74.42,-961.36,245.0,-700.0,-385.0,1,100.0,
01/01/2000,01:43:28.98,12.69,-74.66,-965.26,166.25,-638.75,-367.50,1,100.0,
01/01/2000,01:43:28.99,12.81,-74.79,-968.56,201.25,-647.50,-306.25,1,100.0,
01/01/2000,01:43:29.00,12.81,-75.03,-972.71,122.50,-603.75,-376.25,1,100.0,
01/01/2000,01:43:29.02,12.93,-75.15,-975.15,87.50,-656.25,-262.50,1,100.0,
01/01/2000,01:43:29.03,12.93,-75.64,-977.46,175.0,-595.0,-323.75,1,100.0,
01/01/2000,01:43:29.04,12.93,-75.88,-980.15,70.0,-656.25,-385.0,1,100.0,
01/01/2000,01:43:29.05,12.81,-75.88,-981.61,113.75,-595.0,-253.75,1,100.0,
01/01/2000,01:43:29.06,12.93,-75.88,-983.08,210.0,-708.75,-332.50,1,100.0,
01/01/2000,01:43:29.07,12.93,-75.88,-984.17,245.0,-612.50,-323.75,1,100.0,
01/01/2000,01:43:29.08,12.93,-76.01,-985.27,140.0,-612.50,-341.25,1,100.0,
01/01/2000,01:43:29.09,13.05,-76.25,-986.61,105.0,-621.25,-245.0,1,100.0,
01/01/2000,01:43:29.10,13.05,-76.13,-987.47,0.0,-595.0,-428.75,1,100.0,
01/01/2000,01:43:29.11,12.93,-76.25,-988.20,245.0,-682.50,-402.50,1,100.0,
01/01/2000,01:43:29.12,13.18,-76.13,-988.93,52.50,-656.25,-271.25,1,100.0,
01/01/2000,01:43:29.13,13.18,-76.37,-989.42,253.75,-673.75,-253.75,1,100.0,
01/01/2000,01:43:29.14,13.18,-76.62,-989.79,140.0,-647.50,-297.50,1,100.0,
01/01/2000,01:43:29.15,13.42,-76.86,-990.27,210.0,-700.0,-455.0,1,100.0,
01/01/2000,01:43:29.16,13.18,-76.74,-990.64,140.0,-743.75,-288.75,1,100.0,
01/01/2000,01:43:29.17,13.18,-76.62,-990.88,183.75,-656.25,-245.0,1,100.0,
01/01/2000,01:43:29.18,13.18,-76.62,-991.13,122.50,-726.25,-341.25,1,100.0,
01/01/2000,01:43:29.19,13.18,-76.86,-991.25,140.0,-673.75,-306.25,1,100.0,
01/01/2000,01:43:29.20,13.18,-76.86,-991.37,201.25,-752.50,-437.50,1,100.0,
01/01/2000,01:43:29.21,13.18,-76.86,-991.62,183.75,-656.25,-341.25,1,100.0,
01/01/2000,01:43:29.22,13.18,-76.86,-991.62,210.0,-700.0,-315.0,1,100.0,
01/01/2000,01:43:29.23,13.05,-76.74,-991.62,166.25,-770.0,-358.75,1,97.222,
01/01/2000,01:43:29.25,13.18,-76.62,-991.74,166.25,-700.0,-323.75,1,97.297,
01/01/2000,01:43:29.25,12.93,-76.74,-991.86,253.75,-673.75,-341.25,1,97.368,
01/01/2000,01:43:29.27,13.05,-76.86,-992.10,87.50,-603.75,-350.0,1,97.436,
01/01/2000,01:43:29.28,12.93,-76.86,-991.98,105.0,-673.75,-297.50,1,97.500,
01/01/2000,01:43:29.29,12.93,-76.74,-991.86,96.25,-743.75,-315.0,1,97.561,
01/01/2000,01:43:29.30,12.93,-76.86,-991.86,-52.50,-717.50,-350.0,1,97.619,
01/01/2000,01:43:29.31,13.05,-76.86,-991.86,157.50,-700.0,-358.75,1,97.674,
01/01/2000,01:43:29.32,13.05,-76.86,-992.10,140.0,-647.50,-358.75,1,97.727,
01/01/2000,01:43:29.33,13.18,-76.86,-992.10,140.0,-708.75,-358.75,1,97.778,
01/01/2000,01:43:29.34,13.18,-76.86,-992.23,218.75,-778.75,-332.50,1,97.826,
01/01/2000,01:43:29.35,13.18,-76.74,-992.10,201.25,-595.0,-350.0,1,97.872,
01/01/2000,01:43:29.36,13.18,-76.86,-992.10,183.75,-665.0,-376.25,1,97.917,
01/01/2000,01:43:29.37,13.05,-76.86,-992.35,210.0,-787.50,-350.0,1,96.0,
01/01/2000,01:43:29.38,13.05,-76.86,-992.23,183.75,-743.75,-350.0,1,96.078,
01/01/2000,01:43:29.40,13.05,-76.86,-992.35,175.0,-603.75,-350.0,1,96.154,
01/01/2000,01:43:29.41,13.05,-76.86,-992.23,183.75,-778.75,-315.0,1,96.226,
01/01/2000,01:43:29.42,12.93,-77.10,-991.98,201.25,-691.25,-411.25,1,96.296,
01/01/2000,01:43:29.43,13.05,-77.10,-992.10,218.75,-708.75,-323.75,1,96.364,
01/01/2000,01:43:29.44,12.93,-76.98,-992.10,78.75,-665.0,-323.75,1,96.429,
01/01/2000,01:43:29.45,13.05,-76.86,-992.35,43.75,-630.0,-323.75,1,96.491,
01/01/2000,01:43:29.46,13.05,-76.98,-992.35,157.50,-708.75,-332.50,1,96.552,
01/01/2000,01:43:29.47,13.18,-76.98,-992.35,140.0,-761.25,-288.75,1,96.610,
01/01/2000,01:43:29.48,13.30,-76.98,-992.23,175.0,-770.0,-323.75,1,96.667,
01/01/2000,01:43:29.49,13.42,-76.86,-992.35,-17.50,-726.25,-253.75,1,96.721,
01/01/2000,01:43:29.50,13.54,-76.86,-992.35,113.75,-761.25,-288.75,1,96.774,
01/01/2000,01:43:29.51,13.42,-76.86,-992.47,96.25,-472.50,-367.50,1,96.825,
01/01/2000,01:43:29.52,13.30,-76.74,-992.35,122.50,-586.25,-385.0,1,96.875,
01/01/2000,01:43:29.53,13.42,-76.62,-992.23,113.75,-682.50,-367.50,1,96.923,
01/01/2000,01:43:29.54,13.42,-76.86,-992.10,210.0,-673.75,-376.25,1,96.970,
01/01/2000,01:43:29.55,13.42,-76.86,-992.10,157.50,-647.50,-288.75,1,97.015,
01/01/2000,01:43:29.56,13.18,-76.86,-991.98,218.75,-752.50,-428.75,1,97.059,
01/01/2000,01:43:29.57,13.18,-76.86,-991.86,280.0,-665.0,-332.50,1,97.101,
01/01/2000,01:43:29.58,13.18,-76.86,-991.86,96.25,-673.75,-376.25,1,95.775,
01/01/2000,01:43:29.59,13.30,-76.74,-991.74,148.75,-708.75,-271.25,1,95.833,
01/01/2000,01:43:29.60,13.30,-76.74,-991.74,131.25,-743.75,-323.75,1,95.890,
01/01/2000,01:43:29.61,13.18,-76.86,-991.74,70.0,-673.75,-393.75,1,95.946,
01/01/2000,01:43:29.62,13.05,-76.86,-991.74,122.50,-682.50,-358.75,1,96.0,
01/01/2000,01:43:29.63,13.05,-76.86,-991.74,280.0,-595.0,-332.50,1,96.053,
01/01/2000,01:43:29.65,13.05,-76.62,-991.86,70.0,-638.75,-236.25,1,96.104,
01/01/2000,01:43:29.66,12.93,-76.49,-991.86,131.25,-630.0,-323.75,1,96.154,
01/01/2000,01:43:29.67,12.93,-76.62,-991.86,236.25,-700.0,-350.0,1,96.203,
01/01/2000,01:43:29.68,13.18,-76.74,-991.74,210.0,-682.50,-420.0,1,96.250,
01/01/2000,01:43:29.69,13.05,-76.62,-991.86,157.50,-717.50,-455.0,1,96.296,
01/01/2000,01:43:29.70,12.93,-76.62,-991.74,105.0,-743.75,-402.50,1,96.341,
01/01/2000,01:43:29.71,12.93,-76.62,-991.74,70.0,-708.75,-358.75,1,96.386,
01/01/2000,01:43:29.72,12.93,-76.49,-991.74,96.25,-673.75,-262.50,1,96.429,
01/01/2000,01:43:29.73,13.05,-76.62,-991.74,157.50,-656.25,-271.25,1,96.471,
01/01/2000,01:43:29.74,13.05,-76.86,-991.86,192.50,-700.0,-358.75,1,96.512,
01/01/2000,01:43:29.75,13.18,-76.62,-991.86,166.25,-665.0,-350.0,1,96.552,
01/01/2000,01:43:29.76,13.18,-76.62,-991.74,245.0,-656.25,-332.50,1,96.591,
