timestamp,x,y,z,r
1784216406.9000,330.0000,0.0000,105.0000,105.0000
1784216406.9651,330.0000,0.0000,105.0000,105.0000
1784216407.0280,330.0000,0.0000,105.0000,105.0000
1784216407.0777,330.0000,0.0000,105.0000,105.0000
1784216407.1372,330.0000,0.0000,105.0000,105.0000
1784216407.1893,330.0000,0.0000,105.0000,105.0000
1784216407.2413,330.0000,0.0000,105.0000,105.0000
1784216407.3141,330.0000,0.0000,105.0000,105.0000
1784216407.3576,330.0000,0.0000,105.0000,105.0000
1784216407.4128,330.0000,0.0000,105.0000,105.0000
1784216407.4694,329.9999,0.0000,104.9993,105.0000
1784216407.5309,329.9883,0.0000,104.8886,105.0000
1784216407.5977,329.9202,0.0000,104.2418,105.0000
1784216407.6695,329.7838,0.0000,102.9462,105.0000
1784216407.7318,329.6226,0.0000,101.4149,105.0000
1784216407.7812,329.4659,0.0000,99.9265,105.0000
1784216407.8454,329.2652,0.0000,98.0193,105.0000
1784216407.8884,329.1522,0.0000,96.9456,105.0000
1784216407.9338,328.9890,0.0000,95.3948,105.0000
1784216407.9901,328.8131,0.0000,93.7247,105.0000
1784216408.0453,328.6373,0.0000,92.0545,105.0000
1784216408.0982,328.4741,0.0000,90.5037,105.0000
1784216408.1693,328.2480,0.0000,88.3564,105.0000
1784216408.2250,328.0722,0.0000,86.6862,105.0000
1784216408.2892,327.8713,0.0000,84.7775,105.0000
1784216408.3535,327.6704,0.0000,82.8688,105.0000
1784216408.4298,327.4319,0.0000,80.6022,105.0000
1784216408.4935,327.2309,0.0000,78.6935,105.0000
1784216408.5441,327.0677,0.0000,77.1426,105.0000
1784216408.6003,326.8918,0.0000,75.4725,105.0000
1784216408.6854,326.6281,0.0000,72.9673,105.0000
1784216408.7251,326.5026,0.0000,71.7743,105.0000
1784216408.7854,326.3142,0.0000,69.9849,105.0000
1784216408.8534,326.1007,0.0000,67.9569,105.0000
1784216408.9015,325.9500,0.0000,66.5253,105.0000
1784216408.9575,325.7742,0.0000,64.8552,105.0000
1784216409.0171,325.5859,0.0000,63.0658,105.0000
1784216409.0698,325.4226,0.0000,61.5149,105.0000
1784216409.1368,325.2091,0.0000,59.4869,105.0000
1784216409.2007,325.0334,0.0000,57.8168,105.0000
1784216409.2533,324.8450,0.0000,56.0273,105.0000
1784216409.3286,324.6315,0.0000,53.9993,105.0000
1784216409.3818,324.4431,0.0000,52.2099,105.0000
1784216409.4368,324.2673,0.0000,50.5398,105.0000
1784216409.5018,324.0664,0.0000,48.6310,105.0000
1784216409.5535,323.9031,0.0000,47.0802,105.0000
1784216409.6375,323.6646,0.0000,44.8136,105.0000
1784216409.6687,323.5390,0.0000,43.6206,105.0000
1784216409.7210,323.3758,0.0000,42.0698,105.0000
1784216409.7819,323.1874,0.0000,40.2803,105.0000
1784216409.8495,322.9739,0.0000,38.2523,105.0000
1784216409.8894,322.8484,0.0000,37.0594,105.0000
1784216409.9494,322.6600,0.0000,35.2700,105.0000
1784216410.0054,322.4842,0.0000,33.5998,105.0000
1784216410.0774,322.2581,0.0000,31.4525,105.0000
1784216410.1330,322.0823,0.0000,29.7824,105.0000
1784216410.2132,321.8312,0.0000,27.3964,105.0000
1784216410.2775,321.6303,0.0000,25.4877,105.0000
1784216410.3384,321.4545,0.0000,23.8176,105.0000
1784216410.3936,321.2661,0.0000,22.0282,105.0000
1784216410.4654,321.0401,0.0000,19.8808,105.0000
1784216410.5368,320.8141,0.0000,17.7335,105.0000
1784216410.5807,320.6759,0.0000,16.4213,105.0000
1784216410.6375,320.5001,0.0000,14.7511,105.0000
1784216410.6933,320.3293,0.0000,13.1287,105.0000
1784216410.7653,320.1570,0.0000,11.4914,105.0000
1784216410.8016,320.0921,0.0000,10.8743,105.0000
1784216410.8731,320.0231,0.0000,10.2190,105.0000
1784216410.9289,320.0035,0.0000,10.0338,105.0000
1784216411.0023,320.0000,0.0000,10.0000,105.0000
1784216411.0691,320.0000,0.0000,10.0000,105.0000
1784216411.1400,320.0000,0.0000,10.0000,105.0000
1784216411.1967,320.0000,0.0000,10.0000,105.0000
1784216411.2536,320.0000,0.0000,10.0000,105.0000
1784216411.3298,320.0000,0.0000,10.0000,105.0000
1784216411.3878,320.0000,0.0000,10.0000,105.0000
1784216411.4375,320.0000,0.0000,10.0000,105.0000
1784216411.4976,320.0000,0.0000,10.0000,105.0000
1784216411.5543,320.0000,0.0000,10.0000,105.0000
1784216411.6262,320.0000,0.0000,10.0000,105.0000
1784216411.6693,320.0000,0.0000,10.0000,105.0000
1784216411.7373,320.0000,0.0000,10.0000,105.0000
1784216411.7934,320.0000,0.0000,10.0000,105.0000
1784216411.8524,320.0000,0.0000,10.0000,105.0000
1784216411.9044,320.0000,0.0000,10.0000,105.0000
1784216411.9574,320.0000,0.0000,10.0000,105.0000
1784216412.0210,320.0000,0.0000,10.0000,105.0000
1784216412.0817,320.0000,0.0000,10.0000,105.0000
1784216412.1534,320.0000,0.0000,10.0000,105.0000
1784216412.2050,320.0000,0.0000,10.0000,105.0000
1784216412.2534,320.0000,0.0000,10.0000,105.0000
1784216412.3107,320.0000,0.0000,10.0000,105.0000
1784216412.3663,320.0000,0.0000,10.0000,105.0000
1784216412.4375,320.0000,0.0000,10.0000,105.0000
1784216412.4850,320.0000,0.0000,10.0000,105.0000
1784216412.5452,320.0000,0.0000,10.0000,105.0000
1784216412.5977,320.0000,0.0000,10.0000,105.0000
1784216412.6532,320.0000,0.0000,10.0000,105.0000
1784216412.7048,320.0000,0.0000,10.0000,105.0000
1784216412.7613,320.0000,0.0000,10.0000,105.0000
1784216412.8210,320.0000,0.0000,10.0000,105.0000
1784216412.8886,320.0006,0.0000,10.0000,105.0000
1784216412.9532,320.1120,0.0000,10.0000,105.0000
1784216412.9965,320.5317,0.0000,10.0000,105.0000
1784216413.0555,321.3035,0.0000,10.0000,105.0000
1784216413.1016,322.3536,0.0000,10.0000,105.0000
1784216413.1643,323.9367,0.0000,10.0000,105.0000
1784216413.2379,325.9376,0.0000,10.0000,105.0000
1784216413.2947,328.0960,0.0000,10.0000,105.0000
1784216413.3642,330.0146,0.0000,10.0000,105.0000
1784216413.4220,331.6934,0.0000,10.0000,105.0000
1784216413.4692,333.1323,0.0000,10.0000,105.0000
1784216413.5130,334.4513,0.0000,10.0000,105.0000
1784216413.5711,336.2500,0.0000,10.0000,105.0000
1784216413.6331,338.0487,0.0000,10.0000,105.0000
1784216413.7014,340.0872,0.0000,10.0000,105.0000
1784216413.7565,341.7660,0.0000,10.0000,105.0000
1784216413.8289,343.9244,0.0000,10.0000,105.0000
1784216413.8857,345.6031,0.0000,10.0000,105.0000
1784216413.9504,347.5217,0.0000,10.0000,105.0000
1784216413.9968,348.9607,0.0000,10.0000,105.0000
1784216414.0539,350.6394,0.0000,10.0000,105.0000
1784216414.1141,352.4381,0.0000,10.0000,105.0000
1784216414.1693,354.1169,0.0000,10.0000,105.0000
1784216414.2381,356.2753,0.0000,10.0000,105.0000
1784216414.2816,357.4744,0.0000,10.0000,105.0000
1784216414.3298,358.9134,0.0000,10.0000,105.0000
1784216414.3993,360.9519,0.0000,10.0000,105.0000
1784216414.4513,362.3909,0.0000,10.0000,105.0000
1784216414.5003,364.0696,0.0000,10.0000,105.0000
1784216414.5454,365.3886,0.0000,10.0000,105.0000
1784216414.6169,367.5470,0.0000,10.0000,105.0000
1784216414.6575,368.7462,0.0000,10.0000,105.0000
1784216414.7050,370.3050,0.0000,10.0000,105.0000
1784216414.7538,371.6241,0.0000,10.0000,105.0000
1784216414.8218,373.6626,0.0000,10.0000,105.0000
1784216414.8711,375.2214,0.0000,10.0000,105.0000
1784216414.9289,376.9002,0.0000,10.0000,105.0000
1784216415.0013,379.0586,0.0000,10.0000,105.0000
1784216415.0378,380.1378,0.0000,10.0000,105.0000
1784216415.1110,382.1763,0.0000,10.0000,105.0000
1784216415.1574,383.7352,0.0000,10.0000,105.0000
1784216415.2255,385.7737,0.0000,10.0000,105.0000
1784216415.2685,387.0927,0.0000,10.0000,105.0000
1784216415.3396,389.2511,0.0000,10.0000,105.0000
1784216415.4023,390.8100,0.0000,10.0000,105.0000
1784216415.4535,392.6087,0.0000,10.0000,105.0000
1784216415.5132,394.4073,0.0000,10.0000,105.0000
1784216415.5575,395.7256,0.0000,10.0000,105.0000
1784216415.6140,397.2928,0.0000,10.0000,105.0000
1784216415.6710,398.5901,0.0000,10.0000,105.0000
1784216415.7212,399.3458,0.0000,10.0000,105.0000
1784216415.7993,399.8524,0.0000,10.0000,105.0000
1784216415.8808,399.9997,0.0000,10.0000,105.0000
1784216415.9373,400.0000,0.0000,10.0000,105.0000
