timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784291923.211878300,01/01/2000,00:25:55.82,-1005.86,-31.25,-5.37,1.44,-0.52,-1.74,60.0,30.60,52.20,31.24,13.30,986.74,-51.85,113.75,-402.50,-306.25,1,53.403
1784291923.225876093,01/01/2000,00:25:55.84,-1013.18,-19.04,-23.44,0.29,0.02,-0.32,58.65,32.40,51.15,31.38,13.54,986.74,-51.48,8.75,-472.50,-350.0,1,53.403
1784291923.263384342,01/01/2000,00:25:55.87,-1003.42,8.30,17.58,2.14,2.69,-0.03,57.90,28.80,54.15,31.48,14.15,985.88,-51.97,236.25,-315.0,-288.75,1,53.403
1784291923.297384262,01/01/2000,00:25:55.91,-1009.77,-15.63,23.93,-0.02,-1.05,-0.41,58.95,30.60,51.75,31.24,13.54,985.52,-51.97,52.50,-393.75,-288.75,1,53.403
1784291923.323384762,01/01/2000,00:25:55.93,-1014.65,-25.39,58.11,-2.23,-0.25,0.38,60.0,31.05,52.50,31.53,14.27,985.39,-51.97,17.50,-568.75,-131.25,1,53.403
1784291923.344077110,01/01/2000,00:25:55.95,-1012.21,-13.18,-42.48,2.40,1.47,3.01,57.15,31.20,52.35,31.38,13.66,985.52,-51.97,70.0,-630.0,-323.75,1,53.402
1784291923.364591599,01/01/2000,00:25:55.97,-1019.04,-21.48,9.77,-1.68,-2.41,2.31,59.70,31.35,52.20,31.14,13.66,985.39,-51.97,218.75,-542.50,-227.50,1,53.402
1784291923.382548571,01/01/2000,00:25:55.99,-985.35,-25.39,61.52,0.60,0.93,-1.30,59.55,30.75,50.40,31.24,13.54,985.39,-52.09,96.25,-393.75,-350.0,1,53.402
1784291923.417251825,01/01/2000,00:25:56.03,-1061.04,-14.16,-0.49,-0.37,-0.66,-0.51,57.60,31.95,53.10,31.38,14.03,985.39,-51.97,35.0,-542.50,-227.50,1,53.403
1784291923.444241524,01/01/2000,00:25:56.05,-1008.79,-22.95,58.11,0.46,-1.88,-0.28,57.90,31.20,53.10,31.48,13.66,985.39,-51.97,148.75,-586.25,-280.0,1,53.403
