timestamp,data
1784211413.7441063,"01/01/2000,02:44:34.53,-888.67,-73.73,-452.15,2.72,0.37,-1.65,87.0,65.25,-12.45,28.08,-1000.03,-20.50,6.10,218.75,-953.75,-341.25,1,52.531,"
1784211413.7677279,"01/01/2000,02:44:34.55,-898.44,-90.82,-452.15,0.82,-1.75,-1.82,85.65,63.45,-11.10,27.98,-1000.03,-20.50,6.10,306.25,-831.25,-271.25,1,52.507,"
1784211413.7923124,"01/01/2000,02:44:34.57,-885.25,-97.17,-447.75,0.26,1.18,-0.05,84.45,62.25,-9.60,28.22,-1000.16,-20.50,6.10,358.75,-857.50,-323.75,1,52.505,"
1784211413.808293,"01/01/2000,02:44:34.59,-897.95,-77.15,-461.43,-0.44,-0.96,1.54,85.95,64.65,-12.60,28.41,-1000.40,-20.50,6.10,315.0,-866.25,-411.25,1,52.503,"
1784211413.8276284,"01/01/2000,02:44:34.61,-903.32,-88.38,-451.17,1.84,0.56,0.27,86.10,63.30,-12.15,28.08,-1000.16,-20.50,6.34,253.75,-910.0,-210.0,1,52.523,"
1784211413.842338,"01/01/2000,02:44:34.63,-889.16,-98.14,-441.41,-0.22,-0.83,-1.95,84.75,63.90,-12.60,27.84,-1000.16,-20.62,6.10,315.0,-831.25,-367.50,1,52.521,"
1784211413.8761086,"01/01/2000,02:44:34.67,-896.97,-87.40,-459.96,0.18,-1.63,1.07,85.65,65.40,-13.05,28.32,-1000.16,-20.50,6.10,253.75,-805.0,-315.0,1,52.517,"
1784211413.900848,"01/01/2000,02:44:34.68,-895.51,-95.70,-464.84,1.60,0.15,1.52,85.95,65.40,-12.60,27.98,-1000.16,-20.37,6.10,192.50,-831.25,-288.75,1,52.514,"
1784211413.9201276,"01/01/2000,02:44:34.71,-886.23,-96.19,-453.61,0.02,-1.91,-0.09,84.45,62.25,-9.30,28.37,-1000.28,-20.50,6.10,105.0,-673.75,-271.25,1,52.512,"
1784211413.940302,"01/01/2000,02:44:34.72,-905.27,-88.38,-456.54,2.11,0.02,-0.25,85.35,64.50,-12.90,28.17,-1000.40,-20.37,5.98,236.25,-796.25,-341.25,1,52.510,"
1784211413.9582002,"01/01/2000,02:44:34.74,-879.39,-87.40,-448.73,-2.13,-2.28,0.35,86.55,62.85,-10.95,28.22,-1000.52,-20.50,6.10,218.75,-813.75,-393.75,1,52.508,"
1784211413.975264,"01/01/2000,02:44:34.76,-890.14,-85.94,-448.73,0.81,1.62,0.69,85.80,63.30,-11.70,28.17,-1000.28,-20.50,6.34,131.25,-997.50,-341.25,1,52.528,"
1784211414.0012095,"01/01/2000,02:44:34.78,-884.77,-91.80,-452.15,1.43,-0.67,-1.82,85.80,64.50,-11.70,27.98,-1000.40,-20.37,6.10,245.0,-813.75,-297.50,1,52.526,"
1784211414.0173037,"01/01/2000,02:44:34.80,-894.53,-84.47,-451.17,1.72,0.76,-0.93,85.80,64.50,-11.70,27.98,-1000.40,-20.50,6.10,350.0,-962.50,-385.0,1,52.524,"
1784211414.0339408,"01/01/2000,02:44:34.81,-888.67,-88.38,-446.78,1.95,0.95,0.50,85.95,64.65,-11.85,28.22,-1000.52,-20.62,6.10,323.75,-822.50,-385.0,1,52.522,"
1784211414.050335,"01/01/2000,02:44:34.83,-892.58,-91.31,-446.29,1.16,0.72,0.03,86.40,63.90,-10.80,28.37,-1000.40,-20.74,6.10,131.25,-813.75,-367.50,1,52.519,"
1784211414.0674107,"01/01/2000,02:44:34.85,-881.84,-95.70,-455.08,3.74,-1.54,0.82,85.65,64.20,-11.85,28.41,-1000.52,-20.62,5.98,332.50,-787.50,-350.0,1,52.517,"
1784211414.08762,"01/01/2000,02:44:34.87,-888.67,-97.66,-449.71,1.85,1.16,0.19,85.80,64.05,-12.15,28.22,-1000.40,-20.62,5.98,218.75,-726.25,-280.0,1,52.515,"
1784211414.1062274,"01/01/2000,02:44:34.89,-902.34,-95.70,-451.66,2.45,-1.82,-0.11,85.80,64.80,-12.45,28.37,-1000.40,-20.74,6.10,236.25,-717.50,-385.0,1,52.535,"
1784211414.1390297,"01/01/2000,02:44:34.93,-893.07,-90.33,-455.08,0.71,0.37,-0.33,87.0,64.80,-11.70,27.98,-1000.28,-20.62,6.10,306.25,-822.50,-385.0,1,52.531,"
1784211414.159618,"01/01/2000,02:44:34.94,-893.07,-84.96,-445.31,0.45,1.53,0.44,87.0,64.80,-11.25,28.37,-1000.28,-20.74,5.86,218.75,-831.25,-262.50,1,52.529,"
1784211414.1807666,"01/01/2000,02:44:34.96,-902.34,-79.59,-452.15,0.63,-0.20,1.95,85.95,64.65,-12.60,28.37,-1000.28,-20.50,5.86,332.50,-831.25,-341.25,1,52.526,"
1784211414.1910808,"01/01/2000,02:44:34.98,-900.88,-94.73,-454.59,1.05,2.95,-0.12,86.10,64.50,-12.45,28.37,-1000.40,-20.62,5.98,341.25,-813.75,-341.25,1,52.524,"
1784211414.211971,"01/01/2000,02:44:35.00,-894.53,-87.40,-443.85,1.24,0.47,0.46,86.55,63.60,-11.25,28.08,-1000.40,-20.62,5.98,227.50,-927.50,-262.50,1,52.522,"
1784211414.2427824,"01/01/2000,02:44:35.02,-889.16,-83.98,-448.24,1.95,2.18,-2.37,85.65,63.90,-11.85,28.51,-1000.40,-20.62,6.22,236.25,-796.25,-280.0,1,52.542,"
1784211414.2531965,"01/01/2000,02:44:35.04,-892.58,-96.68,-458.50,-0.46,-0.12,-2.15,85.05,64.80,-12.15,28.32,-1000.40,-20.74,6.10,288.75,-831.25,-350.0,1,52.518,"
1784211414.2742398,"01/01/2000,02:44:35.06,-901.86,-94.73,-446.29,1.88,0.28,0.40,86.10,65.25,-11.25,28.32,-1000.40,-20.62,6.10,140.0,-840.0,-341.25,1,52.516,"
1784211414.3055954,"01/01/2000,02:44:35.09,-897.46,-80.08,-447.75,1.22,2.15,1.35,85.95,61.05,-8.85,28.37,-1000.28,-20.62,6.10,306.25,-848.75,-393.75,1,52.514,"
1784211414.3175619,"01/01/2000,02:44:35.10,-887.21,-94.73,-456.05,2.11,-0.41,-0.44,85.80,65.25,-11.70,28.22,-1000.16,-20.50,6.10,245.0,-857.50,-376.25,1,52.512,"
1784211414.3371758,"01/01/2000,02:44:35.12,-902.34,-92.77,-463.87,-0.65,-0.60,-0.73,86.55,63.60,-10.20,28.03,-1000.03,-20.50,6.10,262.50,-726.25,-358.75,1,52.510,"
1784211414.3682165,"01/01/2000,02:44:35.16,-894.53,-83.50,-454.10,-0.31,1.61,-1.51,86.40,64.20,-11.55,27.79,-1000.03,-20.62,5.98,227.50,-848.75,-280.0,1,52.527,"
1784211414.3990278,"01/01/2000,02:44:35.18,-898.93,-96.19,-451.17,0.97,-1.44,-0.31,84.75,64.65,-11.85,28.37,-1000.40,-20.62,5.98,210.0,-805.0,-315.0,1,52.525,"
