timestamp,data
1784211328.9490502,"01/01/2000,02:43:09.72,-901.86,-93.75,-463.38,0.79,1.66,1.43,73.95,52.20,-13.35,28.32,0.37,-1022.12,25.74,402.50,-980.0,-323.75,1,53.246,"
1784211328.9700136,"01/01/2000,02:43:09.75,-901.86,-104.00,-463.38,-1.37,-0.36,-1.11,71.85,52.80,-15.45,27.98,0.24,-1022.24,25.86,245.0,-866.25,-288.75,1,53.243,"
1784211328.98656,"01/01/2000,02:43:09.76,-894.04,-84.96,-458.50,2.43,-0.73,1.95,73.05,52.05,-14.40,28.41,0.49,-1022.36,25.99,210.0,-778.75,-306.25,1,53.241,"
1784211329.0259802,"01/01/2000,02:43:09.80,-881.84,-99.12,-463.87,0.26,1.65,-1.37,71.25,51.0,-14.10,28.32,0.49,-1022.12,25.62,253.75,-761.25,-280.0,1,53.235,"
1784211329.0427291,"01/01/2000,02:43:09.82,-883.79,-81.54,-455.08,1.24,-1.01,0.49,72.45,52.20,-15.30,28.32,0.49,-1022.12,25.62,227.50,-848.75,-315.0,1,53.255,"
1784211329.0767157,"01/01/2000,02:43:09.86,-885.74,-89.36,-459.47,2.30,1.11,-2.48,71.70,51.45,-14.10,28.37,0.49,-1022.24,25.62,166.25,-857.50,-323.75,1,53.249,"
1784211329.1033392,"01/01/2000,02:43:09.88,-896.48,-96.68,-459.96,-2.89,0.15,2.04,72.45,51.45,-13.80,28.32,0.49,-1022.24,25.50,332.50,-717.50,-402.50,1,53.247,"
1784211329.1193812,"01/01/2000,02:43:09.89,-888.18,-84.47,-473.63,1.15,-2.19,-0.01,71.70,51.45,-14.55,28.22,0.49,-1022.36,25.50,253.75,-901.25,-306.25,1,53.244,"
1784211329.136214,"01/01/2000,02:43:09.91,-888.67,-94.73,-464.36,2.76,-3.10,3.23,71.25,52.20,-14.55,28.37,0.49,-1022.36,25.62,245.0,-787.50,-332.50,1,53.241,"
1784211329.1550741,"01/01/2000,02:43:09.93,-883.79,-90.82,-457.03,1.20,-2.76,4.24,71.70,50.55,-14.55,28.41,0.49,-1022.12,25.62,288.75,-883.75,-288.75,1,53.239,"
1784211329.1694515,"01/01/2000,02:43:09.95,-888.67,-89.84,-468.75,1.69,-1.53,-1.04,71.70,50.55,-14.55,28.37,0.37,-1022.12,25.62,210.0,-840.0,-280.0,1,53.258,"
