timestamp,rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
1784211146.851557,"01/01/2000,02:40:07.60,-862.79,-55.66,-519.53,1.40,-1.18,-0.58,72.30,52.50,-9.75,28.41,6.95,-18.06,-993.08,271.25,-831.25,-297.50,1,53.333,"
1784211146.8606586,"01/01/2000,02:40:07.62,-850.10,-57.13,-522.46,-0.24,-0.53,1.51,72.30,52.50,-10.50,28.37,6.83,-18.06,-993.32,323.75,-901.25,-271.25,1,53.319,"
1784211146.884442,"01/01/2000,02:40:07.64,-852.05,-59.08,-527.83,0.57,1.06,1.08,71.85,52.05,-10.20,28.03,6.83,-18.18,-993.20,297.50,-910.0,-341.25,1,53.304,"
1784211146.9011085,"01/01/2000,02:40:07.66,-850.59,-58.11,-524.41,0.66,0.15,-3.44,72.0,51.0,-10.80,28.51,6.95,-18.18,-993.08,227.50,-848.75,-323.75,1,53.289,"
1784211146.9179833,"01/01/2000,02:40:07.68,-855.96,-51.27,-528.81,1.44,-0.42,0.47,71.85,52.80,-10.50,28.17,6.95,-18.30,-993.08,245.0,-866.25,-341.25,1,53.392,"
1784211146.9337559,"01/01/2000,02:40:07.70,-865.23,-58.11,-526.37,0.31,-0.86,0.05,71.70,51.45,-10.35,28.08,7.08,-18.06,-992.96,315.0,-796.25,-227.50,1,53.377,"
1784211146.9603136,"01/01/2000,02:40:07.72,-851.56,-49.32,-527.83,0.41,-0.24,-1.54,72.45,51.45,-9.60,28.22,6.95,-18.06,-992.84,306.25,-901.25,-245.0,1,53.362,"
1784211146.9772017,"01/01/2000,02:40:07.73,-852.54,-58.11,-528.81,3.08,0.45,1.87,69.90,51.60,-10.20,28.37,7.08,-17.93,-992.84,332.50,-822.50,-315.0,1,53.348,"
1784211147.0103319,"01/01/2000,02:40:07.76,-850.59,-59.08,-534.67,1.09,0.28,-1.96,71.85,52.05,-9.75,28.22,6.83,-17.93,-993.08,297.50,-866.25,-358.75,1,53.219,"
1784211147.0265212,"01/01/2000,02:40:07.78,-851.07,-47.85,-535.16,0.78,-0.23,1.18,71.25,51.90,-10.05,28.32,6.83,-17.93,-993.08,288.75,-910.0,-306.25,1,53.205,"
1784211147.059592,"01/01/2000,02:40:07.82,-846.19,-60.55,-519.04,-0.11,2.02,1.11,73.05,52.05,-10.50,28.37,6.83,-18.06,-993.08,271.25,-770.0,-323.75,1,53.178,"
1784211147.0763698,"01/01/2000,02:40:07.84,-852.54,-58.11,-523.93,0.79,1.53,2.31,70.65,51.30,-11.25,28.41,6.71,-18.06,-992.96,288.75,-787.50,-192.50,1,53.277,"
1784211147.1168559,"01/01/2000,02:40:07.88,-851.07,-58.59,-527.34,1.93,-1.48,0.07,72.30,51.30,-10.95,28.51,6.59,-18.18,-993.08,332.50,-840.0,-402.50,1,53.249,"
1784211147.1547625,"01/01/2000,02:40:07.91,-859.86,-48.34,-525.88,2.75,0.76,2.09,72.30,51.60,-9.0,28.17,6.59,-18.30,-993.08,201.25,-831.25,-341.25,1,53.222,"
1784211147.1766672,"01/01/2000,02:40:07.93,-849.61,-48.83,-522.46,0.95,1.08,1.31,72.60,51.60,-10.50,28.41,6.71,-18.18,-993.32,315.0,-787.50,-271.25,1,53.209,"
1784211147.1933966,"01/01/2000,02:40:07.95,-856.45,-63.96,-522.46,-1.56,-0.32,-0.40,72.75,51.45,-8.85,28.41,6.59,-18.06,-993.45,262.50,-752.50,-271.25,1,53.196,"
1784211147.2037115,"01/01/2000,02:40:07.97,-854.98,-49.32,-536.62,1.34,-1.40,-2.95,71.10,51.60,-10.50,28.51,6.59,-18.06,-993.32,253.75,-796.25,-323.75,1,53.292,"
1784211147.2241626,"01/01/2000,02:40:07.99,-857.91,-65.43,-528.32,2.10,-2.37,3.40,73.20,53.40,-9.60,28.32,6.34,-18.06,-993.32,306.25,-752.50,-315.0,1,53.279,"
1784211147.2446775,"01/01/2000,02:40:08.01,-853.52,-51.27,-525.39,-1.65,2.57,0.40,72.0,52.20,-9.60,28.37,6.34,-18.06,-993.08,157.50,-848.75,-253.75,1,53.265,"
1784211147.2759428,"01/01/2000,02:40:08.04,-842.29,-54.69,-525.39,1.18,0.81,0.76,72.30,51.60,-10.95,28.51,6.71,-18.06,-993.32,288.75,-892.50,-297.50,1,53.239,"
1784211147.3077242,"01/01/2000,02:40:08.06,-850.59,-59.57,-509.77,1.56,0.99,1.37,72.45,51.90,-9.30,28.51,6.83,-18.06,-993.20,183.75,-848.75,-385.0,1,53.226,"
1784211147.3199668,"01/01/2000,02:40:08.08,-854.49,-49.32,-526.86,0.85,2.23,-1.17,71.10,51.30,-10.95,28.41,6.83,-18.06,-993.08,332.50,-840.0,-332.50,1,53.213,"
1784211147.3384404,"01/01/2000,02:40:08.10,-855.47,-54.20,-523.93,0.98,0.05,-0.54,71.70,52.20,-9.30,28.41,6.83,-18.18,-993.20,385.0,-945.0,-358.75,1,53.307,"
1784211147.3488276,"01/01/2000,02:40:08.12,-852.05,-55.18,-524.41,1.47,-0.56,-0.42,71.70,52.20,-10.35,28.08,6.71,-18.30,-993.32,192.50,-857.50,-463.75,1,53.293,"
1784211147.3693593,"01/01/2000,02:40:08.14,-858.89,-57.62,-521.48,0.28,0.03,2.65,72.60,52.05,-9.75,28.37,6.71,-18.18,-993.45,341.25,-717.50,-280.0,1,53.280,"
1784211147.412613,"01/01/2000,02:40:08.17,-855.96,-54.69,-519.53,-0.85,-1.34,0.21,72.75,52.20,-10.80,28.37,6.95,-18.30,-993.08,253.75,-831.25,-376.25,1,53.254,"
1784211147.4317107,"01/01/2000,02:40:08.19,-848.63,-68.36,-523.44,-0.23,2.34,1.15,70.50,51.0,-9.30,28.37,6.95,-18.30,-993.08,218.75,-787.50,-280.0,1,53.346,"
1784211147.4428275,"01/01/2000,02:40:08.21,-849.12,-62.01,-526.86,1.15,1.66,-0.05,71.70,52.20,-12.30,28.08,6.95,-18.30,-993.20,192.50,-918.75,-402.50,1,53.229,"
1784211147.4631865,"01/01/2000,02:40:08.23,-858.89,-46.39,-519.04,-0.83,-0.88,-0.65,71.25,50.25,-10.80,28.32,6.95,-18.42,-993.32,341.25,-848.75,-350.0,1,53.320,"
1784211147.4937212,"01/01/2000,02:40:08.25,-851.07,-60.55,-514.65,-0.11,-0.33,2.22,72.45,51.90,-10.05,28.03,7.08,-18.30,-993.32,271.25,-1032.50,-315.0,1,53.307,"
1784211147.5144908,"01/01/2000,02:40:08.27,-861.82,-59.57,-525.39,-1.76,-0.44,0.17,71.10,52.50,-10.50,28.17,7.20,-18.18,-993.32,245.0,-910.0,-271.25,1,53.191,"
1784211147.5348964,"01/01/2000,02:40:08.29,-848.63,-57.13,-531.25,0.49,2.34,-0.70,71.70,53.10,-9.30,28.37,7.20,-18.06,-993.08,315.0,-936.25,-323.75,1,53.179,"
1784211147.5567136,"01/01/2000,02:40:08.31,-841.31,-50.29,-523.44,-1.18,-1.38,0.05,71.40,51.60,-10.50,28.41,7.20,-18.06,-993.08,245.0,-770.0,-332.50,1,53.167,"
1784211147.5658507,"01/01/2000,02:40:08.33,-844.73,-57.62,-521.97,1.34,2.40,-0.82,71.40,51.30,-10.95,28.51,7.08,-18.06,-993.20,341.25,-796.25,-201.25,1,53.257,"
1784211147.586716,"01/01/2000,02:40:08.35,-865.23,-51.27,-519.04,0.85,-0.83,1.40,72.0,51.45,-9.30,28.22,6.95,-18.06,-993.20,323.75,-927.50,-315.0,1,53.244,"
1784211147.6176293,"01/01/2000,02:40:08.38,-842.77,-53.71,-514.65,0.98,-0.66,-0.70,71.70,53.10,-10.35,28.22,6.83,-18.18,-993.08,271.25,-831.25,-297.50,1,53.220,"
1784211147.6496336,"01/01/2000,02:40:08.40,-847.17,-41.99,-517.09,0.86,-1.90,-1.93,72.75,52.65,-10.35,28.17,6.83,-18.06,-993.08,245.0,-866.25,-358.75,1,53.208,"
1784211147.6585195,"01/01/2000,02:40:08.42,-851.56,-50.78,-532.71,1.53,0.21,-0.71,72.45,51.90,-10.35,28.41,6.95,-18.06,-993.08,140.0,-866.25,-218.75,1,53.195,"
1784211147.6788008,"01/01/2000,02:40:08.44,-855.96,-52.73,-523.44,0.79,-2.09,1.15,73.20,52.20,-11.85,28.37,6.71,-18.06,-992.84,148.75,-857.50,-323.75,1,53.184,"
1784211147.6892734,"01/01/2000,02:40:08.46,-855.96,-48.83,-532.71,0.39,0.45,-0.02,71.70,53.10,-10.05,28.32,6.71,-18.06,-992.84,105.0,-840.0,-315.0,1,53.271,"
1784211147.7206755,"01/01/2000,02:40:08.48,-851.07,-60.06,-528.81,3.56,-1.32,-1.27,72.60,51.30,-9.75,28.22,6.83,-17.81,-992.84,306.25,-770.0,-271.25,1,53.259,"
1784211147.7413332,"01/01/2000,02:40:08.50,-847.17,-54.69,-521.00,1.35,1.99,-1.29,71.10,52.80,-10.20,28.41,6.95,-17.93,-993.08,131.25,-831.25,-271.25,1,53.247,"
1784211147.7516537,"01/01/2000,02:40:08.51,-850.10,-55.18,-532.71,2.97,0.49,1.30,73.05,52.05,-8.70,28.08,6.95,-17.93,-993.08,280.0,-822.50,-306.25,1,53.235,"
1784211147.772281,"01/01/2000,02:40:08.53,-846.19,-56.64,-519.04,-1.82,-1.05,-0.01,71.40,52.05,-10.50,28.37,7.08,-17.93,-993.20,122.50,-892.50,-297.50,1,53.223,"
1784211147.8056302,"01/01/2000,02:40:08.57,-856.45,-52.73,-538.09,-0.64,-0.89,1.47,69.90,52.05,-9.0,28.60,6.95,-18.06,-993.32,183.75,-866.25,-332.50,1,53.297,"
1784211147.8454254,"01/01/2000,02:40:08.60,-849.61,-48.34,-530.27,1.21,-0.79,1.84,72.0,50.55,-9.60,28.22,6.83,-17.93,-993.32,122.50,-796.25,-227.50,1,53.273,"
1784211147.8670166,"01/01/2000,02:40:08.63,-860.84,-53.22,-532.71,2.74,0.53,0.15,69.90,50.40,-7.20,28.22,6.95,-18.06,-993.45,288.75,-892.50,-280.0,1,53.261,"
1784211147.8825576,"01/01/2000,02:40:08.64,-861.82,-55.18,-532.23,-0.03,-1.02,-2.32,69.90,50.40,-7.20,28.17,6.83,-18.06,-993.32,210.0,-936.25,-280.0,1,53.249,"
1784211147.9028835,"01/01/2000,02:40:08.66,-862.30,-57.62,-518.07,2.66,0.44,-0.93,71.25,50.55,-10.80,28.56,6.83,-18.18,-993.45,315.0,-866.25,-201.25,1,53.237,"
