timestamp,data
1784217604.6603234,"01/01/2000,04:27:45.78,-1019.04,1.95,59.08,-2.03,-2.11,1.04,61.80,31.95,52.65,33.35,18.18,985.03,-42.46,822.50,140.0,-210.0,1,53.340,"
1784217604.6778636,"01/01/2000,04:27:45.80,-1011.72,-19.53,31.25,0.45,0.05,-1.95,62.40,31.35,51.0,33.25,17.20,985.15,-42.21,953.75,-350.0,-297.50,1,53.340,"
1784217604.698938,"01/01/2000,04:27:45.82,-1008.30,-6.35,5.86,1.20,1.87,-0.16,63.75,31.95,53.85,33.35,16.84,986.74,-39.16,315.0,-892.50,-297.50,1,53.340,"
1784217604.7166073,"01/01/2000,04:27:45.84,-1010.74,-21.97,-1.46,0.88,-2.87,-0.52,63.15,31.35,53.70,33.25,17.81,987.71,-36.60,-525.0,-1041.25,-227.50,1,53.340,"
1784217604.732812,"01/01/2000,04:27:45.85,-1008.30,2.93,-31.74,2.11,0.63,-1.27,63.15,31.35,51.75,33.35,18.67,986.98,-37.09,-673.75,-761.25,-183.75,1,53.340,"
1784217604.7526324,"01/01/2000,04:27:45.87,-1007.81,-2.44,69.82,1.40,0.05,-0.32,61.20,32.25,53.70,33.11,18.42,985.88,-39.53,26.25,-490.0,-96.25,1,53.340,"
1784217604.7686946,"01/01/2000,04:27:45.89,-1011.72,-50.78,55.18,0.92,-3.46,-2.21,61.80,31.20,52.35,33.25,17.32,985.03,-41.24,997.50,-498.75,-385.0,1,53.340,"
1784217604.794254,"01/01/2000,04:27:45.91,-1007.32,-19.04,76.17,0.35,1.21,1.50,62.55,31.95,51.90,33.30,17.20,985.64,-40.50,1006.25,-761.25,-280.0,1,53.340,"
1784217604.8233905,"01/01/2000,04:27:45.94,-1033.69,-51.27,82.52,0.27,1.0,0.41,61.95,32.25,52.50,33.16,18.54,987.22,-36.11,-577.50,-857.50,-96.25,1,53.340,"
1784217604.8458366,"01/01/2000,04:27:45.97,-1011.23,-19.53,36.13,1.23,1.15,1.40,62.40,31.05,51.75,33.25,18.30,986.74,-37.33,-446.25,-805.0,-122.50,1,53.340,"
1784217604.8607712,"01/01/2000,04:27:45.98,-1006.84,-18.07,0.49,1.29,-0.54,0.98,61.65,31.35,51.75,33.35,18.06,986.00,-39.77,245.0,-612.50,-157.50,1,53.340,"
1784217604.8790276,"01/01/2000,04:27:46.00,-1021.97,-48.34,113.77,0.10,-1.02,1.24,61.95,31.80,51.30,33.16,17.57,985.39,-40.63,1155.0,-638.75,-253.75,1,53.340,"
1784217604.9028819,"01/01/2000,04:27:46.02,-994.14,-24.90,-22.95,0.88,-3.30,-0.40,62.40,33.45,52.20,33.25,17.93,986.25,-38.43,446.25,-691.25,-332.50,1,53.340,"
1784217604.9203784,"01/01/2000,04:27:46.04,-1038.09,-1.46,-42.97,-1.50,-0.02,0.88,61.95,31.05,51.75,33.35,18.54,986.98,-36.84,-393.75,-621.25,-87.50,1,53.340,"
1784217604.9346988,"01/01/2000,04:27:46.06,-1022.95,-29.30,0.98,1.20,0.47,-0.59,61.95,31.05,51.75,33.11,18.30,987.22,-36.36,-490.0,-647.50,-245.0,1,53.340,"
1784217604.9515474,"01/01/2000,04:27:46.07,-1016.11,-6.35,38.57,-0.34,-1.94,0.55,62.55,31.65,50.85,33.64,17.93,986.49,-38.19,-140.0,-945.0,-253.75,1,53.340,"
1784217604.978012,"01/01/2000,04:27:46.09,-1013.18,-16.11,12.70,2.51,-2.96,-1.28,61.05,32.40,51.90,33.44,18.18,985.27,-40.50,726.25,-551.25,-192.50,1,53.340,"
1784217604.9960105,"01/01/2000,04:27:46.11,-1011.72,-14.65,15.14,1.03,-3.31,-0.94,61.65,31.80,52.95,33.16,17.93,985.27,-40.26,927.50,-673.75,-420.0,1,53.340,"
1784217605.0127258,"01/01/2000,04:27:46.13,-1021.97,-22.95,-1.46,2.06,-0.04,0.31,61.35,32.40,54.15,33.49,18.30,986.25,-38.55,-52.50,-682.50,-78.75,1,53.340,"
1784217605.0280633,"01/01/2000,04:27:46.15,-1033.20,-32.71,53.22,0.34,2.76,0.60,61.35,32.40,54.15,33.35,18.54,987.10,-36.84,-411.25,-700.0,-192.50,1,53.340,"
1784217605.063594,"01/01/2000,04:27:46.18,-1005.86,-46.88,95.21,-0.63,-4.32,1.18,60.45,30.15,54.45,33.59,18.18,986.00,-39.53,210.0,-603.75,-192.50,1,53.340,"
1784217605.0808446,"01/01/2000,04:27:46.20,-1067.87,-14.65,44.43,-2.42,-0.36,0.45,63.0,31.95,52.65,33.49,18.06,985.15,-40.50,901.25,-498.75,-253.75,1,53.340,"
1784217605.1025321,"01/01/2000,04:27:46.22,-1047.36,-6.84,-27.83,1.94,-0.46,-0.32,62.40,33.0,52.95,33.49,17.57,985.76,-39.53,630.0,-726.25,-323.75,1,53.340,"
1784217605.1266077,"01/01/2000,04:27:46.25,-995.61,-13.18,-1.46,2.24,-0.27,-0.41,61.95,32.25,52.20,33.59,18.18,986.98,-37.09,-358.75,-726.25,-35.0,1,53.340,"
1784217605.1528811,"01/01/2000,04:27:46.27,-1008.30,-46.39,50.29,0.0,0.45,2.10,59.70,31.35,52.50,33.16,18.18,986.61,-37.45,-262.50,-831.25,-131.25,1,53.340,"
1784217605.186771,"01/01/2000,04:27:46.31,-1009.77,-0.49,-53.71,3.17,-2.13,-1.84,62.55,33.60,52.65,33.59,17.57,985.52,-39.77,787.50,-682.50,-210.0,1,53.340,"
1784217605.2027292,"01/01/2000,04:27:46.32,-1008.30,-30.27,53.71,-1.05,0.89,-1.65,62.25,32.40,52.35,32.97,17.69,986.13,-39.04,516.25,-743.75,-288.75,1,53.340,"
1784217605.2213476,"01/01/2000,04:27:46.34,-1002.93,-11.72,58.11,-2.09,-1.08,-1.62,63.15,31.80,52.50,33.59,18.06,986.74,-38.06,-78.75,-603.75,-245.0,1,53.340,"
1784217605.2386532,"01/01/2000,04:27:46.36,-1015.14,-41.99,126.95,-1.13,-2.53,-0.07,63.90,32.55,51.75,33.25,18.18,986.61,-37.21,-140.0,-621.25,-175.0,1,53.340,"
1784217605.26122,"01/01/2000,04:27:46.38,-1006.84,-7.32,94.24,-1.82,-0.47,0.25,60.90,32.25,51.30,33.49,17.81,986.86,-38.06,-183.75,-717.50,-297.50,1,53.340,"
1784217605.279308,"01/01/2000,04:27:46.40,-986.82,-8.79,-0.49,-0.18,-0.63,0.79,62.40,31.80,52.95,33.11,17.69,986.25,-39.41,297.50,-691.25,-192.50,1,53.340,"
1784217605.2959313,"01/01/2000,04:27:46.42,-1063.96,-26.37,67.87,1.17,-3.95,0.35,60.90,31.35,51.75,33.30,17.57,985.52,-40.63,-35.0,-735.0,-253.75,1,53.340,"
1784217605.3155887,"01/01/2000,04:27:46.44,-1026.86,-35.16,-32.23,-0.14,-0.51,0.41,62.25,32.40,51.60,33.35,18.06,985.03,-41.97,218.75,-805.0,-78.75,1,53.340,"
1784217605.33561,"01/01/2000,04:27:46.45,-1061.04,-53.71,90.82,0.37,2.86,0.15,60.60,32.40,53.85,33.16,18.06,987.35,-43.55,61.25,-533.75,-253.75,1,53.340,"
1784217605.3498685,"01/01/2000,04:27:46.47,-996.58,-41.50,93.26,1.17,0.53,-0.61,64.05,32.85,51.60,33.44,18.06,987.96,-45.38,-411.25,-813.75,-26.25,1,53.340,"
1784217605.3667789,"01/01/2000,04:27:46.49,-1026.37,-20.51,37.11,-1.11,-0.92,-3.35,62.25,32.40,51.15,33.30,18.18,985.15,-47.58,105.0,-638.75,-61.25,1,53.340,"
1784217605.4032261,"01/01/2000,04:27:46.53,-1025.88,7.81,0.0,1.03,0.26,-0.34,61.65,32.55,53.70,33.35,17.93,986.49,-49.65,367.50,-481.25,-262.50,1,53.340,"
1784217605.4221237,"01/01/2000,04:27:46.54,-1016.60,-23.44,63.96,0.14,1.92,-0.64,61.65,32.25,51.75,33.16,17.93,987.35,-50.02,-490.0,-393.75,-507.50,1,53.340,"
1784217605.4355147,"01/01/2000,04:27:46.56,-1010.74,-11.72,-11.23,0.89,0.26,-0.23,61.80,31.95,52.35,33.25,17.93,985.52,-51.48,-507.50,-1032.50,-157.50,1,53.340,"
1784217605.4606743,"01/01/2000,04:27:46.58,-1019.53,-19.53,50.29,0.54,-2.32,1.51,63.0,33.15,52.65,33.44,18.06,983.56,-53.56,691.25,-280.0,-315.0,1,53.340,"
1784217605.4779255,"01/01/2000,04:27:46.60,-1004.88,3.42,21.48,-1.04,-1.18,0.39,62.55,31.65,50.85,33.30,18.42,983.93,-53.07,1653.75,-122.50,-131.25,1,53.340,"
1784217605.4956317,"01/01/2000,04:27:46.62,-1014.16,-53.22,57.62,-0.07,1.47,0.11,61.35,31.95,51.60,33.35,17.81,986.61,-49.04,1111.25,-262.50,-175.0,1,53.340,"
1784217605.5182889,"01/01/2000,04:27:46.63,-987.30,-13.18,25.88,-0.17,0.19,-0.37,62.40,31.05,51.75,33.11,17.81,988.81,-43.31,-866.25,-840.0,-140.0,1,53.340,"
1784217605.5347075,"01/01/2000,04:27:46.66,-1052.73,-51.27,50.78,-0.19,1.47,0.79,61.95,31.80,51.75,33.44,18.18,988.08,-41.85,-1522.50,-997.50,-113.75,1,53.340,"
