timestamp,data
1784217744.2974756,"01/01/2000,04:30:05.42,-1003.42,-4.88,-20.02,0.52,0.33,-1.56,60.60,31.95,51.90,33.49,15.37,986.25,-42.33,122.50,-813.75,-183.75,1,53.347,"
1784217744.3242342,"01/01/2000,04:30:05.45,-961.43,0.0,-10.74,1.15,1.85,-1.09,63.30,33.60,51.60,33.11,15.62,986.61,-42.33,61.25,-393.75,-253.75,1,53.347,"
1784217744.339634,"01/01/2000,04:30:05.46,-1013.18,-9.28,24.41,2.48,0.59,0.55,63.30,32.40,52.35,33.11,15.13,986.13,-42.46,131.25,-603.75,-315.0,1,53.347,"
1784217744.3654814,"01/01/2000,04:30:05.50,-983.40,13.67,-15.63,0.63,0.50,-0.18,61.80,31.95,53.10,33.44,15.01,986.49,-42.33,236.25,-568.75,-280.0,1,53.347,"
1784217744.3909898,"01/01/2000,04:30:05.52,-1022.46,-21.48,17.09,0.50,-0.69,0.85,62.70,28.95,52.95,33.35,15.49,986.37,-42.21,157.50,-630.0,-140.0,1,53.347,"
1784217744.405316,"01/01/2000,04:30:05.53,-1013.18,-16.60,102.54,0.44,-0.89,0.62,62.25,32.40,51.90,33.25,15.49,985.88,-42.21,175.0,-560.0,-367.50,1,53.347,"
1784217744.4243147,"01/01/2000,04:30:05.55,-1051.76,-17.58,-36.62,0.98,-1.72,2.30,64.35,33.0,52.20,33.35,15.37,986.13,-42.33,148.75,-621.25,-122.50,1,53.347,"
1784217744.4419913,"01/01/2000,04:30:05.57,-1028.32,1.46,-12.21,2.79,-2.30,0.83,61.95,32.55,52.50,33.35,15.13,986.49,-42.70,218.75,-743.75,-201.25,1,53.348,"
1784217744.4810073,"01/01/2000,04:30:05.61,-1015.14,-36.13,26.86,-0.55,-1.44,-0.99,61.35,31.65,52.35,33.35,15.37,985.76,-42.21,253.75,-813.75,-201.25,1,53.347,"
1784217744.515123,"01/01/2000,04:30:05.65,-1029.79,-35.64,51.76,-0.26,-0.73,-4.06,61.35,31.95,52.35,33.35,15.49,986.37,-42.33,61.25,-647.50,-280.0,1,53.347,"
1784217744.542059,"01/01/2000,04:30:05.66,-1007.32,-42.97,22.46,-1.90,0.27,-0.81,63.0,33.15,53.85,33.35,15.62,985.88,-42.33,201.25,-735.0,-105.0,1,53.347,"
1784217744.5600271,"01/01/2000,04:30:05.68,-1022.46,-18.07,20.51,-0.18,1.22,-1.52,63.15,32.55,52.50,33.35,15.62,986.00,-42.21,271.25,-726.25,-166.25,1,53.347,"
1784217744.5793302,"01/01/2000,04:30:05.70,-1025.88,-42.48,30.27,0.68,0.05,-0.21,61.65,32.25,52.95,33.35,15.74,986.74,-42.46,26.25,-708.75,-236.25,1,53.347,"
1784217744.6016693,"01/01/2000,04:30:05.73,-1009.77,-36.13,44.92,-0.02,1.59,0.81,61.20,29.40,55.20,33.35,15.86,985.88,-42.33,122.50,-735.0,-175.0,1,53.347,"
1784217744.6359043,"01/01/2000,04:30:05.76,-1022.95,-3.91,15.63,-1.23,0.77,0.66,61.80,32.40,51.60,33.16,15.86,986.25,-42.46,122.50,-560.0,-253.75,1,53.347,"
1784217744.648766,"01/01/2000,04:30:05.78,-1000.98,-31.25,-20.02,1.69,-1.31,0.97,62.70,32.25,53.25,33.11,15.62,986.61,-42.46,201.25,-700.0,-183.75,1,53.347,"
1784217744.677259,"01/01/2000,04:30:05.80,-1009.28,-5.37,42.97,2.12,-0.21,0.18,62.55,31.95,51.90,33.49,15.49,986.13,-42.21,175.0,-831.25,-253.75,1,53.347,"
1784217744.6920311,"01/01/2000,04:30:05.82,-1025.88,-43.46,37.60,-1.95,0.54,2.62,63.60,31.05,52.50,33.25,15.62,986.00,-42.21,315.0,-612.50,-210.0,1,53.347,"
1784217744.709604,"01/01/2000,04:30:05.83,-1010.74,-51.27,75.20,0.18,0.81,-0.70,63.0,32.40,51.90,33.11,15.62,986.25,-42.21,96.25,-507.50,-227.50,1,53.347,"
1784217744.7291596,"01/01/2000,04:30:05.86,-989.26,0.0,-9.77,-0.40,0.65,-1.59,63.30,33.15,52.35,33.30,15.37,986.00,-42.21,175.0,-700.0,-332.50,1,53.347,"
1784217744.7467847,"01/01/2000,04:30:05.87,-992.68,-15.63,10.74,2.89,0.19,-2.26,59.55,30.75,54.60,33.35,15.25,986.00,-42.21,385.0,-726.25,-262.50,1,53.347,"
1784217744.763634,"01/01/2000,04:30:05.89,-1047.85,-6.35,-36.62,0.21,-1.47,-0.85,61.20,31.35,52.20,33.16,15.62,986.25,-42.21,166.25,-516.25,-157.50,1,53.347,"
1784217744.7813523,"01/01/2000,04:30:05.91,-991.21,-24.41,13.18,-0.05,-1.12,-0.95,61.95,33.0,51.30,33.49,15.37,986.25,-42.09,166.25,-656.25,-253.75,1,53.347,"
1784217744.8025393,"01/01/2000,04:30:05.93,-1002.44,-16.11,53.71,0.43,1.94,-1.35,63.15,31.80,53.25,33.30,15.37,985.76,-41.97,131.25,-743.75,-105.0,1,53.347,"
1784217744.8369207,"01/01/2000,04:30:05.96,-1017.58,-14.65,23.44,-0.49,0.56,2.40,61.80,32.85,51.90,33.35,15.37,986.00,-42.09,192.50,-717.50,-253.75,1,53.347,"
1784217744.853022,"01/01/2000,04:30:05.98,-984.86,0.98,-73.24,1.24,0.31,0.35,62.25,33.15,52.35,33.25,15.62,986.25,-42.09,183.75,-656.25,-236.25,1,53.347,"
1784217744.87483,"01/01/2000,04:30:06.00,-991.70,1.46,12.21,1.57,0.94,0.87,63.60,32.25,52.95,33.16,15.37,985.88,-41.97,96.25,-691.25,-332.50,1,53.347,"
1784217744.8927534,"01/01/2000,04:30:06.02,-1000.49,-11.23,0.98,-0.20,0.20,1.97,61.65,33.45,52.95,33.16,15.49,986.00,-41.97,78.75,-647.50,-297.50,1,53.348,"
1784217744.9095252,"01/01/2000,04:30:06.04,-1046.88,-21.97,-31.25,0.98,1.63,1.42,60.90,31.80,51.75,33.16,15.62,986.25,-41.97,70.0,-542.50,-341.25,1,53.347,"
1784217744.9264429,"01/01/2000,04:30:06.05,-1010.74,-4.39,-54.20,0.77,-2.94,0.64,63.15,31.35,52.50,33.25,15.62,986.25,-42.33,-17.50,-647.50,-183.75,1,53.347,"
1784217744.9642513,"01/01/2000,04:30:06.09,-1018.55,-18.55,22.46,1.88,-0.64,0.27,61.35,30.45,53.85,33.16,15.74,988.08,-47.95,17.50,-673.75,-253.75,1,53.347,"
