timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784218579.294757128,01/01/2000,04:44:00.54,-1011.72,1.46,20.02,0.94,-2.60,-1.76,64.50,32.40,53.40,33.35,14.40,986.37,-45.63,87.50,-656.25,-271.25,1,53.319
1784218579.315877914,01/01/2000,04:44:00.56,-1033.20,-48.34,53.71,1.12,-2.25,0.35,62.25,29.25,52.35,33.49,14.76,986.13,-45.99,166.25,-455.0,-218.75,1,53.319
1784218579.336519957,01/01/2000,04:44:00.58,-1008.30,-22.95,31.25,-0.23,0.36,-1.89,61.65,32.55,52.50,33.83,14.40,986.25,-45.75,201.25,-525.0,-262.50,1,53.319
1784218579.365897894,01/01/2000,04:44:00.61,-1020.02,-26.37,12.21,1.01,-0.73,-1.37,61.05,32.85,52.65,33.64,14.40,985.76,-45.87,131.25,-630.0,-271.25,1,53.319
1784218579.388199568,01/01/2000,04:44:00.64,-1024.90,-11.23,22.46,1.24,-0.38,-0.49,63.30,32.40,53.10,33.64,14.76,985.88,-45.87,131.25,-743.75,-105.0,1,53.319
1784218579.403942108,01/01/2000,04:44:00.65,-1016.60,-25.88,53.71,0.26,-1.57,1.61,63.30,32.40,53.10,33.44,14.76,985.64,-45.75,236.25,-507.50,-280.0,1,53.319
1784218579.418851852,01/01/2000,04:44:00.67,-1014.16,-21.00,68.36,0.40,0.27,0.15,62.70,32.55,53.25,33.35,14.64,985.76,-45.63,166.25,-682.50,-166.25,1,53.319
1784218579.447159290,01/01/2000,04:44:00.69,-1025.88,-21.48,27.34,-1.32,-1.16,-0.58,63.90,33.0,52.50,33.64,14.40,985.76,-46.12,140.0,-743.75,-323.75,1,53.319
1784218579.464578629,01/01/2000,04:44:00.71,-1028.32,-11.72,-1.46,0.98,-1.21,0.69,63.15,31.35,53.25,33.64,14.64,985.76,-46.12,201.25,-603.75,-183.75,1,53.319
1784218579.480683804,01/01/2000,04:44:00.73,-1034.67,-18.55,12.70,0.49,1.09,0.62,62.40,32.55,52.20,33.68,15.01,985.64,-45.87,78.75,-586.25,-297.50,1,53.319
1784218579.495396614,01/01/2000,04:44:00.74,-1009.77,-50.29,58.11,-0.44,-3.49,-1.38,62.40,32.55,52.20,33.64,14.88,985.52,-45.63,122.50,-595.0,-218.75,1,53.319
1784218579.513860464,01/01/2000,04:44:00.76,-996.09,-13.67,37.60,1.37,-0.79,-0.18,61.95,30.60,53.70,33.59,14.52,985.52,-45.87,262.50,-577.50,-297.50,1,53.319
1784218579.537219763,01/01/2000,04:44:00.78,-993.16,-23.44,31.25,-0.37,-2.26,-2.05,61.95,30.60,53.70,33.78,14.52,985.64,-45.87,210.0,-743.75,-157.50,1,53.319
