timestamp,data
1784215132.1359925,"01/01/2000,03:46:33.15,-1008.30,-51.76,58.59,-3.15,-0.30,-0.03,62.70,28.65,54.75,30.62,13.54,985.88,-40.50,516.25,183.75,-323.75,1,53.587,"
1784215132.1580575,"01/01/2000,03:46:33.17,-1031.25,-29.79,59.57,-0.56,-0.91,2.98,61.20,29.85,52.95,30.52,11.47,986.74,-38.06,-245.0,-533.75,-358.75,1,53.586,"
1784215132.1798666,"01/01/2000,03:46:33.19,-1017.09,-36.13,79.59,1.42,1.58,0.92,60.0,29.40,54.45,30.62,10.86,987.10,-37.21,-367.50,-1163.75,-323.75,1,53.585,"
1784215132.1938303,"01/01/2000,03:46:33.21,-1043.95,-47.36,32.71,2.56,-0.47,1.82,60.0,29.40,54.45,30.43,12.44,986.25,-38.43,105.0,-1793.75,-297.50,1,53.591,"
1784215132.2127447,"01/01/2000,03:46:33.23,-1012.21,-32.23,21.48,-0.58,1.03,-0.84,61.65,29.85,54.75,30.33,15.01,985.64,-39.28,428.75,-743.75,-35.0,1,53.590,"
1784215132.2298827,"01/01/2000,03:46:33.25,-984.86,-9.28,-13.18,0.45,-1.43,0.49,59.55,29.55,54.15,30.47,15.13,985.76,-38.55,227.50,113.75,-201.25,1,53.589,"
1784215132.247282,"01/01/2000,03:46:33.26,-990.72,-45.41,14.65,-0.44,-2.13,0.63,59.70,27.75,55.20,30.33,13.66,986.25,-37.82,17.50,323.75,-358.75,1,53.588,"
1784215132.266307,"01/01/2000,03:46:33.28,-997.07,-17.58,4.39,1.71,-1.85,-1.88,62.70,27.75,55.20,30.33,12.08,986.61,-37.70,-61.25,-446.25,-271.25,1,53.587,"
1784215132.2853832,"01/01/2000,03:46:33.30,-1010.25,-48.34,-56.15,1.11,1.60,-1.12,61.20,27.0,55.20,30.43,11.47,985.76,-38.43,78.75,-1575.0,-297.50,1,53.586,"
1784215132.3205218,"01/01/2000,03:46:33.34,-1021.00,-21.00,-33.20,-0.78,3.16,-1.01,59.85,28.80,54.15,30.62,14.15,985.76,-38.43,297.50,-577.50,-35.0,1,53.591,"
1784215132.3461933,"01/01/2000,03:46:33.35,-1036.62,-40.04,10.25,0.02,-1.83,0.18,60.60,29.55,53.40,30.33,14.40,986.37,-38.06,-26.25,-17.50,-218.75,1,53.590,"
1784215132.3783836,"01/01/2000,03:46:33.39,-1002.93,-20.02,-42.97,0.37,0.42,-2.53,61.35,28.80,53.40,30.62,11.96,986.00,-38.43,-26.25,-962.50,-358.75,1,53.588,"
1784215132.3996007,"01/01/2000,03:46:33.41,-1023.44,9.77,-30.27,1.56,1.04,-1.16,61.65,28.95,53.70,30.81,12.20,985.76,-38.80,245.0,-1391.25,-227.50,1,53.594,"
1784215132.4147446,"01/01/2000,03:46:33.43,-1034.18,-42.48,-16.11,-0.11,1.24,2.03,61.35,28.35,53.40,30.33,13.18,985.88,-38.43,358.75,-1050.0,-183.75,1,53.587,"
1784215132.4317844,"01/01/2000,03:46:33.45,-1010.74,-28.32,17.09,-0.21,0.17,0.06,60.90,28.95,52.95,30.62,13.91,986.13,-37.82,-8.75,-420.0,-227.50,1,53.592,"
1784215132.4485538,"01/01/2000,03:46:33.47,-992.19,-44.92,46.88,-1.40,-2.22,-2.25,61.65,29.40,54.75,30.47,13.91,986.25,-37.82,35.0,-35.0,-288.75,1,53.591,"
1784215132.465592,"01/01/2000,03:46:33.48,-1000.0,-18.55,13.18,-2.60,1.29,-0.82,61.80,27.60,53.85,30.62,13.54,986.13,-38.06,78.75,-560.0,-166.25,1,53.591,"
1784215132.493493,"01/01/2000,03:46:33.51,-995.12,-20.02,62.01,1.35,1.60,-1.70,61.20,28.20,55.95,30.33,12.57,985.76,-38.55,271.25,-1111.25,-288.75,1,53.590,"
1784215132.5155947,"01/01/2000,03:46:33.53,-1025.39,-22.95,-38.57,1.98,0.33,-0.05,58.95,29.40,55.95,30.33,12.93,986.49,-37.70,105.0,-875.0,-288.75,1,53.589,"
1784215132.529912,"01/01/2000,03:46:33.55,-1019.04,-43.95,54.69,0.90,-2.98,2.67,59.10,27.60,55.80,30.33,13.42,986.37,-37.45,-52.50,-446.25,-148.75,1,53.588,"
1784215132.5479195,"01/01/2000,03:46:33.56,-1034.67,-36.13,43.95,-1.16,1.61,0.64,61.20,29.40,52.50,30.52,13.66,986.00,-37.70,166.25,-463.75,-175.0,1,53.587,"
1784215132.5685816,"01/01/2000,03:46:33.59,-1038.09,-39.55,-1.95,3.45,0.61,1.92,60.60,28.35,53.85,30.47,13.54,985.76,-38.43,218.75,-586.25,-105.0,1,53.586,"
1784215132.6040804,"01/01/2000,03:46:33.62,-1003.91,-34.67,-17.58,-0.08,2.27,0.75,60.90,28.65,54.75,30.43,12.93,986.49,-37.82,157.50,-805.0,-253.75,1,53.591,"
1784215132.628911,"01/01/2000,03:46:33.64,-1006.35,-25.88,4.39,-0.45,0.11,-0.84,62.55,29.25,55.05,30.33,13.18,986.49,-37.58,-87.50,-656.25,-175.0,1,53.584,"
1784215132.644881,"01/01/2000,03:46:33.66,-1008.30,-10.25,16.11,-0.02,0.76,1.11,61.20,28.95,53.70,30.67,13.42,985.88,-38.31,43.75,-630.0,-385.0,1,53.589,"
1784215132.6599503,"01/01/2000,03:46:33.68,-1008.79,-11.72,10.74,2.95,-1.88,-1.45,60.30,28.35,54.15,30.67,13.91,985.52,-38.92,122.50,-743.75,-122.50,1,53.588,"
1784215132.6778011,"01/01/2000,03:46:33.69,-1008.30,-42.48,58.11,-1.16,-1.42,-1.02,61.20,29.85,53.70,30.62,13.54,985.88,-38.67,262.50,-682.50,-192.50,1,53.587,"
1784215132.697842,"01/01/2000,03:46:33.71,-1019.04,-33.69,-7.32,-0.71,-0.96,-1.08,61.65,28.95,54.45,30.86,13.05,986.25,-37.58,52.50,-691.25,-297.50,1,53.587,"
1784215132.7151716,"01/01/2000,03:46:33.73,-1018.07,-54.20,33.69,0.71,-0.32,1.81,60.0,30.15,54.75,30.33,12.93,986.25,-37.33,-43.75,-612.50,-323.75,1,53.586,"
1784215132.731777,"01/01/2000,03:46:33.75,-1008.79,-51.27,53.22,2.55,0.81,2.31,60.60,29.55,54.60,30.43,13.05,985.76,-38.06,-35.0,-717.50,-166.25,1,53.591,"
1784215132.7488828,"01/01/2000,03:46:33.77,-990.23,-35.64,82.03,0.46,-0.22,-0.05,62.40,28.95,54.0,30.47,13.42,984.30,-38.43,446.25,-638.75,-227.50,1,53.590,"
1784215132.787258,"01/01/2000,03:46:33.80,-977.54,-20.51,71.29,0.74,-0.88,1.52,59.70,29.40,53.70,30.62,13.54,978.44,-34.77,105.0,-253.75,-192.50,1,53.589,"
1784215132.821964,"01/01/2000,03:46:33.84,-1012.21,-48.83,79.10,0.01,-1.01,0.89,61.95,28.65,53.70,30.62,12.81,980.03,-34.28,-647.50,-726.25,-358.75,1,53.594,"
1784215132.8651211,"01/01/2000,03:46:33.88,-992.19,-27.83,73.24,-2.05,-0.88,0.28,61.80,28.35,55.35,30.67,13.91,976.98,-37.58,708.75,-183.75,-350.0,1,53.592,"
1784215132.8984604,"01/01/2000,03:46:33.92,-1002.44,-43.46,57.62,0.59,-1.42,1.70,61.05,30.75,53.85,30.67,13.18,973.44,-32.57,-96.25,-210.0,-297.50,1,53.590,"
1784215132.9152446,"01/01/2000,03:46:33.93,-1027.34,-13.67,-7.32,1.07,0.0,0.37,59.85,28.05,55.80,30.33,12.69,973.80,-32.94,26.25,-638.75,-201.25,1,53.589,"
1784215132.933008,"01/01/2000,03:46:33.95,-1013.67,-26.86,-33.69,-0.95,1.18,-0.40,61.95,28.20,53.70,30.33,12.93,974.41,-33.55,87.50,-682.50,-210.0,1,53.595,"
1784215132.9510465,"01/01/2000,03:46:33.97,-1006.84,-34.18,-37.11,1.29,-0.06,0.21,61.65,29.40,53.70,30.47,13.05,974.41,-34.28,113.75,-857.50,-210.0,1,53.594,"
1784215132.9779596,"01/01/2000,03:46:33.99,-1018.07,-31.25,-2.93,0.27,0.18,-0.39,61.20,28.65,53.70,30.86,12.44,975.76,-34.65,157.50,-1330.0,-113.75,1,53.593,"
1784215132.994876,"01/01/2000,03:46:34.01,-1013.67,-64.45,13.67,-2.36,1.17,2.48,58.65,28.35,55.05,30.81,12.93,978.93,-35.99,271.25,262.50,-402.50,1,53.586,"
1784215133.0171542,"01/01/2000,03:46:34.03,-1030.27,-40.53,-6.35,0.73,-0.48,0.17,60.60,28.35,53.85,30.52,13.66,980.39,-35.75,332.50,87.50,-280.0,1,53.585,"
1784215133.0338514,"01/01/2000,03:46:34.05,-1019.53,-61.52,21.00,-1.28,1.34,-1.18,60.60,29.55,54.60,30.67,14.52,981.86,-34.65,-376.25,157.50,-280.0,1,53.584,"
1784215133.0735884,"01/01/2000,03:46:34.09,-1033.69,-34.67,-0.98,-1.23,0.12,0.13,61.35,28.35,53.85,30.47,12.93,983.32,-38.06,166.25,-595.0,-402.50,1,53.589,"
1784215133.0895262,"01/01/2000,03:46:34.11,-1009.28,-47.36,-0.98,3.0,0.66,0.21,61.95,29.40,52.95,30.52,12.20,982.71,-38.80,542.50,-647.50,-175.0,1,53.588,"
1784215133.1108727,"01/01/2000,03:46:34.13,-1014.65,-30.27,0.49,1.06,-0.56,1.18,61.20,27.75,54.0,30.47,12.57,982.10,-36.48,-43.75,-472.50,-428.75,1,53.587,"
1784215133.128925,"01/01/2000,03:46:34.14,-987.30,-21.97,62.99,-0.94,-0.08,0.98,60.30,30.0,54.15,30.62,13.18,982.71,-36.11,-376.25,-1120.0,-52.50,1,53.586,"
1784215133.1460524,"01/01/2000,03:46:34.16,-1021.48,-83.50,44.43,-0.37,-1.14,-1.14,62.25,30.45,54.60,30.09,13.18,983.44,-37.82,105.0,-2362.50,245.0,1,53.585,"
1784215133.162433,"01/01/2000,03:46:34.18,-1006.35,-18.55,42.48,-1.80,-0.03,0.09,62.40,27.45,54.45,30.47,13.66,984.78,-39.41,507.50,-1505.0,-236.25,1,53.591,"
1784215133.183412,"01/01/2000,03:46:34.20,-1003.91,-20.02,41.02,-2.12,0.53,-3.22,60.90,30.15,54.45,30.47,14.40,987.22,-38.55,323.75,971.25,-245.0,1,53.583,"
1784215133.2015655,"01/01/2000,03:46:34.22,-1012.70,-44.43,-47.36,0.42,-0.79,-0.20,61.35,29.55,52.65,30.67,12.93,987.71,-36.84,-358.75,-271.25,-253.75,1,53.589,"
1784215133.2186923,"01/01/2000,03:46:34.24,-1006.84,-32.23,56.64,0.78,-0.32,1.54,60.60,28.80,54.15,30.43,11.96,987.71,-36.60,-315.0,-1426.25,-341.25,1,53.588,"
1784215133.2359257,"01/01/2000,03:46:34.25,-1005.86,-74.71,75.68,-0.60,0.52,-0.55,61.95,28.65,53.25,30.67,13.54,986.86,-37.70,-78.75,-1846.25,131.25,1,53.587,"
1784215133.2597752,"01/01/2000,03:46:34.27,-1007.81,-2.44,-68.36,2.19,0.84,0.63,61.80,29.25,53.10,30.47,14.03,985.27,-38.92,420.0,-105.0,-542.50,1,53.586,"
1784215133.2764287,"01/01/2000,03:46:34.29,-999.51,-34.67,-12.21,0.34,2.08,-2.15,61.95,28.65,53.70,30.67,13.66,983.93,-38.31,297.50,-218.75,-218.75,1,53.586,"
1784215133.2997558,"01/01/2000,03:46:34.31,-995.12,-18.55,9.28,0.74,3.15,-1.98,62.55,28.80,53.85,30.47,13.54,983.81,-37.33,26.25,-315.0,-253.75,1,53.591,"
1784215133.3172665,"01/01/2000,03:46:34.33,-1034.18,-18.55,14.16,0.05,-0.65,-1.34,60.60,28.80,53.85,30.47,12.44,984.78,-37.94,52.50,-1321.25,-341.25,1,53.590,"
1784215133.3489861,"01/01/2000,03:46:34.36,-991.70,-33.20,63.96,-0.14,-1.10,-0.08,60.90,29.85,53.25,30.52,14.15,986.74,-38.31,376.25,-157.50,-358.75,1,53.589,"
1784215133.385382,"01/01/2000,03:46:34.40,-1015.14,-48.83,91.80,-1.37,0.24,-0.01,61.05,30.45,53.85,30.47,13.05,986.00,-37.82,105.0,-323.75,-455.0,1,53.587,"
1784215133.4026766,"01/01/2000,03:46:34.42,-990.23,-33.20,11.23,-2.19,-0.08,0.76,61.05,29.55,54.60,30.62,13.30,984.66,-38.31,280.0,-455.0,-210.0,1,53.592,"
1784215133.4196277,"01/01/2000,03:46:34.44,-1018.07,-44.92,11.23,-1.98,3.92,-1.18,61.35,29.25,55.35,30.52,14.27,984.30,-38.06,140.0,-17.50,-52.50,1,53.592,"
1784215133.4370258,"01/01/2000,03:46:34.45,-1032.23,-11.23,12.21,2.86,-1.73,3.82,61.35,28.35,55.05,30.67,13.42,984.42,-38.06,-26.25,-1067.50,-122.50,1,53.591,"
1784215133.4597495,"01/01/2000,03:46:34.47,-1028.32,-22.46,29.79,1.10,-0.52,-0.50,62.40,28.20,54.45,30.62,13.18,986.00,-38.43,210.0,-980.0,-43.75,1,53.590,"
1784215133.4794226,"01/01/2000,03:46:34.49,-1026.37,-21.00,32.71,-0.19,-0.40,-1.91,60.45,29.40,55.95,30.33,11.96,987.59,-38.31,175.0,-1671.25,-201.25,1,53.589,"
1784215133.4923172,"01/01/2000,03:46:34.51,-1031.74,-27.83,34.18,-1.27,1.42,1.53,60.45,29.85,54.0,30.62,13.05,987.83,-38.06,105.0,-542.50,-428.75,1,53.595,"
1784215133.5165706,"01/01/2000,03:46:34.53,-989.75,-17.09,-18.07,0.34,0.27,-0.73,61.65,29.40,55.95,30.62,14.88,987.22,-37.82,-78.75,-8.75,-113.75,1,53.587,"
