timestamp,data
1784215556.8881865,"01/01/2000,03:53:37.92,-1020.51,-63.96,25.39,-1.69,-0.45,0.88,60.30,29.25,55.05,31.86,13.30,987.47,-38.19,-70.0,-393.75,-271.25,1,53.480,"
1784215556.9178848,"01/01/2000,03:53:37.96,-986.82,-29.30,31.74,-0.27,-0.11,3.08,61.80,28.80,53.85,31.86,14.40,986.25,-38.43,-52.50,-1093.75,-43.75,1,53.480,"
1784215556.9432216,"01/01/2000,03:53:37.98,-1013.18,-31.25,-30.76,2.89,0.56,-1.05,60.90,29.40,53.70,31.91,13.42,985.39,-39.53,236.25,-848.75,-96.25,1,53.480,"
1784215556.9582815,"01/01/2000,03:53:38.00,-1031.25,-34.67,11.72,-1.83,-0.64,-1.72,61.65,29.85,53.25,31.72,12.69,985.76,-39.77,498.75,-498.75,-245.0,1,53.481,"
1784215556.9766302,"01/01/2000,03:53:38.01,-1013.67,-19.04,9.77,1.33,0.50,1.04,60.90,29.40,54.45,31.91,12.44,986.74,-38.80,315.0,-507.50,-455.0,1,53.480,"
1784215556.998859,"01/01/2000,03:53:38.04,-1018.55,-31.74,17.09,-1.18,-0.21,-0.44,61.05,29.55,53.85,31.77,13.42,986.86,-37.58,-210.0,-752.50,-288.75,1,53.480,"
1784215557.032642,"01/01/2000,03:53:38.07,-1015.14,-53.22,18.07,1.32,-3.37,0.68,60.30,30.45,53.40,31.91,14.27,986.00,-39.77,297.50,-927.50,-131.25,1,53.481,"
1784215557.043986,"01/01/2000,03:53:38.09,-1010.74,-31.74,-29.79,1.63,-2.79,-0.63,61.65,31.05,54.0,31.77,13.54,985.76,-40.26,525.0,-735.0,-262.50,1,53.481,"
1784215557.071487,"01/01/2000,03:53:38.11,-1021.97,-20.02,13.18,0.69,1.57,1.08,60.30,26.85,55.05,31.77,12.69,986.25,-38.67,201.25,-472.50,-218.75,1,53.481,"
1784215557.0891972,"01/01/2000,03:53:38.13,-1026.37,-39.06,16.60,0.89,-0.69,-0.75,61.20,29.40,54.0,31.72,13.05,986.86,-38.31,-210.0,-770.0,-183.75,1,53.481,"
1784215557.1069758,"01/01/2000,03:53:38.14,-993.65,-52.25,76.66,-2.23,-1.27,1.02,61.35,29.25,54.15,31.91,13.54,986.61,-39.28,157.50,-1006.25,-157.50,1,53.481,"
1784215557.1294901,"01/01/2000,03:53:38.16,-1017.58,-1.46,-45.90,0.41,1.15,0.28,58.95,29.40,54.45,31.72,14.27,986.00,-39.53,402.50,-1023.75,-96.25,1,53.480,"
1784215557.1516774,"01/01/2000,03:53:38.19,-1021.97,-32.23,-4.39,0.44,1.11,-1.86,58.35,28.35,56.85,31.86,13.66,986.00,-39.04,122.50,-428.75,-210.0,1,53.480,"
1784215557.1727278,"01/01/2000,03:53:38.21,-1020.51,-52.25,131.35,3.15,0.49,-1.53,60.30,27.60,54.60,31.72,13.18,986.61,-38.80,87.50,-402.50,-332.50,1,53.480,"
1784215557.1897957,"01/01/2000,03:53:38.23,-1042.48,-37.11,50.29,-1.73,0.71,-0.58,60.45,28.95,54.0,31.67,13.05,986.74,-38.80,35.0,-988.75,-113.75,1,53.480,"
1784215557.2111964,"01/01/2000,03:53:38.25,-1000.49,-56.64,54.69,-0.89,0.43,2.36,61.95,28.20,54.45,31.53,13.54,985.76,-39.04,52.50,-1050.0,-262.50,1,53.480,"
1784215557.2283661,"01/01/2000,03:53:38.26,-1020.51,-34.67,-1.95,1.08,0.89,-3.11,60.30,30.45,55.05,31.72,14.15,986.00,-39.16,131.25,-735.0,-148.75,1,53.480,"
1784215557.2517128,"01/01/2000,03:53:38.28,-1006.35,-69.34,126.46,-0.79,-1.32,-0.55,60.30,29.25,52.35,31.86,13.91,986.25,-39.28,201.25,-463.75,-201.25,1,53.480,"
1784215557.2686377,"01/01/2000,03:53:38.30,-1010.25,-22.46,17.09,-1.04,-0.24,2.23,61.80,30.75,53.40,31.86,13.18,986.49,-38.80,96.25,-411.25,-297.50,1,53.480,"
1784215557.2854545,"01/01/2000,03:53:38.32,-987.79,-48.34,55.18,2.26,-0.21,2.27,61.80,29.25,54.15,31.72,12.81,986.25,-38.67,70.0,-665.0,-236.25,1,53.479,"
1784215557.3018599,"01/01/2000,03:53:38.34,-1018.55,1.46,-15.14,3.03,-0.33,-1.33,60.30,30.75,54.15,31.77,12.69,986.13,-39.16,113.75,-1023.75,-288.75,1,53.480,"
1784215557.319463,"01/01/2000,03:53:38.36,-998.05,-28.32,-23.44,1.70,-0.90,-0.65,61.20,28.95,53.70,31.67,13.18,986.13,-39.53,262.50,-1076.25,-227.50,1,53.480,"
