timestamp,data
1784215245.0281293,"01/01/2000,03:48:26.05,-1021.00,-52.25,15.63,1.72,-0.91,-0.27,61.20,29.85,54.0,31.38,14.03,986.13,-38.06,105.0,0.0,-253.75,1,53.387,"
1784215245.0457332,"01/01/2000,03:48:26.07,-1000.0,5.37,24.41,-0.56,1.25,-0.38,60.90,29.40,54.75,30.86,13.42,986.13,-37.94,122.50,-52.50,-210.0,1,53.389,"
1784215245.0723004,"01/01/2000,03:48:26.09,-1007.32,-49.80,52.73,0.0,-0.47,-0.77,60.90,28.65,55.50,31.00,12.32,986.00,-38.55,166.25,-665.0,-315.0,1,53.386,"
1784215245.1096659,"01/01/2000,03:48:26.13,-1005.37,-30.27,38.57,-1.46,-1.22,-2.45,60.90,29.25,54.60,31.05,13.91,986.25,-38.43,61.25,-402.50,-122.50,1,53.385,"
1784215245.1282914,"01/01/2000,03:48:26.15,-1007.81,-54.20,126.95,-0.26,-0.43,-0.21,59.85,28.80,51.90,31.00,13.91,986.37,-37.82,78.75,-472.50,-280.0,1,53.388,"
1784215245.149032,"01/01/2000,03:48:26.17,-1018.55,-33.20,-46.88,0.20,-1.27,-0.71,63.0,30.75,53.40,31.05,13.30,986.25,-38.31,113.75,-568.75,-341.25,1,53.385,"
1784215245.1660964,"01/01/2000,03:48:26.19,-1036.13,-39.55,21.97,-0.69,-0.87,0.17,61.05,27.60,53.10,31.05,13.05,985.88,-38.80,148.75,-656.25,-131.25,1,53.387,"
1784215245.1838005,"01/01/2000,03:48:26.21,-1001.46,-41.02,25.39,0.29,-0.57,1.52,62.25,29.25,53.40,31.14,13.18,985.64,-38.80,148.75,-586.25,-297.50,1,53.387,"
1784215245.2005448,"01/01/2000,03:48:26.22,-973.63,-48.34,-18.07,-0.02,-0.02,1.99,60.60,30.0,53.85,31.14,13.66,986.00,-38.43,78.75,-533.75,-227.50,1,53.386,"
1784215245.2389336,"01/01/2000,03:48:26.26,-1023.93,-43.95,72.75,0.37,0.72,-0.50,60.30,29.25,53.85,31.19,13.54,986.13,-38.43,113.75,-761.25,-306.25,1,53.386,"
1784215245.2733576,"01/01/2000,03:48:26.30,-1000.49,-78.13,67.38,0.0,1.41,-1.15,60.60,28.80,53.85,31.14,13.18,986.00,-38.43,245.0,-726.25,-210.0,1,53.388,"
1784215245.2966883,"01/01/2000,03:48:26.32,-1010.25,-36.13,21.00,0.35,-1.06,0.19,60.90,29.85,53.70,31.24,13.18,986.37,-38.19,8.75,-638.75,-262.50,1,53.387,"
1784215245.311869,"01/01/2000,03:48:26.33,-1004.39,-7.32,7.32,0.27,0.26,-0.42,60.90,28.65,54.45,31.14,13.30,986.49,-38.06,61.25,-717.50,-227.50,1,53.387,"
1784215245.3275921,"01/01/2000,03:48:26.35,-992.19,-32.71,65.43,-0.01,-2.37,0.23,60.0,29.40,54.45,31.34,13.42,986.37,-38.31,35.0,-708.75,-358.75,1,53.387,"
1784215245.3497515,"01/01/2000,03:48:26.37,-1007.32,-21.48,42.48,-1.75,0.11,2.18,60.30,28.80,54.15,31.14,13.54,986.25,-38.31,201.25,-463.75,-201.25,1,53.386,"
1784215245.3672462,"01/01/2000,03:48:26.39,-994.63,-11.72,-21.48,-0.29,-0.15,-1.72,60.0,30.60,54.45,31.24,13.18,986.49,-38.43,253.75,-691.25,-227.50,1,53.389,"
1784215245.3843238,"01/01/2000,03:48:26.41,-1014.16,-12.21,-27.34,-1.85,0.74,-1.23,61.35,29.25,53.85,31.14,13.18,986.49,-38.19,131.25,-673.75,-236.25,1,53.388,"
1784215245.4014812,"01/01/2000,03:48:26.42,-1001.95,-45.90,64.45,1.34,-0.60,0.18,61.20,28.95,55.20,31.05,13.18,986.49,-38.06,131.25,-787.50,-245.0,1,53.388,"
1784215245.4290144,"01/01/2000,03:48:26.44,-1005.37,-30.27,12.21,2.53,-0.59,0.41,59.85,28.35,53.85,31.34,13.42,986.13,-38.31,201.25,-691.25,-323.75,1,53.388,"
1784215245.4449909,"01/01/2000,03:48:26.46,-1019.04,-23.93,-1.46,2.97,-1.76,1.13,61.05,28.80,55.05,31.14,13.42,986.13,-38.55,201.25,-735.0,-122.50,1,53.387,"
1784215245.461146,"01/01/2000,03:48:26.48,-1025.88,-40.04,4.88,1.59,-0.66,-0.98,60.90,28.65,53.70,31.14,13.30,986.25,-38.31,236.25,-682.50,-245.0,1,53.390,"
1784215245.4750662,"01/01/2000,03:48:26.50,-1022.46,-23.44,-22.46,0.56,1.26,-0.18,61.95,28.65,53.25,31.00,13.18,986.37,-38.06,122.50,-787.50,-192.50,1,53.389,"
1784215245.500788,"01/01/2000,03:48:26.52,-1041.02,-33.69,11.23,-1.60,-0.98,-2.15,60.90,29.40,54.75,31.24,13.18,986.25,-37.94,0.0,-743.75,-218.75,1,53.389,"
1784215245.528098,"01/01/2000,03:48:26.55,-985.84,-33.69,84.47,0.77,0.79,2.56,59.85,29.55,53.40,30.95,13.42,985.88,-38.43,70.0,-752.50,-218.75,1,53.388,"
1784215245.551743,"01/01/2000,03:48:26.57,-1030.76,-58.11,49.80,2.63,-2.20,0.79,61.65,27.45,54.75,31.19,13.42,985.76,-38.55,131.25,-735.0,-87.50,1,53.388,"
1784215245.5683172,"01/01/2000,03:48:26.59,-1020.02,-31.74,-6.35,1.76,0.40,2.02,61.65,27.45,54.75,31.05,13.05,986.00,-38.31,210.0,-691.25,-288.75,1,53.388,"
1784215245.5993142,"01/01/2000,03:48:26.62,-1016.60,-9.77,-18.55,4.22,1.91,-0.66,57.60,27.15,56.55,31.05,13.18,986.25,-38.55,87.50,-656.25,-175.0,1,53.387,"
1784215245.6182992,"01/01/2000,03:48:26.64,-1022.46,-43.95,-9.77,-3.05,1.05,-0.77,59.70,28.95,54.0,31.05,13.18,986.00,-38.55,192.50,-525.0,-350.0,1,53.387,"
1784215245.6559753,"01/01/2000,03:48:26.68,-1026.86,-35.64,13.67,-0.24,-0.31,-0.44,59.85,27.15,56.10,30.86,13.18,982.47,-36.84,70.0,-472.50,-288.75,1,53.386,"
1784215245.6739848,"01/01/2000,03:48:26.70,-1021.00,-15.14,18.07,-0.06,-0.02,1.74,60.90,29.40,52.95,31.05,13.42,982.22,-34.89,393.75,-323.75,-227.50,1,53.386,"
1784215245.697367,"01/01/2000,03:48:26.71,-994.63,24.41,95.70,0.23,3.67,-0.44,61.05,30.0,53.40,31.05,13.42,981.86,-33.18,-411.25,-306.25,-288.75,1,53.386,"
1784215245.7128146,"01/01/2000,03:48:26.73,-978.52,-43.46,11.23,-1.60,0.17,1.80,61.80,27.15,55.80,31.14,13.66,978.68,-33.92,-778.75,-472.50,-148.75,1,53.385,"
1784215245.7291727,"01/01/2000,03:48:26.75,-1008.79,-13.18,-3.91,1.19,-0.44,-0.19,60.45,28.95,54.75,31.14,13.79,974.29,-36.48,78.75,-236.25,-78.75,1,53.385,"
1784215245.7464783,"01/01/2000,03:48:26.77,-993.16,-4.88,-4.39,-0.69,-2.14,1.92,61.20,29.40,53.70,30.95,13.66,974.05,-38.06,1067.50,393.75,-323.75,1,53.387,"
1784215245.768214,"01/01/2000,03:48:26.79,-1004.88,-41.99,-23.44,-1.08,-1.03,-2.02,60.60,28.80,51.90,31.24,12.69,976.61,-34.65,253.75,61.25,-288.75,1,53.384,"
1784215245.8028007,"01/01/2000,03:48:26.82,-990.72,-50.29,82.03,-2.14,0.37,-0.83,61.20,28.95,53.70,31.05,12.93,975.02,-28.79,-848.75,-665.0,-218.75,1,53.386,"
1784215245.8202345,"01/01/2000,03:48:26.84,-1016.60,-35.64,93.26,-0.52,-2.66,1.31,62.40,31.05,54.0,31.14,14.88,974.29,-31.23,-708.75,315.0,-61.25,1,53.386,"
1784215245.8627129,"01/01/2000,03:48:26.88,-1000.49,-45.90,22.46,-1.67,-0.65,-0.87,60.90,28.95,53.70,31.05,12.81,974.66,-36.84,752.50,-516.25,-271.25,1,53.385,"
1784215245.8930602,"01/01/2000,03:48:26.91,-1025.39,-27.83,7.32,1.73,-0.98,-0.14,59.10,30.75,53.40,31.14,11.96,980.39,-33.55,-52.50,-1373.75,-323.75,1,53.387,"
1784215245.9161057,"01/01/2000,03:48:26.94,-1024.90,-21.97,-3.42,0.06,1.50,0.95,60.90,30.15,54.0,30.95,13.79,982.34,-33.43,-253.75,-358.75,-393.75,1,53.387,"
1784215245.9296188,"01/01/2000,03:48:26.95,-1002.93,-25.88,-26.37,-0.53,-0.47,-1.01,61.20,28.20,53.70,31.14,14.27,982.10,-34.65,-210.0,-411.25,26.25,1,53.386,"
1784215245.9490952,"01/01/2000,03:48:26.97,-997.56,-22.95,23.93,-0.24,0.99,0.08,61.65,29.85,54.75,31.38,13.18,981.12,-36.84,52.50,-1067.50,-96.25,1,53.386,"
1784215245.9659708,"01/01/2000,03:48:26.99,-993.16,-19.53,-13.18,1.12,-0.67,-3.25,61.05,30.75,54.15,30.95,12.81,981.00,-38.19,533.75,-787.50,-358.75,1,53.389,"
1784215245.9900122,"01/01/2000,03:48:27.01,-1026.86,-25.39,23.44,-1.15,-1.37,1.12,61.80,28.80,53.10,31.05,13.05,982.22,-37.82,411.25,-341.25,-183.75,1,53.388,"
1784215246.021412,"01/01/2000,03:48:27.04,-1016.60,-17.09,6.84,1.40,0.22,-0.28,60.90,30.15,54.0,31.24,13.79,985.88,-35.99,-192.50,-542.50,-201.25,1,53.387,"
1784215246.042791,"01/01/2000,03:48:27.06,-1016.60,-32.23,-2.44,0.69,1.37,-0.23,62.40,28.95,54.0,31.14,13.79,986.49,-36.84,236.25,-796.25,-166.25,1,53.387,"
1784215246.0766745,"01/01/2000,03:48:27.10,-1001.46,-8.79,-8.30,1.62,-0.11,-0.42,60.30,30.0,51.90,31.05,12.08,985.76,-37.09,8.75,-2082.50,70.0,1,53.389,"
1784215246.1017537,"01/01/2000,03:48:27.12,-1006.84,-58.59,-4.39,-1.33,-1.14,2.66,61.20,28.95,53.25,31.05,13.18,985.39,-38.31,148.75,192.50,-437.50,1,53.386,"
1784215246.127838,"01/01/2000,03:48:27.15,-1008.30,-34.18,2.93,0.16,-3.73,0.82,61.05,29.25,55.05,31.24,15.01,986.37,-39.53,481.25,726.25,-218.75,1,53.386,"
1784215246.1433914,"01/01/2000,03:48:27.16,-972.17,-5.37,-35.64,-0.03,0.58,0.95,60.90,28.65,53.70,31.14,14.27,986.98,-38.43,236.25,-315.0,-183.75,1,53.385,"
1784215246.1763022,"01/01/2000,03:48:27.20,-1015.14,-37.11,60.06,0.93,0.25,-1.26,60.30,29.55,52.65,31.14,12.69,984.78,-36.23,-455.0,-560.0,-253.75,1,53.387,"
1784215246.1979346,"01/01/2000,03:48:27.22,-1038.09,-34.67,60.06,0.82,-0.32,-0.99,61.20,30.15,54.45,31.38,12.08,985.27,-38.43,201.25,-612.50,-306.25,1,53.387,"
1784215246.2153397,"01/01/2000,03:48:27.24,-1034.18,-38.09,12.21,3.11,-1.33,0.03,60.45,28.95,53.70,31.14,11.96,985.76,-40.38,533.75,-1496.25,-70.0,1,53.387,"
1784215246.2283974,"01/01/2000,03:48:27.25,-1004.39,-29.79,-72.27,2.02,0.56,4.52,60.0,27.75,54.0,31.14,13.18,985.64,-39.53,665.0,-1636.25,-122.50,1,53.386,"
1784215246.2585876,"01/01/2000,03:48:27.27,-1017.09,-52.25,5.86,-2.02,-0.21,-0.49,61.20,28.65,54.75,31.19,14.64,987.59,-36.84,-385.0,-385.0,-175.0,1,53.386,"
1784215246.2701473,"01/01/2000,03:48:27.29,-998.05,-31.25,111.82,-1.43,0.29,-4.14,61.20,28.65,54.75,31.24,14.64,987.47,-36.84,-245.0,183.75,-253.75,1,53.386,"
1784215246.3044593,"01/01/2000,03:48:27.33,-1000.0,-19.04,31.25,0.50,0.11,-1.66,62.25,29.25,52.65,31.24,13.42,985.03,-38.06,192.50,-43.75,-315.0,1,53.388,"
1784215246.3253167,"01/01/2000,03:48:27.35,-1014.65,-29.79,81.54,3.77,-0.89,1.51,61.20,28.95,53.25,31.14,10.74,984.05,-38.31,-26.25,-3500.0,122.50,1,53.387,"
1784215246.3434746,"01/01/2000,03:48:27.36,-1028.81,0.49,5.86,2.36,-2.44,-2.85,61.65,30.15,52.50,31.19,11.47,985.03,-38.92,455.0,-2135.0,-385.0,1,53.387,"
1784215246.3598192,"01/01/2000,03:48:27.38,-1007.81,-18.07,38.57,-0.71,-1.47,0.80,61.65,30.15,52.50,31.14,14.03,986.98,-38.80,385.0,-341.25,-157.50,1,53.387,"
1784215246.38264,"01/01/2000,03:48:27.40,-991.21,-18.07,57.13,-1.07,0.55,0.93,63.0,30.0,53.40,31.24,13.42,989.05,-37.70,148.75,-472.50,-218.75,1,53.389,"
1784215246.3992202,"01/01/2000,03:48:27.42,-980.96,-66.89,33.69,-1.48,1.56,-2.47,61.65,28.65,54.45,31.00,14.27,988.08,-37.45,-26.25,-498.75,-341.25,1,53.386,"
1784215246.416013,"01/01/2000,03:48:27.44,-1000.98,-30.76,41.02,-0.64,0.79,-0.63,61.20,29.85,53.70,31.14,15.62,985.76,-37.82,-61.25,323.75,-122.50,1,53.388,"
1784215246.4305427,"01/01/2000,03:48:27.45,-992.19,-32.71,21.97,1.46,-0.16,0.45,61.95,28.65,54.0,31.34,14.76,983.93,-38.19,96.25,-210.0,-105.0,1,53.388,"
1784215246.449614,"01/01/2000,03:48:27.47,-999.51,-8.30,123.54,1.22,-1.89,2.08,61.95,28.65,54.0,31.38,12.69,983.32,-38.80,175.0,-1225.0,-105.0,1,53.388,"
1784215246.4712305,"01/01/2000,03:48:27.49,-1011.23,-56.15,45.41,-0.50,1.40,-0.86,62.40,29.85,53.70,31.05,11.83,985.03,-38.92,481.25,-1111.25,-323.75,1,53.387,"
1784215246.5055838,"01/01/2000,03:48:27.53,-1035.16,-27.83,-11.23,0.80,1.75,-3.26,61.65,29.40,54.45,31.14,13.30,988.20,-36.84,-236.25,-1085.0,-288.75,1,53.389,"
1784215246.5275915,"01/01/2000,03:48:27.55,-1025.88,-17.58,-3.91,-0.29,0.15,-1.50,62.40,30.15,52.50,31.24,16.23,987.35,-37.21,-148.75,341.25,-148.75,1,53.389,"
1784215246.5444407,"01/01/2000,03:48:27.57,-1004.88,-33.69,90.82,2.85,0.16,0.50,61.95,30.15,52.95,31.19,15.86,986.37,-38.06,175.0,323.75,-131.25,1,53.389,"
1784215246.561035,"01/01/2000,03:48:27.58,-1036.13,-31.74,-47.85,1.04,-2.99,2.04,61.05,30.75,54.60,31.05,13.18,985.64,-38.55,70.0,-595.0,-411.25,1,53.388,"
1784215246.5780692,"01/01/2000,03:48:27.60,-1042.48,-44.92,29.79,0.03,3.84,-1.31,61.35,29.55,54.15,31.14,12.32,985.64,-38.55,280.0,-857.50,-315.0,1,53.388,"
1784215246.59938,"01/01/2000,03:48:27.62,-1022.46,-26.86,83.98,1.20,-0.07,-0.22,61.65,29.40,53.70,31.14,11.35,986.25,-38.19,288.75,-2047.50,-218.75,1,53.388,"
1784215246.6243382,"01/01/2000,03:48:27.65,-1010.74,-25.88,-4.39,0.69,0.40,-2.89,61.05,29.25,53.40,31.14,14.88,986.37,-37.58,78.75,-516.25,-306.25,1,53.387,"
1784215246.6491816,"01/01/2000,03:48:27.67,-1000.98,-43.46,89.84,-3.28,1.76,-3.64,61.65,28.95,53.70,31.19,15.74,986.37,-37.82,332.50,-148.75,17.50,1,53.387,"
1784215246.6606767,"01/01/2000,03:48:27.68,-1018.55,1.95,-27.83,-1.44,1.73,-0.12,61.35,30.0,53.10,31.14,15.01,986.37,-38.43,26.25,507.50,-507.50,1,53.387,"
1784215246.6828885,"01/01/2000,03:48:27.71,-1016.60,-12.21,55.66,0.60,-1.73,-1.67,60.45,28.20,54.75,31.19,13.05,985.88,-38.80,227.50,-770.0,61.25,1,53.386,"
1784215246.700479,"01/01/2000,03:48:27.72,-1024.90,-48.83,57.13,2.47,0.30,1.68,60.45,28.20,54.75,31.05,11.83,985.76,-38.31,245.0,-1426.25,-586.25,1,53.386,"
1784215246.717307,"01/01/2000,03:48:27.74,-1002.93,-55.66,41.02,0.03,-1.11,-0.20,62.40,29.85,52.95,31.34,12.20,985.64,-37.82,0.0,-1662.50,-157.50,1,53.388,"
1784215246.7414541,"01/01/2000,03:48:27.76,-1011.23,-12.21,-1.46,0.15,0.11,0.15,61.05,29.55,54.15,31.14,15.13,985.88,-38.31,-78.75,-87.50,-175.0,1,53.385,"
