timestamp,data
1784215510.110811,"01/01/2000,03:52:51.14,-997.56,-43.46,101.07,0.07,-0.72,-0.61,61.05,28.80,54.60,31.86,14.27,986.25,-38.80,122.50,-630.0,-271.25,1,53.477,"
1784215510.1277263,"01/01/2000,03:52:51.16,-1012.21,-43.95,-8.79,1.21,-0.79,-1.02,60.60,29.25,54.60,31.67,13.05,986.37,-38.80,-43.75,-1006.25,-131.25,1,53.477,"
1784215510.1509569,"01/01/2000,03:52:51.18,-1011.23,-47.36,-38.09,2.04,-1.82,-0.63,59.70,28.65,54.45,31.86,12.81,986.25,-39.28,236.25,-1251.25,-315.0,1,53.478,"
1784215510.1695752,"01/01/2000,03:52:51.20,-1011.72,-56.15,20.02,0.71,-1.50,-0.70,61.35,27.15,54.15,31.72,13.42,986.37,-39.41,166.25,-1662.50,17.50,1,53.477,"
1784215510.1897998,"01/01/2000,03:52:51.23,-1001.95,-46.39,86.91,-0.30,1.67,2.11,60.30,29.25,54.60,31.72,14.52,986.37,-38.67,61.25,-910.0,-262.50,1,53.477,"
1784215510.207568,"01/01/2000,03:52:51.24,-1020.02,-0.98,29.30,0.06,1.96,-1.76,62.40,29.85,53.70,31.67,13.91,986.49,-38.92,26.25,-1058.75,-105.0,1,53.477,"
1784215510.2206044,"01/01/2000,03:52:51.26,-1023.93,-43.46,43.46,0.55,-0.66,-3.69,61.20,29.40,54.0,31.48,13.42,986.13,-39.53,227.50,-910.0,-61.25,1,53.477,"
1784215510.2441165,"01/01/2000,03:52:51.28,-1024.41,-33.69,-21.48,1.31,2.20,0.19,61.20,29.40,54.0,31.72,13.05,985.76,-39.53,253.75,-1181.25,-428.75,1,53.478,"
1784215510.278595,"01/01/2000,03:52:51.32,-1009.28,-16.11,15.63,0.13,-0.39,1.81,61.05,30.0,53.10,31.86,14.15,986.49,-38.67,131.25,-892.50,-262.50,1,53.477,"
1784215510.2991076,"01/01/2000,03:52:51.33,-1020.51,-41.99,95.70,-1.37,-1.0,-1.87,61.20,28.95,54.45,31.58,14.27,986.49,-38.67,-61.25,-892.50,-236.25,1,53.477,"
1784215510.31876,"01/01/2000,03:52:51.35,-1031.74,-46.88,20.02,0.18,-1.20,2.54,61.05,29.25,53.10,31.72,13.91,986.13,-39.04,-17.50,-857.50,-192.50,1,53.477,"
1784215510.3386827,"01/01/2000,03:52:51.37,-1017.09,-8.30,37.60,0.11,-0.02,3.44,62.25,28.80,54.60,31.67,13.30,986.00,-39.28,271.25,-787.50,-323.75,1,53.477,"
1784215510.355283,"01/01/2000,03:52:51.39,-1013.18,-53.71,5.37,-1.04,-0.32,1.24,60.0,28.95,54.0,31.67,13.54,986.25,-39.04,157.50,-875.0,-166.25,1,53.477,"
1784215510.3726978,"01/01/2000,03:52:51.41,-1013.18,-31.74,30.76,-0.69,0.36,0.99,61.80,28.35,54.60,31.91,13.91,986.61,-38.67,35.0,-936.25,-43.75,1,53.478,"
1784215510.4109738,"01/01/2000,03:52:51.45,-999.02,-40.53,43.95,-1.40,1.40,0.70,61.65,27.75,53.70,31.67,14.03,986.25,-39.41,105.0,-787.50,-140.0,1,53.477,"
1784215510.4278166,"01/01/2000,03:52:51.46,-1010.74,-19.04,37.11,0.12,0.93,-0.70,61.35,29.25,53.40,31.48,13.54,986.00,-39.41,210.0,-630.0,-201.25,1,53.477,"
1784215510.4445472,"01/01/2000,03:52:51.48,-1003.42,-45.41,49.80,-1.84,-1.04,1.28,60.0,29.85,53.70,31.77,13.30,986.25,-38.80,227.50,-813.75,-323.75,1,53.478,"
1784215510.4692767,"01/01/2000,03:52:51.50,-1015.14,-41.50,8.79,0.31,1.60,-1.74,60.90,28.95,54.75,31.72,13.66,986.49,-38.55,43.75,-691.25,-262.50,1,53.477,"
1784215510.4860582,"01/01/2000,03:52:51.52,-1002.93,-31.25,11.23,1.37,1.02,-0.44,60.90,30.60,54.75,31.77,14.03,986.25,-38.92,192.50,-840.0,-201.25,1,53.478,"
1784215510.5029933,"01/01/2000,03:52:51.53,-1012.21,-50.78,15.14,0.17,-0.82,-2.12,61.35,30.75,53.40,31.48,14.15,986.13,-39.28,166.25,-656.25,-201.25,1,53.478,"
1784215510.518868,"01/01/2000,03:52:51.55,-994.63,-38.09,53.22,0.15,-1.17,-0.96,61.65,30.15,53.70,31.58,13.91,986.00,-39.41,306.25,-700.0,-122.50,1,53.478,"
1784215510.5387766,"01/01/2000,03:52:51.57,-1018.55,-57.13,98.63,0.95,-0.56,-0.22,62.25,29.25,54.15,31.67,13.18,986.25,-38.80,131.25,-726.25,-210.0,1,53.477,"
1784215510.5563295,"01/01/2000,03:52:51.59,-1017.09,-23.93,30.76,2.53,-0.73,-2.79,60.30,28.80,55.05,32.01,13.30,986.49,-38.92,-87.50,-778.75,-148.75,1,53.477,"
1784215510.573501,"01/01/2000,03:52:51.61,-1011.72,-39.06,11.72,0.96,-0.73,0.60,60.30,31.20,54.15,31.67,13.54,986.13,-39.04,227.50,-682.50,-288.75,1,53.478,"
1784215510.5951781,"01/01/2000,03:52:51.63,-1035.16,-11.72,-58.11,1.21,-0.32,1.66,60.0,29.85,52.50,31.67,13.79,986.00,-39.41,148.75,-778.75,-227.50,1,53.478,"
1784215510.6118689,"01/01/2000,03:52:51.65,-1016.60,-24.90,42.97,1.12,-1.92,0.41,61.05,29.55,53.85,31.67,13.66,985.88,-39.28,271.25,-595.0,-61.25,1,53.478,"
1784215510.62981,"01/01/2000,03:52:51.66,-1022.46,-25.88,21.48,0.28,0.68,-0.05,61.20,28.95,54.0,31.67,13.42,986.49,-38.92,157.50,-551.25,-297.50,1,53.478,"
1784215510.6451042,"01/01/2000,03:52:51.68,-1012.21,-44.92,54.20,0.67,0.54,1.29,60.60,29.25,53.85,31.67,12.93,986.61,-38.55,35.0,-708.75,-253.75,1,53.478,"
1784215510.6679318,"01/01/2000,03:52:51.70,-1004.88,-15.14,24.41,1.12,0.25,0.05,61.05,30.0,53.40,31.72,13.18,986.49,-38.80,113.75,-726.25,-236.25,1,53.478,"
1784215510.6960907,"01/01/2000,03:52:51.73,-1008.30,-44.92,62.99,-0.67,0.08,-0.86,59.55,28.35,53.85,31.72,13.42,986.13,-39.28,271.25,-577.50,-280.0,1,53.477,"
1784215510.73095,"01/01/2000,03:52:51.76,-1029.30,-29.79,-13.67,1.47,-0.69,-0.11,60.0,30.60,55.50,31.48,13.18,986.74,-38.92,78.75,-735.0,-227.50,1,53.477,"
1784215510.752281,"01/01/2000,03:52:51.79,-1023.93,-38.09,76.66,-0.59,-0.52,-0.97,61.65,29.85,53.25,31.58,13.05,984.05,-38.31,96.25,-822.50,-210.0,1,53.477,"
1784215510.7676682,"01/01/2000,03:52:51.80,-1007.32,-11.72,22.95,0.72,1.83,0.84,61.05,30.45,53.85,31.58,13.42,982.83,-37.58,253.75,-385.0,-175.0,1,53.477,"
1784215510.786268,"01/01/2000,03:52:51.82,-949.71,-21.00,103.52,-1.09,-1.08,-0.73,61.05,30.45,53.85,31.58,13.66,982.10,-35.99,577.50,-288.75,-350.0,1,53.477,"
1784215510.8036776,"01/01/2000,03:52:51.84,-1012.70,-29.30,-69.34,-0.62,-0.29,-0.13,61.35,29.55,53.10,31.72,13.42,981.98,-33.92,-393.75,-420.0,-262.50,1,53.478,"
1784215510.827871,"01/01/2000,03:52:51.86,-1018.07,-28.81,-17.09,2.31,-0.59,-0.98,60.60,30.0,53.40,31.67,12.93,977.95,-34.53,-805.0,-1592.50,-131.25,1,53.478,"
1784215510.842593,"01/01/2000,03:52:51.88,-1019.53,-35.64,53.71,-3.35,-0.62,-0.11,60.45,29.85,54.0,31.72,14.03,974.29,-37.94,201.25,-525.0,-148.75,1,53.477,"
1784215510.859201,"01/01/2000,03:52:51.89,-994.14,-45.41,-23.44,-2.79,-1.46,0.98,61.20,27.0,53.70,31.67,14.52,974.05,-38.80,1225.0,708.75,-271.25,1,53.477,"
1784215510.8850386,"01/01/2000,03:52:51.92,-993.16,-19.04,-35.16,1.11,0.72,1.20,60.0,29.85,52.50,31.77,12.81,976.73,-35.01,323.75,-831.25,-157.50,1,53.477,"
1784215510.8982277,"01/01/2000,03:52:51.93,-1018.55,-10.25,-10.74,1.95,-0.06,0.93,60.0,29.85,53.70,31.77,12.69,976.37,-30.62,-700.0,-1540.0,-315.0,1,53.477,"
1784215510.9112577,"01/01/2000,03:52:51.95,-988.28,-57.13,-21.97,2.09,2.07,-2.24,60.60,29.55,52.65,31.67,14.40,974.54,-30.38,-516.25,-236.25,-61.25,1,53.478,"
1784215510.9324195,"01/01/2000,03:52:51.97,-974.61,-44.92,63.96,-1.57,0.37,-0.11,61.20,29.40,52.95,31.77,13.66,972.83,-33.79,-113.75,-805.0,-26.25,1,53.478,"
1784215510.953385,"01/01/2000,03:52:51.99,-1009.28,8.79,-24.41,-1.87,-0.31,-0.33,61.95,28.65,52.95,31.77,13.42,972.46,-36.84,603.75,-577.50,-350.0,1,53.478,"
1784215510.9705706,"01/01/2000,03:52:52.01,-1025.39,-34.67,-51.76,-0.98,-1.27,-0.37,61.35,30.75,53.10,31.72,13.42,975.15,-37.33,595.0,-70.0,-280.0,1,53.477,"
1784215510.988161,"01/01/2000,03:52:52.02,-1038.57,-33.20,-29.79,1.56,-0.24,2.46,60.60,28.80,52.65,31.67,12.81,978.93,-35.62,218.75,-551.25,-323.75,1,53.477,"
1784215511.0056448,"01/01/2000,03:52:52.04,-1024.90,-60.06,55.66,-0.65,0.73,-0.24,61.05,29.25,54.15,31.91,12.93,981.98,-33.67,-323.75,-787.50,-323.75,1,53.477,"
1784215511.0269015,"01/01/2000,03:52:52.06,-998.05,-22.95,-30.76,2.17,-0.90,0.44,60.60,30.45,53.40,31.72,14.03,982.47,-33.92,-481.25,-1233.75,61.25,1,53.477,"
1784215511.0612361,"01/01/2000,03:52:52.10,-1002.93,-28.81,80.57,-1.45,-0.42,-0.76,60.0,30.15,54.45,31.72,14.64,981.12,-38.31,288.75,420.0,-210.0,1,53.478,"
1784215511.0782602,"01/01/2000,03:52:52.12,-1008.30,-31.25,22.46,0.33,-2.60,2.76,61.20,28.65,54.45,31.58,13.18,982.34,-39.16,420.0,428.75,-358.75,1,53.478,"
1784215511.0991693,"01/01/2000,03:52:52.13,-1018.07,-22.95,-16.60,-0.21,-0.22,1.06,61.95,29.40,54.45,31.86,12.32,982.83,-37.94,245.0,-428.75,-455.0,1,53.478,"
1784215511.1122122,"01/01/2000,03:52:52.15,-993.65,-24.41,-0.49,-0.51,0.48,-1.77,60.60,29.25,54.15,31.77,13.54,983.69,-36.36,-201.25,-866.25,52.50,1,53.477,"
1784215511.1339912,"01/01/2000,03:52:52.17,-984.86,-70.80,41.50,1.27,1.16,-0.49,61.35,29.25,54.15,31.72,13.66,984.78,-37.33,-227.50,-1242.50,43.75,1,53.478,"
1784215511.1553206,"01/01/2000,03:52:52.19,-1041.50,-27.34,65.92,-1.47,-1.13,0.95,61.95,29.40,54.0,31.67,13.79,985.39,-39.77,735.0,-621.25,-245.0,1,53.478,"
1784215511.1892002,"01/01/2000,03:52:52.22,-1005.37,-24.90,-6.84,0.13,0.69,-1.98,63.60,30.15,52.95,31.72,11.47,985.76,-37.94,96.25,-2940.0,70.0,1,53.478,"
1784215511.2289336,"01/01/2000,03:52:52.25,-1020.02,-50.29,2.44,0.47,1.29,0.66,59.85,28.05,55.05,31.77,13.42,986.37,-38.43,-105.0,253.75,-481.25,1,53.477,"
1784215511.240912,"01/01/2000,03:52:52.27,-1020.51,-39.55,100.10,-0.22,-2.69,-0.21,60.60,28.35,54.60,31.86,15.13,986.86,-40.38,586.25,-210.0,-148.75,1,53.477,"
1784215511.2632499,"01/01/2000,03:52:52.29,-1014.16,-41.99,6.35,0.99,1.14,0.47,60.45,29.85,54.15,31.77,14.40,986.74,-39.77,376.25,-280.0,-525.0,1,53.476,"
1784215511.2921538,"01/01/2000,03:52:52.33,-1018.07,-9.77,34.67,-0.38,1.32,-1.67,61.20,30.60,52.95,31.72,12.32,984.17,-37.33,-428.75,-1155.0,-105.0,1,53.477,"
1784215511.311472,"01/01/2000,03:52:52.35,-1020.51,-17.58,-32.71,1.03,-0.34,0.28,61.05,30.0,54.15,31.72,11.96,985.76,-40.26,437.50,-1128.75,-393.75,1,53.477,"
1784215511.3299696,"01/01/2000,03:52:52.36,-1027.83,-42.48,10.74,0.15,0.22,-1.37,62.25,30.0,55.35,31.58,13.42,986.74,-41.24,787.50,-481.25,-70.0,1,53.477,"
1784215511.34549,"01/01/2000,03:52:52.38,-1001.46,-20.02,41.50,-1.85,-0.11,-2.43,63.0,30.0,53.40,31.86,14.40,987.47,-39.53,393.75,96.25,-376.25,1,53.477,"
1784215511.3681695,"01/01/2000,03:52:52.40,-989.75,-31.74,-27.34,-0.31,1.88,-2.36,60.0,27.45,56.25,31.67,14.40,987.71,-37.33,-525.0,-988.75,52.50,1,53.477,"
1784215511.38502,"01/01/2000,03:52:52.42,-1009.77,-35.64,13.18,1.58,1.53,0.61,61.65,31.80,53.70,31.67,13.79,986.00,-38.19,26.25,-533.75,-227.50,1,53.476,"
1784215511.4025967,"01/01/2000,03:52:52.44,-1027.83,-51.27,47.36,1.24,-1.05,0.63,62.55,30.75,53.85,31.77,11.83,984.54,-39.53,350.0,-1592.50,-201.25,1,53.477,"
1784215511.4194043,"01/01/2000,03:52:52.45,-1024.41,-21.97,40.04,0.40,0.07,0.69,61.65,28.65,54.0,31.67,13.05,984.30,-40.14,393.75,-280.0,-315.0,1,53.477,"
1784215511.4408765,"01/01/2000,03:52:52.48,-1025.39,-31.25,-83.50,0.17,-1.27,1.15,62.70,30.15,53.70,31.77,13.30,985.39,-39.53,315.0,-1050.0,-271.25,1,53.477,"
1784215511.4758446,"01/01/2000,03:52:52.51,-998.05,-40.53,75.68,1.34,-1.93,0.77,61.05,29.55,53.10,31.77,14.52,988.69,-38.31,-140.0,-568.75,-113.75,1,53.478,"
1784215511.4922223,"01/01/2000,03:52:52.53,-996.58,-31.25,25.88,0.45,0.63,-0.66,61.05,30.0,53.85,31.58,14.03,988.44,-38.80,35.0,-621.25,-236.25,1,53.478,"
1784215511.5177925,"01/01/2000,03:52:52.55,-1026.37,-41.02,7.81,0.05,3.58,-0.98,61.20,29.85,54.75,31.72,13.42,986.98,-39.53,-8.75,-498.75,-157.50,1,53.478,"
1784215511.5337977,"01/01/2000,03:52:52.57,-1014.65,-48.83,85.94,-0.52,-1.63,0.77,61.20,30.15,53.25,31.67,13.05,984.66,-40.26,236.25,-787.50,-385.0,1,53.478,"
1784215511.5521843,"01/01/2000,03:52:52.58,-1011.23,-27.83,20.02,1.38,-0.01,1.81,61.65,29.85,54.0,31.67,13.42,983.81,-40.26,332.50,-901.25,-113.75,1,53.477,"
1784215511.5691278,"01/01/2000,03:52:52.60,-1009.77,-30.27,72.75,1.50,-0.41,0.06,60.90,28.95,53.25,31.67,13.91,984.66,-39.65,148.75,-682.50,-175.0,1,53.477,"
1784215511.5867374,"01/01/2000,03:52:52.62,-1021.00,-57.13,79.10,-0.28,-0.36,0.59,60.60,30.0,53.85,31.67,13.91,986.49,-39.04,148.75,-988.75,-17.50,1,53.477,"
1784215511.6033037,"01/01/2000,03:52:52.64,-1027.34,-42.48,-18.07,-0.17,0.15,0.18,61.35,30.0,53.85,31.67,14.15,988.20,-38.43,0.0,-306.25,-210.0,1,53.478,"
1784215511.6209908,"01/01/2000,03:52:52.66,-1024.41,-30.76,60.06,-1.20,0.08,-1.53,61.95,30.15,52.95,31.72,14.40,988.44,-38.31,-113.75,-96.25,-192.50,1,53.478,"
1784215511.644334,"01/01/2000,03:52:52.68,-1018.55,-53.71,130.86,0.42,-1.63,1.08,61.65,30.60,54.0,31.48,13.79,986.74,-38.80,35.0,-743.75,-166.25,1,53.478,"
1784215511.6584666,"01/01/2000,03:52:52.69,-999.02,-23.93,26.86,-0.43,1.30,3.22,61.35,30.0,54.15,31.72,13.91,985.64,-39.41,218.75,-376.25,-210.0,1,53.478,"
1784215511.6760774,"01/01/2000,03:52:52.71,-1019.04,-7.81,-7.32,-0.08,1.30,-1.18,61.65,29.40,53.70,31.72,13.42,985.39,-39.65,201.25,-822.50,-157.50,1,53.478,"
1784215511.6990952,"01/01/2000,03:52:52.73,-1006.84,-43.46,63.96,0.63,0.07,0.17,62.25,30.0,52.65,31.77,13.18,986.00,-39.65,78.75,-892.50,-288.75,1,53.479,"
1784215511.7199657,"01/01/2000,03:52:52.75,-1011.23,-17.09,2.44,-0.47,-1.21,-1.37,61.65,29.85,55.20,31.53,13.54,987.35,-38.92,131.25,-691.25,-323.75,1,53.477,"
1784215511.7401416,"01/01/2000,03:52:52.77,-1011.72,-55.66,66.89,-2.56,-0.54,-0.23,62.55,29.25,54.15,31.58,14.15,986.49,-38.19,17.50,-586.25,-105.0,1,53.477,"
1784215511.7622066,"01/01/2000,03:52:52.79,-1021.48,-43.46,0.98,-0.13,-2.60,-0.27,62.55,29.25,54.15,31.91,13.91,986.25,-38.67,105.0,-770.0,-227.50,1,53.477,"
1784215511.7962632,"01/01/2000,03:52:52.83,-1031.74,-11.23,-9.77,0.64,2.29,3.85,62.55,29.55,52.65,31.67,13.18,986.00,-40.02,490.0,-717.50,-288.75,1,53.477,"
1784215511.8118193,"01/01/2000,03:52:52.85,-1016.11,-61.04,126.46,-0.98,1.40,0.13,61.35,30.45,53.10,31.77,13.54,986.25,-39.28,-17.50,-805.0,-236.25,1,53.478,"
1784215511.831108,"01/01/2000,03:52:52.87,-993.65,-41.50,86.43,0.82,-0.69,0.30,61.35,30.75,52.65,31.72,14.76,986.00,-38.80,-122.50,131.25,-175.0,1,53.477,"
1784215511.8521495,"01/01/2000,03:52:52.89,-1016.60,1.46,46.88,0.85,-0.27,-0.05,63.60,30.15,51.30,31.67,14.27,985.88,-38.92,-52.50,-542.50,-148.75,1,53.477,"
1784215511.869182,"01/01/2000,03:52:52.90,-1021.48,-49.80,1.46,2.24,-0.45,-0.86,61.20,29.40,54.0,31.58,13.79,985.03,-39.53,113.75,-805.0,-227.50,1,53.477,"
1784215511.8857958,"01/01/2000,03:52:52.92,-1028.32,-32.23,44.43,-1.69,1.21,-1.24,62.55,30.75,53.40,31.72,14.40,985.39,-39.65,280.0,516.25,-376.25,1,53.477,"
1784215511.9037995,"01/01/2000,03:52:52.94,-993.16,-20.51,1.46,0.63,-0.85,-1.74,62.40,31.35,52.95,31.72,13.18,985.64,-39.28,-17.50,-323.75,-236.25,1,53.478,"
1784215511.929016,"01/01/2000,03:52:52.96,-1021.97,-41.50,16.60,0.93,0.82,-3.01,62.25,31.20,53.40,31.67,12.20,985.88,-39.41,253.75,-1680.0,-236.25,1,53.478,"
1784215511.9418497,"01/01/2000,03:52:52.98,-1012.21,-30.76,20.02,-1.92,-1.37,-0.76,60.45,31.35,54.45,31.77,14.27,986.98,-39.53,350.0,-218.75,-210.0,1,53.478,"
1784215511.959405,"01/01/2000,03:52:52.99,-1034.67,-18.07,44.92,1.41,-0.89,-1.31,62.40,30.60,53.70,31.58,14.15,988.20,-39.53,-43.75,-113.75,-105.0,1,53.478,"
1784215511.9753735,"01/01/2000,03:52:53.01,-994.14,-5.37,7.81,3.20,-1.10,0.31,62.40,30.60,53.70,31.77,11.96,986.25,-39.04,148.75,-2528.75,-131.25,1,53.477,"
1784215512.0025454,"01/01/2000,03:52:53.03,-1007.32,-53.71,104.49,1.73,1.06,-0.49,63.0,30.75,51.60,31.53,14.15,984.05,-38.19,-17.50,-280.0,-367.50,1,53.477,"
1784215512.0323982,"01/01/2000,03:52:53.07,-1021.97,-50.29,37.60,-0.15,-0.40,1.80,61.95,30.15,52.95,31.53,13.66,985.88,-39.28,236.25,-96.25,-306.25,1,53.478,"
1784215512.0532165,"01/01/2000,03:52:53.09,-1018.07,-33.20,28.81,-1.76,-0.27,0.82,62.25,30.0,54.15,31.77,12.93,986.74,-39.77,437.50,-2345.0,35.0,1,53.478,"
1784215512.0882254,"01/01/2000,03:52:53.12,-1007.32,-41.02,66.89,-0.84,-0.01,-0.44,61.65,30.15,53.70,31.53,14.27,987.47,-38.55,-61.25,-463.75,-122.50,1,53.478,"
1784215512.112551,"01/01/2000,03:52:53.14,-1010.25,-65.43,87.89,0.46,-0.73,-1.26,62.25,29.55,54.15,31.72,12.57,988.44,-39.53,96.25,-1846.25,-140.0,1,53.479,"
1784215512.1289613,"01/01/2000,03:52:53.16,-989.26,-37.60,49.80,-1.31,0.18,-0.66,61.80,30.45,53.40,31.72,13.91,986.98,-39.65,490.0,-271.25,-350.0,1,53.477,"
1784215512.1604145,"01/01/2000,03:52:53.20,-1015.63,-53.22,54.20,1.01,-2.08,0.60,63.0,30.0,53.10,31.72,13.91,984.42,-37.70,-288.75,-420.0,-463.75,1,53.478,"
1784215512.1771688,"01/01/2000,03:52:53.21,-1007.81,-8.79,50.29,1.98,0.0,2.21,63.30,31.95,53.40,31.67,14.27,986.00,-38.92,-8.75,-122.50,-262.50,1,53.478,"
1784215512.2229419,"01/01/2000,03:52:53.25,-1034.67,-56.64,17.09,-1.77,-0.40,2.05,60.90,31.80,52.50,31.58,13.91,987.22,-39.16,122.50,-87.50,-455.0,1,53.478,"
1784215512.2408426,"01/01/2000,03:52:53.28,-1038.57,-67.38,73.24,-0.11,-0.50,-1.52,61.20,31.35,52.50,31.48,13.91,986.49,-37.94,-236.25,-980.0,52.50,1,53.478,"
1784215512.2653215,"01/01/2000,03:52:53.30,-991.70,-8.79,74.71,-0.37,-1.70,-0.37,62.55,30.45,52.35,31.48,14.03,986.74,-39.04,122.50,-498.75,-490.0,1,53.477,"
1784215512.2865727,"01/01/2000,03:52:53.32,-1026.37,-41.99,7.81,-1.60,-0.60,-0.01,63.90,31.35,52.95,31.77,14.27,986.13,-39.04,271.25,-516.25,-17.50,1,53.477,"
1784215512.300102,"01/01/2000,03:52:53.33,-1015.14,-83.50,80.08,0.74,-1.93,-0.27,63.15,30.15,52.20,31.77,13.05,984.54,-38.31,87.50,-875.0,-358.75,1,53.477,"
1784215512.316131,"01/01/2000,03:52:53.35,-1002.93,-1.46,44.92,1.60,1.30,0.29,63.15,30.15,52.20,31.77,13.79,984.42,-37.94,-192.50,-805.0,-218.75,1,53.477,"
1784215512.3561013,"01/01/2000,03:52:53.39,-1055.66,-62.50,-24.90,-0.66,0.52,0.33,61.35,30.75,51.90,31.72,13.91,987.22,-39.04,78.75,-586.25,-262.50,1,53.477,"
1784215512.3901024,"01/01/2000,03:52:53.42,-1028.32,-6.84,15.63,-1.66,-1.18,0.97,62.40,29.85,52.20,31.38,13.18,986.74,-38.80,78.75,-1233.75,-280.0,1,53.478,"
1784215512.4280124,"01/01/2000,03:52:53.46,-999.51,-26.86,78.61,2.24,0.03,2.83,63.30,30.45,54.15,31.91,13.66,986.98,-39.53,350.0,-910.0,-262.50,1,53.477,"
