timestamp,data
1784216406.8999774,"01/01/2000,04:07:47.97,-1024.90,-23.93,56.15,-1.80,-2.44,-0.65,60.0,29.40,54.0,32.82,12.32,986.37,-40.99,175.0,-918.75,-297.50,1,53.387,"
1784216406.922401,"01/01/2000,04:07:47.99,-1013.18,-17.09,27.34,-0.71,-1.11,1.53,60.60,29.25,54.15,32.82,13.42,986.25,-40.99,43.75,-341.25,-218.75,1,53.387,"
1784216406.9378126,"01/01/2000,04:07:48.01,-1036.62,-24.90,34.67,-0.39,0.53,-0.67,60.90,28.20,53.70,32.92,13.91,986.25,-41.24,35.0,-192.50,-105.0,1,53.387,"
1784216406.9554958,"01/01/2000,04:07:48.03,-1027.83,-34.18,43.46,1.15,-0.81,1.47,60.60,30.45,54.60,32.58,13.18,986.00,-41.60,105.0,-498.75,-227.50,1,53.387,"
1784216406.9896886,"01/01/2000,04:07:48.06,-985.84,0.98,11.23,-0.37,1.76,-0.15,59.70,28.95,54.75,32.92,12.81,986.00,-41.24,17.50,-1058.75,-271.25,1,53.387,"
1784216407.0108466,"01/01/2000,04:07:48.08,-1026.86,-24.41,-22.46,0.75,-2.40,-0.75,59.85,28.80,53.85,32.92,13.30,986.13,-41.24,35.0,-831.25,-148.75,1,53.387,"
1784216407.0279682,"01/01/2000,04:07:48.10,-989.26,-10.74,33.69,-1.02,-0.46,-0.46,60.45,29.40,54.45,32.82,14.03,986.13,-41.48,227.50,-428.75,-175.0,1,53.387,"
1784216407.0456238,"01/01/2000,04:07:48.12,-1018.55,-12.21,21.00,1.56,0.74,-1.97,60.0,31.05,53.70,32.53,13.91,986.00,-41.48,280.0,-446.25,-271.25,1,53.387,"
1784216407.0672915,"01/01/2000,04:07:48.14,-1010.74,-8.30,16.11,0.97,-0.07,-1.31,61.20,28.65,54.45,32.92,13.66,986.00,-41.24,122.50,-516.25,-148.75,1,53.387,"
1784216407.1011794,"01/01/2000,04:07:48.18,-1003.42,-12.21,16.11,-0.11,-0.28,-0.05,60.0,29.85,53.25,32.73,13.05,986.00,-41.24,140.0,-892.50,-297.50,1,53.387,"
1784216407.129189,"01/01/2000,04:07:48.19,-1021.00,-23.44,21.97,-1.75,1.24,-0.38,60.45,31.05,52.50,32.92,13.79,986.37,-41.24,78.75,-761.25,-210.0,1,53.387,"
