timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784217385.159140110,01/01/2000,04:24:06.38,-995.61,-35.64,28.81,-0.73,0.84,1.04,63.30,31.20,51.15,33.35,13.91,986.49,-41.85,-8.75,-490.0,-157.50,1,53.404
1784217385.175472975,01/01/2000,04:24:06.39,-1024.41,-26.37,56.15,1.05,-0.56,-0.17,62.25,33.15,51.60,33.11,13.91,986.25,-41.85,183.75,-463.75,-288.75,1,53.404
1784217385.189599276,01/01/2000,04:24:06.41,-1016.60,-36.62,-27.34,1.54,-0.06,-0.66,63.90,33.45,50.55,33.35,13.79,986.13,-42.09,271.25,-481.25,-402.50,1,53.404
1784217385.228007317,01/01/2000,04:24:06.45,-1033.69,-3.91,23.93,0.75,-2.02,-0.56,63.30,32.40,51.15,32.97,13.66,986.13,-42.21,227.50,-682.50,-201.25,1,53.404
1784217385.247411489,01/01/2000,04:24:06.47,-1065.43,-45.90,12.21,-1.69,1.56,0.08,63.15,32.55,50.55,33.25,14.27,986.25,-42.09,236.25,-735.0,-157.50,1,53.404
1784217385.260816097,01/01/2000,04:24:06.49,-1007.32,2.44,12.70,2.36,-0.85,3.34,63.0,32.40,50.40,33.11,14.27,986.37,-41.97,166.25,-656.25,-262.50,1,53.404
1784217385.283519268,01/01/2000,04:24:06.51,-1023.93,-38.57,31.74,-0.23,2.0,-0.29,63.90,33.45,52.95,33.25,14.15,986.37,-41.97,17.50,-595.0,-166.25,1,53.404
1784217385.300655842,01/01/2000,04:24:06.52,-1014.65,-8.30,-21.97,3.27,-4.02,-2.66,61.95,33.45,52.50,33.16,13.79,986.13,-42.09,297.50,-656.25,-227.50,1,53.404
1784217385.317733049,01/01/2000,04:24:06.54,-1024.90,-22.46,44.43,1.05,0.17,3.92,63.0,33.60,50.85,33.49,13.79,986.00,-42.46,148.75,-673.75,-78.75,1,53.404
1784217385.342995644,01/01/2000,04:24:06.57,-1002.44,-15.63,2.93,-1.66,-0.47,-0.74,61.35,31.95,53.85,33.11,14.15,986.00,-42.46,376.25,-743.75,-253.75,1,53.404
1784217385.365496874,01/01/2000,04:24:06.59,-1000.98,-13.18,48.34,1.47,0.46,1.93,61.95,31.35,51.0,33.11,14.15,986.00,-42.46,148.75,-586.25,-175.0,1,53.404
1784217385.382478714,01/01/2000,04:24:06.61,-1038.09,-18.55,25.39,0.17,0.89,-1.03,63.90,33.0,51.0,33.06,13.91,986.00,-42.21,-35.0,-761.25,-96.25,1,53.404
1784217385.399833918,01/01/2000,04:24:06.62,-1018.55,-45.90,55.66,1.17,1.33,-1.16,63.90,33.0,51.0,33.11,13.91,986.25,-41.97,35.0,-638.75,-166.25,1,53.404
1784217385.437315464,01/01/2000,04:24:06.66,-1005.86,-12.21,-25.88,0.60,0.27,0.92,62.55,32.40,52.35,33.11,14.15,986.00,-42.21,288.75,-805.0,-227.50,1,53.404
1784217385.455071688,01/01/2000,04:24:06.68,-962.89,-23.44,14.65,-1.54,1.22,-1.81,63.30,32.85,51.90,33.30,14.40,986.00,-42.21,183.75,-516.25,-201.25,1,53.404
1784217385.479067802,01/01/2000,04:24:06.69,-1047.36,-29.79,73.24,-0.92,-0.35,-2.58,63.75,31.95,51.90,33.16,14.15,986.13,-41.97,201.25,-586.25,-367.50,1,53.404
1784217385.512688875,01/01/2000,04:24:06.73,-1028.81,7.81,35.16,-0.84,1.46,-0.04,63.90,32.25,53.25,33.06,13.91,986.13,-41.97,-87.50,-638.75,-148.75,1,53.404
1784217385.544932127,01/01/2000,04:24:06.77,-1029.30,-19.53,51.76,-1.52,-0.30,1.59,62.40,33.0,51.30,33.30,14.64,985.88,-42.21,157.50,-656.25,-131.25,1,53.404
1784217385.565476179,01/01/2000,04:24:06.79,-989.26,-21.48,29.30,-0.45,-0.92,0.40,63.30,32.85,50.85,33.11,14.40,986.25,-42.09,148.75,-708.75,-87.50,1,53.404
