timestamp,data
1784216190.5447075,"01/01/2000,04:04:11.61,-993.16,1.46,-22.95,-1.35,1.15,-0.67,60.45,28.95,55.20,32.44,12.69,986.13,-41.11,201.25,-831.25,-323.75,1,53.350,"
1784216190.56483,"01/01/2000,04:04:11.63,-989.75,-43.95,29.30,-0.30,-1.11,-0.99,59.70,29.85,55.20,32.82,13.30,986.13,-41.36,323.75,-630.0,-271.25,1,53.350,"
1784216190.5886314,"01/01/2000,04:04:11.65,-1032.23,-33.20,35.16,0.82,-0.50,-1.28,58.35,30.45,55.05,32.73,13.42,986.00,-41.11,192.50,-638.75,-280.0,1,53.350,"
1784216190.6027699,"01/01/2000,04:04:11.67,-1019.53,-23.93,-39.06,0.58,0.49,1.39,61.20,28.20,53.25,32.63,13.42,986.25,-40.87,70.0,-533.75,-306.25,1,53.350,"
1784216190.618881,"01/01/2000,04:04:11.68,-999.51,-43.46,34.18,0.79,0.58,-1.89,60.90,28.20,53.70,32.39,13.30,986.25,-41.11,280.0,-717.50,-341.25,1,53.350,"
1784216190.6408145,"01/01/2000,04:04:11.70,-995.12,-33.69,-14.65,0.39,1.74,-0.02,60.60,28.80,52.65,32.73,13.42,986.25,-41.11,227.50,-813.75,-140.0,1,53.350,"
1784216190.6494951,"01/01/2000,04:04:11.72,-1023.44,-50.78,3.42,1.49,0.52,-1.10,60.60,28.80,52.65,32.73,13.79,986.25,-40.99,166.25,-647.50,-175.0,1,53.350,"
1784216190.6735644,"01/01/2000,04:04:11.74,-1027.83,-40.53,11.72,0.86,0.19,-2.19,59.55,28.05,56.55,32.77,13.91,986.37,-40.87,210.0,-647.50,-61.25,1,53.350,"
1784216190.693457,"01/01/2000,04:04:11.76,-1020.02,-23.93,35.64,-1.44,-0.57,0.06,60.0,29.85,54.75,32.73,13.79,986.25,-40.75,253.75,-490.0,-148.75,1,53.350,"
1784216190.7273726,"01/01/2000,04:04:11.79,-987.79,3.42,60.06,2.26,0.87,-0.15,60.0,27.75,52.95,32.58,13.42,986.37,-40.75,8.75,-691.25,-385.0,1,53.350,"
1784216190.7483606,"01/01/2000,04:04:11.81,-1030.27,-43.95,56.64,-1.45,0.29,-0.02,60.90,28.65,53.25,32.29,13.42,986.74,-40.75,131.25,-630.0,-245.0,1,53.350,"
1784216190.7657025,"01/01/2000,04:04:11.83,-1009.77,-33.69,41.50,-1.19,-1.34,-0.15,61.95,28.65,53.25,32.58,13.66,986.25,-40.63,218.75,-717.50,-218.75,1,53.350,"
1784216190.78324,"01/01/2000,04:04:11.85,-1021.48,-26.86,-2.44,0.96,-2.06,0.02,60.45,30.15,53.70,32.77,14.03,986.25,-40.50,17.50,-673.75,-183.75,1,53.350,"
1784216190.8053253,"01/01/2000,04:04:11.86,-1041.50,-52.25,25.88,2.12,-0.76,0.87,61.65,28.95,53.25,32.77,13.91,986.25,-40.50,17.50,-726.25,-140.0,1,53.350,"
1784216190.8220294,"01/01/2000,04:04:11.89,-1047.85,-40.04,50.78,-1.16,2.99,1.25,60.45,29.85,52.95,32.73,13.54,986.00,-40.75,306.25,-490.0,-236.25,1,53.350,"
1784216190.83846,"01/01/2000,04:04:11.90,-1014.65,-21.97,11.23,1.34,2.63,1.92,60.30,28.80,53.10,32.73,13.54,986.13,-40.75,166.25,-682.50,-52.50,1,53.350,"
1784216190.855247,"01/01/2000,04:04:11.92,-1033.20,-13.18,1.46,-0.11,-0.63,0.73,60.30,28.80,53.10,32.58,13.91,986.25,-40.50,192.50,-700.0,-183.75,1,53.350,"
1784216190.876756,"01/01/2000,04:04:11.94,-1017.58,-34.18,33.69,1.08,-1.39,-0.06,60.0,26.55,54.75,32.77,13.91,986.13,-40.63,78.75,-735.0,-166.25,1,53.350,"
1784216190.8943543,"01/01/2000,04:04:11.96,-1013.67,-44.92,19.04,0.35,-2.29,-0.49,61.35,29.25,54.15,32.73,13.79,986.25,-40.75,175.0,-691.25,-227.50,1,53.350,"
1784216190.9108193,"01/01/2000,04:04:11.98,-1011.72,-40.53,41.02,-1.01,1.11,1.27,60.45,29.40,52.95,32.58,13.79,986.13,-40.87,236.25,-612.50,-253.75,1,53.350,"
1784216190.938645,"01/01/2000,04:04:11.99,-1005.86,-6.35,-6.84,1.33,-1.71,-3.34,59.55,28.05,53.85,32.63,13.66,986.13,-40.63,26.25,-542.50,-262.50,1,53.350,"
1784216190.9518027,"01/01/2000,04:04:12.01,-1024.41,-51.76,69.82,1.41,-2.41,0.72,60.45,30.15,52.50,32.73,13.66,986.25,-40.75,157.50,-700.0,-253.75,1,53.350,"
1784216190.9669635,"01/01/2000,04:04:12.03,-1025.39,-35.64,102.54,0.95,-0.60,0.22,60.30,29.55,53.40,32.63,13.66,986.49,-40.87,131.25,-691.25,-271.25,1,53.350,"
1784216190.974943,"01/01/2000,04:04:12.05,-1004.88,-28.32,18.07,1.08,0.05,-0.34,59.70,29.40,54.0,32.77,14.03,986.49,-40.75,201.25,-568.75,-218.75,1,53.351,"
1784216191.0023196,"01/01/2000,04:04:12.07,-1017.09,-27.83,-7.81,1.65,0.02,0.44,61.05,28.80,53.40,32.97,14.03,986.25,-40.63,-26.25,-700.0,-227.50,1,53.350,"
1784216191.0212045,"01/01/2000,04:04:12.09,-1028.81,-27.34,17.58,0.90,0.06,0.89,60.30,29.25,53.10,32.53,13.54,986.49,-40.63,140.0,-682.50,-122.50,1,53.350,"
1784216191.0391107,"01/01/2000,04:04:12.10,-1010.74,-22.46,17.58,-0.97,-0.89,-1.66,60.60,29.55,53.85,32.58,13.66,986.25,-40.63,78.75,-717.50,-166.25,1,53.350,"
1784216191.0697362,"01/01/2000,04:04:12.13,-1000.0,-31.74,-15.14,-0.25,-1.44,0.89,61.35,28.80,53.10,32.63,13.66,986.00,-40.63,236.25,-848.75,-227.50,1,53.350,"
1784216191.0917084,"01/01/2000,04:04:12.15,-1037.11,-40.04,45.41,-0.31,-2.42,0.82,59.10,26.85,56.55,32.82,13.79,986.13,-40.75,87.50,-778.75,-201.25,1,53.350,"
1784216191.1041222,"01/01/2000,04:04:12.17,-974.12,-29.79,127.44,-0.63,-0.10,-2.15,59.10,26.85,56.55,32.77,13.91,986.25,-40.75,201.25,-621.25,-297.50,1,53.350,"
1784216191.1220107,"01/01/2000,04:04:12.19,-1011.23,-31.25,59.08,-2.76,-0.74,-0.47,60.60,30.45,51.90,32.73,14.03,986.25,-40.50,78.75,-708.75,-122.50,1,53.350,"
1784216191.1387355,"01/01/2000,04:04:12.20,-1013.18,-44.92,38.09,-2.08,0.36,-0.58,60.45,28.95,52.95,32.58,13.91,985.76,-40.63,-61.25,-612.50,-52.50,1,53.350,"
1784216191.1779928,"01/01/2000,04:04:12.24,-989.75,-21.00,-25.88,0.09,1.18,0.66,60.90,30.15,54.45,32.92,13.91,981.61,-40.50,-192.50,-700.0,-122.50,1,53.350,"
1784216191.2090409,"01/01/2000,04:04:12.28,-1003.91,-35.16,0.49,2.04,0.96,-0.41,60.90,28.95,54.45,32.58,13.91,977.59,-39.89,280.0,-612.50,-323.75,1,53.350,"
1784216191.2357564,"01/01/2000,04:04:12.30,-989.75,-26.37,-46.39,0.37,0.94,1.10,61.20,29.85,52.95,32.58,14.27,977.22,-39.41,-192.50,-367.50,-218.75,1,53.350,"
1784216191.2530546,"01/01/2000,04:04:12.31,-1026.37,-12.21,-21.97,1.18,-1.24,1.51,61.95,29.40,53.70,32.39,14.15,976.73,-39.89,61.25,-341.25,-218.75,1,53.350,"
1784216191.268476,"01/01/2000,04:04:12.33,-997.56,-58.59,28.32,-2.25,-2.34,-0.08,60.30,30.75,53.40,32.92,14.40,975.15,-39.77,341.25,-376.25,-210.0,1,53.350,"
