timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784216339.120964766,01/01/2000,04:06:40.30,-1002.93,-9.28,13.18,-2.08,0.96,-0.18,62.25,30.0,53.85,32.82,12.44,986.13,-40.87,271.25,-472.50,-157.50,1,53.376
1784216339.138796806,01/01/2000,04:06:40.32,-1012.21,-44.92,63.48,1.10,1.96,0.12,61.20,29.85,54.75,33.11,12.32,985.88,-40.87,122.50,-673.75,-271.25,1,53.376
1784216339.155432701,01/01/2000,04:06:40.34,-1004.88,-32.71,9.28,1.03,1.60,-1.08,62.40,30.60,54.45,32.73,12.20,986.00,-40.75,78.75,-735.0,-183.75,1,53.376
1784216339.172767639,01/01/2000,04:06:40.35,-1026.86,-7.32,8.79,0.69,1.31,-1.47,60.45,29.40,54.45,32.73,11.96,986.00,-40.99,166.25,-910.0,-210.0,1,53.376
1784216339.196493387,01/01/2000,04:06:40.37,-990.72,-3.42,-15.14,0.53,0.63,-1.76,60.60,28.35,54.15,32.92,11.83,986.13,-40.99,192.50,-1093.75,-315.0,1,53.376
1784216339.206656694,01/01/2000,04:06:40.39,-988.28,-19.04,20.51,-0.05,-0.14,-1.69,60.60,30.45,54.15,32.82,12.69,986.25,-40.99,192.50,-647.50,-227.50,1,53.376
1784216339.229135752,01/01/2000,04:06:40.41,-1000.49,-17.09,38.09,-1.73,0.44,1.40,60.60,30.45,53.85,32.77,13.18,986.25,-40.75,166.25,-665.0,-192.50,1,53.376
1784216339.266959429,01/01/2000,04:06:40.45,-985.35,-41.99,66.89,0.48,0.05,-1.34,61.20,30.15,53.70,32.73,13.05,986.25,-41.48,227.50,-735.0,-332.50,1,53.376
1784216339.296549082,01/01/2000,04:06:40.48,-1015.14,-18.07,6.35,3.49,1.88,-1.40,60.45,29.85,53.25,32.97,12.69,986.37,-41.24,61.25,-691.25,-166.25,1,53.376
1784216339.339834452,01/01/2000,04:06:40.52,-991.70,-20.51,79.10,0.56,0.23,-2.85,60.60,28.80,54.15,32.44,13.30,986.25,-41.24,166.25,-656.25,-131.25,1,53.376
