timestamp,data
1784216464.692881,"01/01/2000,04:08:45.77,-978.03,-21.97,41.99,0.26,-0.99,1.50,60.60,29.55,53.85,32.73,12.44,986.13,-41.24,17.50,-822.50,-218.75,1,53.395,"
1784216464.7129004,"01/01/2000,04:08:45.79,-1020.51,-5.86,22.95,1.07,-1.93,-0.66,60.45,29.85,53.70,32.53,12.93,986.25,-41.48,78.75,-778.75,-26.25,1,53.395,"
1784216464.7278621,"01/01/2000,04:08:45.80,-1033.20,-15.14,0.49,-0.78,0.53,-1.25,59.85,29.55,54.60,32.97,13.42,986.37,-41.48,218.75,-656.25,-280.0,1,53.395,"
1784216464.7448432,"01/01/2000,04:08:45.82,-998.05,-4.88,23.44,0.50,-1.82,-2.18,61.05,28.80,53.85,32.77,13.66,986.37,-41.48,122.50,-507.50,-236.25,1,53.395,"
1784216464.7686002,"01/01/2000,04:08:45.84,-1010.25,6.84,-44.92,0.14,-0.95,-0.07,60.45,30.60,55.20,32.77,13.30,986.00,-41.48,227.50,-533.75,-192.50,1,53.395,"
1784216464.7910411,"01/01/2000,04:08:45.87,-1022.95,-5.37,39.06,0.07,1.24,2.21,61.05,29.25,53.10,32.92,13.05,986.00,-41.60,78.75,-708.75,-175.0,1,53.395,"
1784216464.808723,"01/01/2000,04:08:45.88,-1001.46,-3.42,6.84,2.27,-2.79,0.44,60.90,30.15,55.50,32.77,13.05,986.00,-41.72,175.0,-726.25,-271.25,1,53.395,"
1784216464.8257797,"01/01/2000,04:08:45.90,-1021.48,-46.88,36.13,-0.29,-0.65,-1.15,60.0,31.05,54.0,32.97,13.30,986.25,-41.60,201.25,-787.50,-201.25,1,53.395,"
1784216464.8379507,"01/01/2000,04:08:45.92,-1019.53,-23.44,0.49,0.37,-1.50,-0.22,59.55,30.0,56.10,32.58,13.42,986.00,-41.60,87.50,-577.50,-201.25,1,53.395,"
1784216464.8649266,"01/01/2000,04:08:45.94,-1026.37,-30.27,-9.28,-0.35,-0.98,0.42,61.35,28.05,54.15,32.73,13.54,986.13,-41.48,148.75,-621.25,-245.0,1,53.395,"
1784216464.8822722,"01/01/2000,04:08:45.96,-1051.76,-23.44,67.87,-1.98,-1.95,-0.05,59.25,30.15,55.95,32.77,13.30,986.00,-41.60,245.0,-577.50,-157.50,1,53.395,"
1784216464.8990016,"01/01/2000,04:08:45.97,-1007.32,-19.04,22.46,2.92,-0.17,2.17,60.90,28.95,53.70,32.58,12.93,986.13,-41.60,271.25,-743.75,-245.0,1,53.395,"
1784216464.9216523,"01/01/2000,04:08:46.00,-997.07,-28.81,23.44,1.12,-2.16,-2.25,60.90,28.65,53.25,32.73,13.42,986.25,-41.36,8.75,-700.0,-52.50,1,53.395,"
1784216464.936957,"01/01/2000,04:08:46.01,-1034.67,-13.67,-46.39,-1.14,-1.44,1.94,60.90,30.60,53.70,32.77,13.42,986.00,-41.24,35.0,-761.25,-148.75,1,53.395,"
1784216464.9539638,"01/01/2000,04:08:46.03,-1019.04,-15.63,-26.37,2.96,1.57,-0.18,60.30,30.0,53.10,32.58,13.54,986.13,-41.48,131.25,-743.75,-131.25,1,53.395,"
1784216464.9715881,"01/01/2000,04:08:46.05,-1015.14,-43.95,-9.77,1.87,-0.39,0.30,60.90,28.95,54.0,32.63,13.54,986.25,-41.85,210.0,-568.75,-358.75,1,53.395,"
1784216464.9923036,"01/01/2000,04:08:46.07,-1006.35,-15.63,33.20,1.79,0.62,1.44,60.60,30.45,53.40,32.53,13.05,986.13,-41.48,201.25,-840.0,-376.25,1,53.395,"
1784216465.0096707,"01/01/2000,04:08:46.09,-1009.28,-9.28,-9.77,-0.48,0.12,0.56,59.10,28.35,54.60,32.73,13.30,986.00,-40.99,-87.50,-708.75,-192.50,1,53.395,"
1784216465.0265517,"01/01/2000,04:08:46.10,-1012.70,-30.76,3.91,-1.60,0.12,2.73,61.35,28.80,53.40,32.73,13.42,986.00,-41.11,52.50,-822.50,-323.75,1,53.395,"
1784216465.037156,"01/01/2000,04:08:46.12,-977.05,-39.55,102.54,-2.81,-2.69,0.57,59.70,27.45,53.70,32.73,13.42,986.00,-41.48,96.25,-708.75,-210.0,1,53.395,"
1784216465.0647929,"01/01/2000,04:08:46.14,-1024.90,-80.08,162.11,-0.45,0.63,1.57,60.45,29.85,53.25,32.58,13.54,986.25,-41.48,183.75,-577.50,-183.75,1,53.395,"
1784216465.0866356,"01/01/2000,04:08:46.16,-1021.00,-15.63,5.86,0.35,-1.52,-1.56,60.90,30.60,54.0,32.77,13.42,986.13,-41.36,122.50,-778.75,-262.50,1,53.395,"
1784216465.100068,"01/01/2000,04:08:46.18,-1018.07,-34.18,-14.16,-1.37,-0.63,-2.07,59.10,29.25,54.60,32.77,13.54,986.13,-41.24,201.25,-796.25,-166.25,1,53.395,"
1784216465.120062,"01/01/2000,04:08:46.19,-1031.25,-27.34,26.86,1.70,-1.56,0.55,60.60,29.55,55.05,32.58,13.66,986.37,-41.24,122.50,-638.75,-201.25,1,53.395,"
1784216465.1560678,"01/01/2000,04:08:46.23,-990.23,-18.07,35.16,0.90,0.57,-0.31,61.65,29.85,54.75,32.58,13.66,986.00,-41.48,271.25,-682.50,-210.0,1,53.395,"
1784216465.182626,"01/01/2000,04:08:46.25,-1042.48,-48.34,31.25,0.79,-0.05,-0.55,61.65,29.85,54.0,32.82,13.66,986.13,-41.36,236.25,-665.0,-253.75,1,53.395,"
1784216465.194652,"01/01/2000,04:08:46.27,-1004.39,-26.37,-19.04,0.60,1.43,-0.38,60.90,30.60,56.25,32.77,13.54,986.00,-41.24,113.75,-813.75,-306.25,1,53.395,"
1784216465.2288647,"01/01/2000,04:08:46.30,-1000.0,-11.23,79.59,-1.82,-1.37,0.14,60.0,28.65,54.45,32.73,13.66,986.00,-41.85,367.50,-743.75,-192.50,1,53.395,"
1784216465.2463465,"01/01/2000,04:08:46.32,-1050.78,-61.52,57.13,-0.12,-0.15,0.43,61.35,30.0,55.05,32.73,13.66,986.00,-41.85,201.25,-682.50,-201.25,1,53.395,"
1784216465.2921176,"01/01/2000,04:08:46.37,-991.21,-22.95,139.16,-0.89,-1.35,1.45,59.10,28.80,55.35,32.73,13.54,984.66,-41.60,262.50,-743.75,-227.50,1,53.395,"
