timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784218872.580537796,01/01/2000,04:48:53.85,-1038.57,-26.86,69.82,0.17,3.15,1.42,62.55,31.95,52.65,33.11,16.96,986.37,-44.16,-236.25,542.50,-210.0,1,53.334
1784218872.593550205,01/01/2000,04:48:53.87,-1054.69,-3.42,25.88,0.79,1.05,0.82,61.05,31.95,51.90,33.30,13.42,986.98,-43.19,-673.75,-175.0,-157.50,1,53.334
1784218872.615191460,01/01/2000,04:48:53.88,-1023.44,-27.34,52.25,0.99,1.40,-0.38,62.40,31.35,52.95,33.44,10.86,986.49,-44.29,-525.0,-1093.75,-507.50,1,53.334
1784218872.640864849,01/01/2000,04:48:53.90,-994.63,-3.91,3.91,-0.18,1.95,1.92,62.40,31.80,52.50,33.44,13.05,984.78,-46.97,481.25,-1846.25,-201.25,1,53.334
1784218872.665440559,01/01/2000,04:48:53.94,-1024.90,-22.46,64.45,-2.87,0.61,-1.97,61.35,34.05,52.50,33.35,17.08,985.27,-46.24,726.25,218.75,-140.0,1,53.334
1784218872.692327976,01/01/2000,04:48:53.96,-1022.95,-21.48,27.83,0.39,0.38,2.37,63.75,32.40,51.15,33.11,15.01,986.00,-44.41,0.0,8.75,-140.0,1,53.334
1784218872.713100195,01/01/2000,04:48:53.98,-990.23,-28.81,62.50,0.71,-0.69,1.07,62.70,33.0,52.95,33.44,11.71,986.25,-43.80,-542.50,-1723.75,-201.25,1,53.334
1784218872.731978178,01/01/2000,04:48:54.00,-1010.25,-57.62,62.99,0.63,-0.89,-0.80,61.80,34.35,51.90,33.16,12.81,985.88,-45.38,-157.50,-1032.50,-437.50,1,53.334
1784218872.749721527,01/01/2000,04:48:54.02,-1036.62,-26.86,29.79,-2.31,-1.27,-0.31,64.35,32.55,51.75,33.35,15.49,985.03,-47.09,577.50,-385.0,-131.25,1,53.334
1784218872.776409864,01/01/2000,04:48:54.04,-1015.63,-34.18,69.34,-2.16,-2.0,-0.58,63.0,32.40,51.90,33.25,16.47,984.78,-47.34,883.75,-43.75,-192.50,1,53.334
1784218872.793120146,01/01/2000,04:48:54.06,-1018.55,28.81,-47.85,2.35,-0.57,-0.62,61.80,30.75,50.40,33.16,14.64,986.13,-45.26,323.75,-717.50,-166.25,1,53.334
1784218872.811051846,01/01/2000,04:48:54.08,-1009.28,-39.55,132.32,-0.47,-1.77,-2.81,61.80,30.75,53.85,33.35,13.18,986.49,-43.92,-297.50,-918.75,-437.50,1,53.334
1784218872.826198339,01/01/2000,04:48:54.09,-1037.11,-4.88,7.32,-0.27,1.46,3.63,62.55,33.15,52.35,33.25,12.44,986.25,-43.92,-533.75,-1190.0,-288.75,1,53.334
1784218872.846616983,01/01/2000,04:48:54.12,-1030.76,-5.86,-11.72,2.0,0.92,0.53,62.40,32.25,51.0,33.35,14.40,985.52,-45.87,78.75,-971.25,-271.25,1,53.334
1784218872.860876560,01/01/2000,04:48:54.13,-1022.46,-25.39,-11.23,-0.55,-1.27,0.34,61.35,32.85,52.35,33.25,15.98,985.15,-47.58,586.25,-332.50,-122.50,1,53.334
1784218872.881909370,01/01/2000,04:48:54.15,-1001.46,-3.91,-14.65,0.56,-0.43,-2.43,62.55,33.60,51.60,33.25,15.62,984.91,-47.21,770.0,-253.75,-148.75,1,53.334
1784218872.898746729,01/01/2000,04:48:54.17,-993.16,-9.77,32.71,0.73,1.70,2.17,62.55,33.60,51.60,33.44,14.40,985.52,-45.63,218.75,-638.75,-236.25,1,53.334
1784218872.937383890,01/01/2000,04:48:54.21,-1010.25,-22.46,7.32,1.76,-0.50,1.22,60.60,32.40,53.10,33.25,13.66,986.49,-44.41,-490.0,-1155.0,-280.0,1,53.334
1784218872.953872204,01/01/2000,04:48:54.22,-1022.95,-38.57,25.39,0.08,-0.08,-1.30,62.55,33.15,51.60,33.35,14.88,985.27,-45.75,166.25,-883.75,-253.75,1,53.334
1784218872.980131149,01/01/2000,04:48:54.24,-1021.48,-32.71,-29.79,-0.10,-0.66,-1.16,63.75,31.95,52.65,33.35,15.62,984.91,-46.85,638.75,-463.75,-245.0,1,53.334
1784218873.009850979,01/01/2000,04:48:54.28,-1011.23,-9.28,3.42,0.69,0.12,-1.18,62.40,31.80,51.30,33.11,13.79,985.88,-45.26,157.50,-813.75,-183.75,1,53.334
1784218873.026660442,01/01/2000,04:48:54.30,-1033.69,-53.22,-20.51,1.11,-0.48,1.95,63.0,32.85,51.15,33.16,13.30,986.25,-43.92,-262.50,-1032.50,-315.0,1,53.334
1784218873.048494577,01/01/2000,04:48:54.32,-1002.44,-9.28,51.76,1.44,0.87,-0.24,62.70,33.0,51.75,33.35,14.40,986.25,-44.65,-271.25,-822.50,-262.50,1,53.334
1784218873.065407276,01/01/2000,04:48:54.33,-989.75,-17.58,40.53,1.68,-0.33,1.18,61.95,32.25,50.25,33.35,14.88,985.76,-45.75,245.0,-612.50,-70.0,1,53.334
1784218873.083344460,01/01/2000,04:48:54.35,-1006.35,3.42,-32.71,-0.16,-0.96,-3.60,63.0,32.85,51.15,33.16,14.88,985.27,-46.97,691.25,-630.0,-113.75,1,53.334
1784218873.100470543,01/01/2000,04:48:54.37,-1003.42,-25.88,131.84,0.94,-2.29,1.60,63.0,33.15,50.40,33.35,14.40,985.76,-46.73,472.50,-516.25,-297.50,1,53.334
1784218873.116965294,01/01/2000,04:48:54.39,-1043.95,-38.57,14.65,-2.35,-1.34,-0.70,62.55,31.95,50.10,33.49,13.79,985.76,-45.14,122.50,-752.50,-227.50,1,53.334
1784218873.142384529,01/01/2000,04:48:54.41,-1018.55,0.49,41.50,2.53,0.84,0.31,60.0,30.15,52.20,33.25,13.91,986.13,-44.29,-183.75,-778.75,-227.50,1,53.334
1784218873.173120975,01/01/2000,04:48:54.44,-994.63,-8.79,35.64,1.29,-0.56,-1.48,61.35,33.60,52.65,33.11,15.13,985.76,-45.75,183.75,-656.25,-52.50,1,53.334
1784218873.193638086,01/01/2000,04:48:54.46,-1064.45,-24.41,14.16,-1.02,-0.66,1.19,62.25,32.85,52.35,33.30,14.40,984.91,-46.85,560.0,-630.0,-358.75,1,53.334
1784218873.212121248,01/01/2000,04:48:54.48,-995.61,-5.37,37.60,0.53,2.44,-2.05,62.70,32.55,52.50,33.06,14.27,985.15,-46.85,-166.25,-717.50,-236.25,1,53.334
1784218873.244680882,01/01/2000,04:48:54.50,-1007.81,-4.39,26.37,-0.37,0.73,-1.44,62.25,31.95,53.40,33.25,14.40,984.78,-48.56,-831.25,-813.75,-245.0,1,53.334
1784218873.251902103,01/01/2000,04:48:54.53,-1015.14,-21.00,20.02,1.07,2.58,-0.10,61.35,34.05,51.60,33.25,14.52,985.27,-52.46,-542.50,-883.75,-236.25,1,53.334
1784218873.279108763,01/01/2000,04:48:54.55,-991.21,-13.18,40.04,0.11,-1.11,-2.59,63.15,33.45,51.0,33.35,14.88,985.52,-58.19,1146.25,-551.25,-201.25,1,53.334
1784218873.293254852,01/01/2000,04:48:54.56,-1023.44,-8.30,51.76,-1.69,-1.88,-2.30,63.90,33.0,51.75,33.30,14.64,984.66,-58.44,1837.50,-393.75,-245.0,1,53.334
1784218873.312517881,01/01/2000,04:48:54.58,-1018.07,-7.81,4.88,0.77,-0.36,0.93,64.05,31.95,51.60,33.06,14.27,985.76,-54.78,586.25,-463.75,-210.0,1,53.334
1784218873.333822012,01/01/2000,04:48:54.60,-971.68,-7.81,57.13,2.32,0.82,-0.74,62.40,34.20,51.75,33.49,14.40,987.47,-51.61,-1435.0,-708.75,-61.25,1,53.334
1784218873.351291656,01/01/2000,04:48:54.62,-1025.88,-13.67,25.88,0.77,0.53,-4.79,61.80,31.65,52.35,33.30,14.40,987.22,-52.83,-1557.50,-980.0,-227.50,1,53.334
