rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:19:35.47,141.11,-0.49,-980.47,0.50,-1.96,5.21,4.05,39.0,-3.15,29.95,0.0
01/01/2000,00:19:35.57,139.16,9.77,-950.20,-2.58,-2.63,-3.52,4.20,36.75,-4.05,29.99,20.0
01/01/2000,00:19:35.67,164.06,11.72,-986.82,-4.21,-13.90,0.73,4.50,38.85,-4.05,29.80,15.0
01/01/2000,00:19:35.77,145.51,-6.84,-968.75,-1.65,-9.45,0.56,6.45,36.75,-3.30,30.33,13.333
01/01/2000,00:19:35.87,-152.34,18.07,-570.31,25.42,-206.69,-6.25,6.15,37.65,-1.80,29.95,12.500
01/01/2000,00:19:35.97,192.87,40.04,-297.85,-0.56,-7.08,13.06,8.70,38.25,-3.60,29.80,12.0
01/01/2000,00:19:36.07,29.79,11.23,-985.35,-1.15,-3.79,1.44,9.0,38.25,-5.10,30.19,11.667
01/01/2000,00:19:36.17,32.23,17.09,-973.63,15.05,1.55,1.26,8.25,38.25,-4.65,30.09,11.429
01/01/2000,00:19:36.27,49.32,9.77,-970.70,4.22,1.50,0.83,9.15,37.20,-5.25,29.80,11.111
01/01/2000,00:19:36.37,68.36,-7.32,-1019.53,7.18,-20.73,-10.17,7.80,38.25,-3.15,29.90,10.989
01/01/2000,00:19:36.47,21.48,-6.35,-996.09,-4.72,-8.28,-2.0,9.75,39.75,-4.65,29.99,10.891
01/01/2000,00:19:36.58,-42.48,-21.97,-997.07,1.24,-4.54,-0.89,10.20,39.0,-3.60,29.99,10.811
01/01/2000,00:19:36.68,-43.95,-3.42,-932.13,-0.61,-5.33,-3.19,10.80,38.85,-3.30,29.95,10.744
01/01/2000,00:19:36.78,-2.93,-10.74,-985.35,-0.02,1.60,-3.32,10.95,39.45,-3.60,29.90,10.687
01/01/2000,00:19:36.88,35.64,-1.46,-1037.11,1.65,3.62,6.84,9.75,39.75,-4.65,29.95,10.638
01/01/2000,00:19:36.98,0.98,6.84,-982.91,-1.24,-0.79,-0.18,10.95,37.80,-3.60,29.66,10.596
01/01/2000,00:19:37.08,-13.18,8.30,-974.12,2.24,-1.23,1.10,10.05,39.15,-4.80,29.95,10.559
01/01/2000,00:19:37.18,-18.55,-22.95,-1016.11,-0.86,0.76,0.90,9.45,37.80,-4.65,30.09,10.526
01/01/2000,00:19:37.28,3.42,-16.11,-985.35,-0.18,1.44,1.38,9.45,37.80,-4.35,29.90,10.497
01/01/2000,00:19:37.38,6.35,-4.39,-983.89,-0.71,0.27,0.64,9.15,39.15,-4.05,29.99,10.471
01/01/2000,00:19:37.48,12.21,-8.30,-972.66,2.53,1.68,1.99,10.50,37.80,-5.85,30.19,10.448
01/01/2000,00:19:37.58,7.32,-25.88,-990.72,3.49,2.58,-0.85,9.60,37.65,-5.55,29.95,10.377
01/01/2000,00:19:37.68,-26.37,-0.98,-975.59,2.62,-2.31,2.18,9.0,37.05,-3.90,29.99,10.360
01/01/2000,00:19:37.79,12.70,-13.18,-999.02,-0.47,0.06,0.56,10.05,38.85,-4.05,30.19,10.345
