timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784211391.3683214,01/01/2000,02:44:12.15,-884.28,-79.10,-468.26,0.48,-1.08,-2.06,72.45,51.90,-16.50,27.89,1008.21,-20.98,13.42,271.25,-936.25,-297.50,1,52.907
1784211391.3852327,01/01/2000,02:44:12.17,-878.42,-86.91,-481.45,1.0,2.23,-1.37,70.05,52.20,-16.80,28.08,1008.09,-21.11,13.42,306.25,-883.75,-367.50,1,52.874
1784211391.4011817,01/01/2000,02:44:12.18,-872.07,-85.45,-460.45,-0.13,0.46,-0.42,70.65,52.05,-16.65,28.37,1007.96,-21.11,13.54,341.25,-883.75,-332.50,1,52.841
1784211391.4199235,01/01/2000,02:44:12.20,-900.39,-99.61,-474.12,-0.30,-1.05,-0.72,69.75,52.20,-18.30,28.32,1008.21,-21.23,13.54,437.50,-840.0,-297.50,1,52.809
1784211391.4412081,01/01/2000,02:44:12.22,-880.86,-87.89,-484.38,2.25,0.90,-2.09,70.65,53.25,-16.65,28.37,1008.21,-21.23,13.54,131.25,-883.75,-280.0,1,52.778
1784211391.4762053,01/01/2000,02:44:12.26,-884.28,-89.84,-476.07,0.89,-1.84,3.51,70.95,50.55,-16.50,28.32,1007.96,-21.11,13.54,218.75,-813.75,-367.50,1,53.005
1784211391.5018792,01/01/2000,02:44:12.27,-875.49,-89.36,-475.59,0.32,-0.21,-1.66,70.50,53.10,-16.50,28.37,1007.84,-21.11,13.42,253.75,-848.75,-306.25,1,52.973
1784211391.5178862,01/01/2000,02:44:12.30,-882.32,-82.03,-478.03,-1.91,-0.45,0.84,71.10,51.60,-17.40,28.32,1007.96,-21.23,13.54,157.50,-892.50,-358.75,1,52.941
1784211391.5352964,01/01/2000,02:44:12.31,-883.79,-90.33,-477.05,1.15,0.04,-0.31,71.10,51.60,-16.65,28.22,1008.09,-21.23,13.42,157.50,-840.0,-315.0,1,52.910
1784211391.5517828,01/01/2000,02:44:12.33,-886.23,-79.59,-475.59,1.89,0.45,-1.18,70.95,51.45,-14.55,28.37,1008.09,-21.47,13.42,280.0,-848.75,-210.0,1,52.880
1784211391.567539,01/01/2000,02:44:12.35,-880.37,-98.14,-479.00,-1.67,1.64,-0.93,71.10,51.30,-15.90,28.08,1008.09,-21.23,13.66,367.50,-778.75,-297.50,1,52.850
1784211391.5867782,01/01/2000,02:44:12.37,-888.18,-97.17,-468.75,0.29,-2.12,-0.11,70.95,50.55,-16.05,28.41,1007.96,-21.11,13.66,218.75,-901.25,-315.0,1,53.093
1784211391.6007996,01/01/2000,02:44:12.39,-883.30,-83.98,-474.61,1.44,-0.08,1.59,70.95,53.10,-17.55,28.17,1007.96,-21.23,13.54,253.75,-770.0,-297.50,1,53.061
