timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784211308.477693,01/01/2000,02:42:49.25,-896.97,-99.12,-467.77,1.34,1.85,1.11,69.15,43.65,-14.40,28.03,1.71,989.54,-5.37,280.0,-892.50,-253.75,1,53.538
1784211308.4946916,01/01/2000,02:42:49.27,-889.65,-101.56,-464.84,0.44,1.51,0.0,68.25,43.35,-15.30,28.37,1.95,989.42,-5.49,140.0,-840.0,-297.50,1,53.681
1784211308.5272756,01/01/2000,02:42:49.30,-894.53,-86.43,-466.31,-0.76,0.40,2.50,69.90,44.40,-13.65,28.37,1.83,989.42,-5.61,113.75,-945.0,-262.50,1,53.636
1784211308.547443,01/01/2000,02:42:49.32,-887.21,-102.54,-467.77,-0.89,-1.50,1.16,68.55,45.0,-15.30,28.03,1.59,989.54,-5.49,280.0,-813.75,-341.25,1,53.614
1784211308.5782356,01/01/2000,02:42:49.36,-883.30,-97.66,-457.03,0.27,2.79,-0.73,69.75,44.55,-14.85,28.56,1.83,989.42,-5.37,288.75,-770.0,-288.75,1,53.731
1784211308.6103272,01/01/2000,02:42:49.38,-889.16,-94.73,-460.94,-1.85,-0.60,-0.58,67.65,44.85,-14.40,27.98,1.71,989.54,-5.37,271.25,-857.50,-393.75,1,53.709
1784211308.6246455,01/01/2000,02:42:49.40,-884.28,-82.52,-464.84,2.08,0.95,1.06,68.25,43.80,-13.05,28.51,1.71,989.66,-5.37,236.25,-831.25,-271.25,1,53.687
1784211308.6389086,01/01/2000,02:42:49.41,-884.28,-92.77,-443.36,2.78,1.92,0.86,67.65,44.85,-13.65,28.22,1.59,989.54,-5.49,323.75,-866.25,-332.50,1,53.666
1784211308.6593907,01/01/2000,02:42:49.43,-891.60,-87.89,-460.94,-1.22,-0.02,-0.84,68.40,44.40,-15.45,28.08,1.46,989.54,-5.37,288.75,-918.75,-306.25,1,53.644
1784211308.6760483,01/01/2000,02:42:49.45,-882.32,-89.36,-462.89,0.14,-0.78,-2.30,68.40,44.85,-14.40,28.41,1.71,989.66,-5.61,140.0,-778.75,-376.25,1,53.779
1784211308.6943362,01/01/2000,02:42:49.47,-883.30,-99.12,-470.70,0.17,0.10,-1.24,69.15,46.05,-13.20,28.17,1.59,989.42,-5.37,227.50,-883.75,-192.50,1,53.602
1784211308.728008,01/01/2000,02:42:49.50,-879.39,-91.31,-467.29,2.44,-1.43,-0.53,69.90,43.65,-14.40,28.41,1.71,989.54,-5.49,253.75,-901.25,-253.75,1,53.714
1784211308.7484705,01/01/2000,02:42:49.53,-893.07,-102.54,-454.10,1.14,-2.08,-1.46,66.60,43.80,-14.55,28.37,1.71,989.79,-5.37,148.75,-883.75,-253.75,1,53.693
1784211308.7678812,01/01/2000,02:42:49.54,-882.32,-95.70,-474.12,-1.44,0.70,0.87,68.55,44.55,-14.55,28.37,1.59,989.79,-5.37,253.75,-857.50,-402.50,1,53.672
1784211308.7871342,01/01/2000,02:42:49.56,-883.79,-98.63,-462.89,2.94,-0.58,2.42,67.80,44.25,-14.10,27.98,1.71,989.66,-5.37,157.50,-883.75,-315.0,1,53.652
1784211308.8042555,01/01/2000,02:42:49.58,-882.32,-96.19,-457.52,-0.34,-1.37,0.62,68.40,44.85,-13.65,28.08,1.71,989.66,-5.37,341.25,-910.0,-288.75,1,53.782
1784211308.8264637,01/01/2000,02:42:49.60,-899.90,-86.91,-461.43,-0.21,-1.46,1.30,69.0,43.80,-15.30,28.32,1.71,989.66,-5.61,385.0,-831.25,-262.50,1,53.760
1784211308.8426592,01/01/2000,02:42:49.62,-891.60,-94.24,-453.61,-2.85,-0.19,-0.12,69.30,44.25,-15.30,28.32,1.59,989.42,-5.49,271.25,-848.75,-332.50,1,53.740
1784211308.8529027,01/01/2000,02:42:49.63,-889.16,-81.05,-458.50,1.10,-2.26,-1.77,69.30,44.25,-15.30,28.22,1.46,989.54,-5.37,245.0,-866.25,-332.50,1,53.719
1784211308.884179,01/01/2000,02:42:49.66,-884.77,-86.43,-457.52,1.33,0.02,-0.72,68.55,43.05,-11.10,28.08,1.59,989.54,-5.12,271.25,-883.75,-385.0,1,53.699
1784211308.906434,01/01/2000,02:42:49.68,-882.81,-81.05,-471.19,-2.42,1.53,0.53,69.90,43.95,-13.95,28.22,1.71,989.42,-5.12,315.0,-822.50,-411.25,1,53.533
1784211308.9249792,01/01/2000,02:42:49.70,-886.23,-96.19,-460.45,0.33,0.44,-1.25,67.95,45.15,-13.95,28.03,1.59,989.66,-5.12,288.75,-778.75,-315.0,1,53.659
1784211308.9422884,01/01/2000,02:42:49.72,-882.32,-90.33,-464.36,-0.76,1.88,2.08,67.65,45.15,-13.95,28.22,1.46,989.66,-5.25,288.75,-708.75,-376.25,1,53.639
1784211308.9807303,01/01/2000,02:42:49.75,-887.70,-94.73,-455.57,2.67,0.66,-0.73,68.25,43.80,-13.80,28.08,1.46,989.42,-5.37,385.0,-892.50,-288.75,1,53.600
1784211309.001435,01/01/2000,02:42:49.77,-895.02,-91.80,-479.00,0.37,-1.84,-0.58,69.30,44.25,-14.10,28.37,1.46,989.42,-5.49,166.25,-866.25,-376.25,1,53.581
1784211309.0153902,01/01/2000,02:42:49.79,-896.97,-101.56,-469.73,1.79,-1.34,-1.08,68.70,43.95,-14.40,28.41,1.59,989.18,-5.61,140.0,-892.50,-315.0,1,53.704
1784211309.0345166,01/01/2000,02:42:49.81,-884.77,-106.93,-455.57,-0.96,-0.08,2.25,69.0,44.25,-14.10,27.98,1.59,989.30,-5.49,245.0,-927.50,-358.75,1,53.684
1784211309.0695412,01/01/2000,02:42:49.84,-880.37,-102.05,-454.59,0.05,0.24,-4.02,68.70,45.15,-15.15,28.37,1.59,989.54,-5.61,236.25,-857.50,-350.0,1,53.646
1784211309.0924933,01/01/2000,02:42:49.86,-892.58,-91.80,-458.50,2.38,0.93,0.09,69.60,43.95,-14.40,28.37,1.71,989.54,-5.61,306.25,-813.75,-385.0,1,53.627
1784211309.1029673,01/01/2000,02:42:49.88,-888.67,-91.80,-449.71,0.78,-1.89,1.67,69.15,44.85,-13.20,28.22,1.71,989.54,-5.73,315.0,-805.0,-306.25,1,53.608
1784211309.1258903,01/01/2000,02:42:49.90,-876.46,-101.07,-458.01,1.71,-1.53,-2.16,69.0,45.75,-14.85,28.37,1.71,989.66,-5.37,253.75,-840.0,-280.0,1,53.728
1784211309.1340847,01/01/2000,02:42:49.92,-884.28,-84.47,-465.33,-1.56,2.92,-0.78,68.25,44.55,-13.05,28.03,1.71,989.54,-5.37,175.0,-910.0,-271.25,1,53.708
1784211309.1650155,01/01/2000,02:42:49.94,-888.18,-93.26,-455.57,-0.63,2.45,-1.11,69.60,43.95,-13.95,28.08,1.71,989.91,-5.49,210.0,-901.25,-332.50,1,53.690
1784211309.1959045,01/01/2000,02:42:49.97,-893.07,-93.75,-460.45,-0.02,1.18,-1.37,67.95,45.60,-14.40,28.22,1.71,989.91,-5.61,201.25,-831.25,-393.75,1,53.652
