timestamp,rtc_date,rtc_time,imu1_ax_mg,imu1_ay_mg,imu1_az_mg,imu1_gx_deg_s,imu1_gy_deg_s,imu1_gz_deg_s,mag_x_uT,mag_y_uT,mag_z_uT,imu_temperature_c,imu2_ax_mg,imu2_ay_mg,imu2_az_mg,imu2_gx_mdps,imu2_gy_mdps,imu2_gz_mdps,data_ready,output_hz
1784211195.414944,01/01/2000,02:40:56.19,-878.42,-91.80,-459.47,0.80,0.82,-3.29,67.95,42.45,-13.65,28.08,0.49,1.95,1014.80,271.25,-910.0,-463.75,1,52.958
1784211195.4416728,01/01/2000,02:40:56.20,-891.11,-88.87,-451.17,1.64,-0.11,-0.40,69.0,43.05,-14.10,28.37,0.49,1.95,1014.80,218.75,-840.0,-341.25,1,52.957
1784211195.4584806,01/01/2000,02:40:56.22,-887.21,-98.14,-443.85,0.44,1.92,-0.23,67.20,42.45,-14.40,28.08,0.49,1.83,1014.80,280.0,-822.50,-315.0,1,52.956
1784211195.4751132,01/01/2000,02:40:56.24,-884.28,-106.93,-451.66,-0.92,-0.26,-0.22,69.60,42.75,-13.20,28.41,0.37,1.83,1014.80,157.50,-840.0,-323.75,1,52.954
1784211195.5149899,01/01/2000,02:40:56.28,-897.95,-103.03,-456.54,-0.85,-0.44,0.84,69.0,41.85,-12.60,28.41,0.37,1.59,1014.55,271.25,-796.25,-271.25,1,52.962
1784211195.5322547,01/01/2000,02:40:56.30,-889.65,-86.43,-453.61,3.03,-0.04,1.02,68.70,42.45,-13.65,28.17,0.24,1.46,1014.43,262.50,-927.50,-341.25,1,52.961
1784211195.54913,01/01/2000,02:40:56.32,-891.60,-98.14,-465.33,1.10,-2.08,-1.03,67.80,42.15,-13.05,28.56,0.24,1.46,1014.55,113.75,-813.75,-367.50,1,52.960
1784211195.5818202,01/01/2000,02:40:56.35,-907.23,-92.29,-453.61,-0.11,-1.05,-2.52,67.80,42.60,-13.05,28.17,0.37,1.59,1014.55,315.0,-805.0,-306.25,1,52.958
1784211195.6147084,01/01/2000,02:40:56.37,-887.21,-94.24,-459.96,2.45,0.84,0.30,67.35,42.60,-13.80,28.32,0.49,1.71,1014.43,166.25,-875.0,-358.75,1,52.957
1784211195.6263607,01/01/2000,02:40:56.39,-898.93,-99.12,-453.13,1.32,-0.37,-0.01,67.80,42.60,-11.55,28.08,0.49,1.59,1014.80,166.25,-883.75,-280.0,1,52.965
1784211195.6441524,01/01/2000,02:40:56.41,-890.63,-90.33,-465.33,2.37,-0.44,-1.05,68.70,43.20,-13.65,28.37,0.49,1.71,1014.67,253.75,-735.0,-332.50,1,52.964
1784211195.660647,01/01/2000,02:40:56.42,-894.53,-91.31,-448.73,-0.71,-0.35,-0.58,67.05,43.35,-11.85,28.56,0.37,1.71,1014.67,236.25,-910.0,-358.75,1,52.963
1784211195.6826348,01/01/2000,02:40:56.45,-881.84,-91.80,-456.54,2.04,-1.02,0.60,67.95,42.75,-12.90,28.51,0.24,1.83,1014.55,218.75,-848.75,-376.25,1,52.962
1784211195.6986287,01/01/2000,02:40:56.46,-890.14,-85.45,-441.41,0.59,1.52,1.53,67.05,42.60,-13.35,28.51,0.37,1.83,1014.55,210.0,-796.25,-402.50,1,52.961
1784211195.7149193,01/01/2000,02:40:56.48,-893.55,-105.47,-449.71,0.37,-1.60,1.51,68.25,43.80,-13.05,28.37,0.24,1.83,1014.31,210.0,-682.50,-306.25,1,52.970
1784211195.7342856,01/01/2000,02:40:56.50,-887.21,-94.73,-457.03,2.29,0.89,2.02,67.05,43.80,-13.80,28.08,0.24,1.71,1014.43,323.75,-805.0,-402.50,1,52.969
1784211195.7652638,01/01/2000,02:40:56.53,-886.23,-91.31,-458.98,0.73,2.40,-1.06,66.60,43.80,-11.85,28.56,0.24,1.83,1014.31,280.0,-805.0,-420.0,1,52.966
1784211195.7897167,01/01/2000,02:40:56.55,-888.67,-94.73,-446.29,1.65,-1.95,-2.39,68.55,44.25,-13.05,28.37,0.24,1.83,1014.55,245.0,-883.75,-411.25,1,52.965
1784211195.8166275,01/01/2000,02:40:56.58,-886.23,-101.07,-452.64,0.09,-1.69,-2.59,66.90,43.20,-13.65,28.41,0.24,1.83,1014.67,280.0,-857.50,-323.75,1,52.964
1784211195.8301156,01/01/2000,02:40:56.59,-896.97,-87.40,-461.43,-0.91,-1.26,0.31,68.70,42.45,-12.90,28.41,0.24,1.95,1014.67,218.75,-910.0,-358.75,1,52.963
1784211195.8498769,01/01/2000,02:40:56.61,-896.00,-89.36,-458.01,-0.52,0.05,0.86,68.55,40.95,-13.05,28.37,0.24,1.95,1014.55,201.25,-761.25,-323.75,1,52.962
1784211195.861193,01/01/2000,02:40:56.63,-898.93,-99.12,-456.05,2.48,0.44,2.34,68.55,43.35,-12.60,28.37,0.37,1.83,1014.55,227.50,-752.50,-332.50,1,52.971
