rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:32:35.81,-34.18,-38.09,1029.30,-0.52,0.26,-2.35,15.0,1.20,46.65,31.53,0.0
01/01/2000,00:32:35.91,-25.88,-28.32,1015.14,-0.65,1.89,-0.76,14.10,0.60,46.80,31.14,20.0
01/01/2000,00:32:36.01,-25.88,-37.11,1020.51,1.47,-0.54,1.24,15.75,0.0,46.20,31.34,15.0
01/01/2000,00:32:36.11,-29.79,-20.02,1031.25,0.37,2.37,-1.62,15.45,0.0,46.95,31.24,13.333
01/01/2000,00:32:36.21,-33.69,-48.34,1011.23,1.31,0.57,-2.11,17.70,-0.30,46.65,31.53,12.500
01/01/2000,00:32:36.31,-21.48,-28.81,1027.34,1.68,0.51,0.21,16.20,-0.75,48.15,31.14,11.765
01/01/2000,00:32:36.41,-20.02,-26.86,1026.86,1.84,-1.79,-1.86,15.60,0.15,48.0,31.19,11.475
01/01/2000,00:32:36.51,-30.27,-28.81,1031.25,2.35,1.88,1.55,16.50,0.0,47.40,31.34,11.268
01/01/2000,00:32:36.62,-25.39,-37.60,1035.64,0.73,3.16,-0.34,15.45,0.0,46.95,31.34,11.111
01/01/2000,00:32:36.72,-41.99,-41.02,1024.90,1.09,-1.53,-1.44,15.15,-0.15,46.50,31.38,10.989
01/01/2000,00:32:36.82,-19.53,-36.62,1053.22,2.10,1.37,-1.32,15.0,0.0,46.95,31.48,10.891
01/01/2000,00:32:36.92,-40.04,-33.69,1010.74,3.18,-2.18,0.07,15.90,0.15,46.80,31.19,10.811
01/01/2000,00:32:37.02,-23.44,-30.76,1018.07,0.98,2.15,0.60,15.45,1.20,45.45,31.48,10.744
01/01/2000,00:32:37.12,-35.16,-35.16,1030.27,0.95,1.48,-0.53,15.15,-1.35,46.80,31.38,10.687
01/01/2000,00:32:37.22,-18.55,-23.93,1033.69,0.15,-1.60,-0.82,15.60,-0.15,47.25,31.34,10.638
01/01/2000,00:32:37.32,-30.27,-27.34,1041.02,1.75,0.15,1.28,15.15,0.15,46.80,31.53,10.596
01/01/2000,00:32:37.42,-25.39,-34.18,1026.37,1.64,-0.60,-0.38,15.15,1.35,47.25,31.14,10.559
01/01/2000,00:32:37.52,-21.97,-24.90,1045.41,-1.01,-0.18,1.21,15.45,1.20,46.65,31.38,10.465
01/01/2000,00:32:37.62,-32.23,-23.93,1031.25,1.97,0.13,-1.04,15.90,-0.60,48.30,31.19,10.440
01/01/2000,00:32:37.73,-20.51,-41.99,1016.11,0.44,-0.02,-1.28,15.0,0.0,47.40,31.38,10.417
01/01/2000,00:32:37.83,-30.76,-28.81,1018.55,1.92,0.40,0.35,16.20,0.30,47.70,31.19,10.396
01/01/2000,00:32:37.93,-7.32,-28.81,1010.74,0.58,1.44,-1.40,14.10,0.60,46.50,31.48,10.377
