family,filter,mean_rmse_3d_mm,std_rmse_3d_mm,min_rmse_3d_mm,max_rmse_3d_mm,recording_count
wiener,wiener window=81,624.5831188677149,294.5762296631349,295.85691721936877,1250.7005474471607,10
median,median size=3,629.0006042959668,253.72552951953915,291.8281326104277,1136.9850947416844,10
wiener,wiener window=11,629.6410798316107,258.7849482004369,311.9158215509878,1140.581410163725,10
kalman_1d,kalman Q=1e-06 R=1e-02,630.7858043820263,231.02020665592775,252.88981274886697,1025.15565268936,10
kalman_1d,kalman Q=1e-06 R=1e-03,632.394190659713,252.50994329788418,277.0704650504742,1127.8423475077495,10
kalman_1d,kalman Q=1e-06 R=1e-04,635.845359121757,259.5934467446707,289.64151628371127,1161.3005712562276,10
kalman_1d,kalman Q=1e-04 R=1e-02,635.8457408902852,259.5855116864413,289.658220398639,1161.2625396459832,10
kalman_1d,kalman Q=1e-04 R=1e-03,637.1984113009398,262.0119504654728,294.13429603322317,1171.7126987961126,10
savgol,savgol window=81 poly=3,637.3346644259234,263.08108137432674,295.4082456039992,1174.8348338745307,10
butterworth,butterworth cutoff=5Hz order=4,637.4965790322458,263.08156234006105,296.7953956813065,1175.2632404969825,10
butterworth,butterworth cutoff=5Hz order=2,637.5138361807178,262.9681334035366,296.80312347412496,1174.865336909598,10
kalman_1d,kalman Q=1e-04 R=1e-04,637.5229935369838,262.98191058398464,295.53538059122377,1175.5302141383847,10
kalman_1d,kalman Q=1e-02 R=1e-02,637.5234290682448,262.9800611726297,295.54167022505146,1175.5203331684265,10
savgol,savgol window=41 poly=2,637.5252949107654,262.91410537250897,296.1558021058576,1175.2321268280555,10
savgol,savgol window=21 poly=3,637.5286596299122,263.3828828401052,296.0570186326607,1177.357739808788,10
savgol,savgol window=11 poly=2,637.5833057560014,263.2891298529074,296.15708988112164,1176.5647607236922,10
butterworth,butterworth cutoff=10Hz order=2,637.586925467133,263.28068436900963,296.2302345998146,1176.5060319826496,10
butterworth,butterworth cutoff=10Hz order=4,637.5892345412456,263.3160133565204,296.16229071089674,1176.642343648885,10
kalman_1d,kalman Q=1e-02 R=1e-03,637.6320619069195,263.2693388227024,295.874306939357,1176.699138253354,10
savgol,savgol window=7 poly=2,637.6411129685673,263.32258348782665,295.99663085989215,1176.8972204638428,10
kalman_1d,kalman Q=1e-02 R=1e-04,637.6519259645441,263.3155704440732,295.92588491013225,1176.89065140035,10
raw,raw,637.6543550638319,263.32117973524777,295.9321474328979,1176.9139047600024,10
moving_average,moving-average window=11,637.6651807386853,263.78249013273586,296.6756336522478,1178.6695367585226,10
moving_average,moving-average window=5,637.6753965666372,263.51730394629914,296.1639214606407,1177.6999075780739,10
savgol,savgol window=11 poly=3,637.6916371764604,263.35728729773416,295.85841190991664,1177.1421136432239,10
butterworth,butterworth cutoff=20Hz order=2,637.693575940184,263.3183985362533,295.9902383375702,1176.9243871365416,10
savgol,savgol window=7 poly=3,637.7015449292492,263.3178925693541,295.92154030126954,1176.9572834955538,10
butterworth,butterworth cutoff=20Hz order=4,637.7185816102266,263.3134514588957,295.977672236527,1176.950968318334,10
savgol,savgol window=21 poly=2,637.7204398037164,263.1888854741596,296.124043225912,1175.858971931762,10
savgol,savgol window=41 poly=3,637.7706809605002,263.44766953266014,296.0372187227157,1177.3556332678654,10
moving_average,moving-average window=21,637.8688825677607,264.079962181481,297.5539493499905,1180.098619296646,10
butterworth,butterworth cutoff=2Hz order=2,637.9337569477082,261.5883116642196,298.8641777480218,1169.4475297159643,10
butterworth,butterworth cutoff=2Hz order=4,637.9501823146385,261.8349070616921,298.0065164494087,1169.4747157201032,10
savgol,savgol window=81 poly=2,638.1564776953994,263.24348077581556,297.3636828494013,1178.0040230414081,10
moving_average,moving-average window=41,638.1647551344328,264.63305123360277,299.4193616538251,1183.2178730010157,10
moving_average,moving-average window=81,638.5302437744434,266.2386043315429,302.8395110091758,1190.8833786127266,10
median,median size=5,638.6323056088245,231.9130215979797,295.62273270493387,1089.346518243844,10
butterworth,butterworth cutoff=1Hz order=4,638.7013011144212,259.72480679009794,302.93606801561145,1163.3741945691386,10
butterworth,butterworth cutoff=1Hz order=2,639.1055827948059,259.616484362635,303.4142085724567,1162.6591755161262,10
wiener,wiener window=5,639.8409624826674,269.1203811362668,290.286017853149,1201.2014719544597,10
wiener,wiener window=41,658.0228851139602,300.5641596392128,291.88663579312976,1340.2110272949244,10
wiener,wiener window=21,665.699946409557,362.0092662054301,245.7108749109567,1546.727156210379,10
median,median size=11,726.958143325092,194.919821066368,435.99065183895516,1108.3163893855142,10
median,median size=21,800.6854042108646,264.9245573431586,353.91464263824435,1138.3219931237904,10
median,median size=41,806.592945209062,224.99434226398742,490.10294281456027,1226.8054616389736,10
