family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
wiener,wiener window=21,245.7108749109567,149.10122107917707,8.599482036991015,195.1120417373096,172.55112875854803
wiener,wiener window=41,291.88663579312976,175.6240557791942,13.95188114618601,232.72160234662434,291.6835964534648
wiener,wiener window=81,297.75613192188285,166.30412901595054,13.701060258658206,246.60480878749385,321.12342731411263
moving_average,moving-average window=81,307.0104354625633,148.56926707546216,7.367394383681535,268.5671272951476,304.1601221514822
moving_average,moving-average window=41,310.17539265868754,147.12267834979951,7.2594602065416405,272.9670162559244,309.7920229911666
moving_average,moving-average window=21,311.7719522619157,146.85356799013573,7.202389252488297,274.9252723465568,312.6727131554621
wiener,wiener window=11,311.9158215509878,153.3322086933332,9.083277282364524,271.4741379668852,313.11715751357997
wiener,wiener window=5,312.60479683176203,145.602741174344,7.1724099879978365,276.5323802011407,310.1221568255428
moving_average,moving-average window=11,312.85473106607094,147.1574685794348,7.134536874142798,275.99250094034755,314.67741042731893
butterworth,butterworth cutoff=5Hz order=4,313.88214694957867,146.02647107120424,7.276318043820765,277.7504763558342,316.37467609813274
moving_average,moving-average window=5,313.9869812878935,147.4814138436243,7.0761795024323195,277.10464570739157,316.8094540707331
butterworth,butterworth cutoff=5Hz order=2,314.1028701890938,146.13243524105124,7.2784297541125005,277.9441470725028,316.7721417818657
savgol,savgol window=81 poly=3,314.12904345755265,146.6469391326192,7.074966378103758,277.70789696611007,317.03420722231704
butterworth,butterworth cutoff=10Hz order=4,314.2471495390934,147.35983932467468,7.088169130328091,277.46370322265807,317.2374066834879
butterworth,butterworth cutoff=10Hz order=2,314.26775917387727,147.19025042736854,7.095401195941324,277.57685407318695,317.2549543338388
savgol,savgol window=11 poly=2,314.27909871619096,147.3166379390389,7.105870490114106,277.52237149602405,317.2636624890123
savgol,savgol window=21 poly=3,314.301743896506,147.5524952038505,7.075855441065785,277.42346628445057,317.3762266238789
savgol,savgol window=7 poly=2,314.5464178069245,147.59057142713615,7.074254851508651,277.6804406134427,317.8693617636451
savgol,savgol window=41 poly=3,314.5536142595024,147.74135671917122,7.143409782412534,277.606627181656,317.7247293962735
butterworth,butterworth cutoff=20Hz order=2,314.6335024550326,147.50637854310247,7.072241672613162,277.8238516649428,317.9955381469586
raw,raw,314.6513755129646,147.54902947863587,7.0722750503774225,277.82144434460974,318.0361890547274
kalman_1d,kalman Q=1e-02 R=1e-04,314.66748470871187,147.55033119547014,7.072256695657491,277.8389981306534,318.06701145584145
butterworth,butterworth cutoff=20Hz order=4,314.6927274859436,147.53208514926874,7.072214223015941,277.8772757352336,318.10646509467284
savgol,savgol window=21 poly=2,314.69607910895286,146.96285698709323,7.081822236674658,278.18229394867603,318.0409063262521
savgol,savgol window=7 poly=3,314.7418235478823,147.52150173795624,7.07243639546517,277.9384871849462,318.18486372801834
savgol,savgol window=11 poly=3,314.7724744722729,147.6625618387675,7.085098610770618,277.89796669692544,318.3117113139003
kalman_1d,kalman Q=1e-02 R=1e-03,314.8004034846774,147.5610216543473,7.072319220274746,277.9838506519533,318.3213264950265
savgol,savgol window=41 poly=2,314.8116053973437,146.69953526033285,7.102866601921913,278.4513288409493,318.3833386200638
butterworth,butterworth cutoff=2Hz order=4,315.57636491744626,144.37560158396073,7.569294030693407,280.5117351371517,319.24997412245347
savgol,savgol window=81 poly=2,315.6356011011882,147.99413523967908,7.073516376339205,278.6997200989653,319.78662667447566
kalman_1d,kalman Q=1e-02 R=1e-02,315.65750916537047,147.6342111031073,7.082325577097377,278.915118752765,319.9624143682616
kalman_1d,kalman Q=1e-04 R=1e-04,315.66022562545015,147.64159071602612,7.082905600110136,278.91427209989,319.96882409400763
butterworth,butterworth cutoff=2Hz order=2,316.308016688007,144.29434981003743,7.534423178259628,281.3772103447079,320.57696129111986
median,median size=3,317.33252850958246,155.47379931919278,9.572458158441215,276.47097392013006,335.0309995217338
kalman_1d,kalman Q=1e-04 R=1e-03,318.84831450020783,148.17103888479122,7.334639516173423,282.2335804942299,326.1339047360339
butterworth,butterworth cutoff=1Hz order=4,320.1610859535388,143.14448855783496,7.756005252182573,286.2736815304425,327.45057236609193
butterworth,butterworth cutoff=1Hz order=2,321.5275316726353,143.17633674918073,7.63458771299835,287.78846969438376,329.93343549060387
kalman_1d,kalman Q=1e-06 R=1e-04,326.2897727827555,149.29351884351317,8.829047607151118,289.9974292511822,340.6820488851452
kalman_1d,kalman Q=1e-04 R=1e-02,326.2922092502516,149.27459409795054,8.81643223673415,290.0102961912165,340.6830708112943
kalman_1d,kalman Q=1e-06 R=1e-03,343.68797649681227,146.8260591803693,11.921455284735062,310.51797442004886,374.7087207880626
kalman_1d,kalman Q=1e-06 R=1e-02,414.87206626880237,136.1759193484059,17.586267410640186,391.49160087838845,509.4019260016163
median,median size=5,421.1670900319701,163.0906007751144,23.29625317853365,387.6086405804848,567.8857669492809
median,median size=11,626.1842616100158,94.51277660147241,37.559946758044106,617.8699822346882,1084.3015120705081
median,median size=21,752.6098117487032,120.39724219835755,26.434773715322127,742.4467897095847,1392.25417967689
median,median size=41,978.6698184899564,97.72012891743061,37.84545754974907,973.0432217380556,1864.8766713680611
