family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
kalman_1d,kalman Q=1e-06 R=1e-02,252.88981274886697,88.3967331068459,83.59499506419925,221.70059036549847,587.2786973478426
kalman_1d,kalman Q=1e-06 R=1e-03,277.0704650504742,112.05841091861458,113.84419737827663,226.38563088009127,598.7661985098258
kalman_1d,kalman Q=1e-06 R=1e-04,289.64151628371127,111.70997090981824,139.42282095380097,227.97887479268618,609.5685252054708
kalman_1d,kalman Q=1e-04 R=1e-02,289.658220398639,111.71797328420183,139.44742272704704,227.98112944838468,609.6955875126152
wiener,wiener window=5,290.286017853149,93.02388377684176,155.79071260827493,226.58725267127724,580.1466620800355
median,median size=3,291.8281326104277,103.08491988754643,148.2534573629411,229.25547028283128,624.0815812510352
kalman_1d,kalman Q=1e-04 R=1e-03,294.13429603322317,106.73803958349453,151.51817943241613,228.39486927319157,606.5875980384874
savgol,savgol window=81 poly=3,295.4082456039992,102.38253089402328,156.70990953755665,228.52976434438008,600.5191790508504
kalman_1d,kalman Q=1e-04 R=1e-04,295.53538059122377,104.46589725003128,155.58438922064167,228.520317091906,605.090275873595
kalman_1d,kalman Q=1e-02 R=1e-02,295.54167022505146,104.46665876894151,155.59505849123542,228.5208389144754,605.1405506559221
median,median size=5,295.62273270493387,123.66623136947511,129.15073465880957,235.41357447669404,661.8239278014398
wiener,wiener window=81,295.85691721936877,59.753598263719745,174.48260172557107,231.33664788822838,626.6087314337075
savgol,savgol window=11 poly=3,295.85841190991664,103.80075155427551,156.58516366101426,228.5578491233212,604.5822969720717
kalman_1d,kalman Q=1e-02 R=1e-03,295.874306939357,103.87272470530577,156.57610572001104,228.55193214387086,604.6492740165495
savgol,savgol window=7 poly=3,295.92154030126954,103.70536688685091,156.7744446487326,228.55311942351832,604.1087517503787
kalman_1d,kalman Q=1e-02 R=1e-04,295.92588491013225,103.78013926993168,156.72794111573276,228.55669871299298,604.5643555863725
raw,raw,295.9321474328979,103.76891719957905,156.74635226680292,228.55727675688792,604.5540417669301
butterworth,butterworth cutoff=20Hz order=4,295.977672236527,103.7990171055028,156.8084712543272,228.55994805163343,604.8451661494757
butterworth,butterworth cutoff=20Hz order=2,295.9902383375702,103.78589094631694,156.83688041002208,228.5626893761606,605.0979581667286
savgol,savgol window=7 poly=2,295.99663085989215,103.90701814247743,156.7605781310983,228.56827908778143,605.628610118294
savgol,savgol window=41 poly=3,296.0372187227157,103.75358220977367,156.96080980280874,228.55313000212286,604.2287341226324
savgol,savgol window=21 poly=3,296.0570186326607,103.64143901911389,157.03355442884666,228.5796867246724,606.4580937381011
savgol,savgol window=21 poly=2,296.124043225912,103.7872626523533,157.09999162444998,228.55468868345477,604.4300626084342
savgol,savgol window=41 poly=2,296.1558021058576,103.50431008421778,157.30749475394046,228.58142752461976,606.5914524297615
savgol,savgol window=11 poly=2,296.15708988112164,103.75773445011505,157.15744814309727,228.57141317711606,605.9225384059341
butterworth,butterworth cutoff=10Hz order=4,296.16229071089674,103.78502143627495,157.12833384198083,228.58577923536856,607.0158037146665
moving_average,moving-average window=5,296.1639214606407,103.30052947649222,157.49664825921136,228.55387717545986,604.1791661362141
butterworth,butterworth cutoff=10Hz order=2,296.2302345998146,103.71180255022216,157.30075440630213,228.5884655140174,607.2145888564647
moving_average,moving-average window=11,296.6756336522478,102.42815131140274,159.03082245598293,228.54781322704616,603.5234227742778
butterworth,butterworth cutoff=5Hz order=4,296.7953956813065,103.29200219369764,158.5846505401179,228.6245345397321,609.5865577477526
butterworth,butterworth cutoff=5Hz order=2,296.80312347412496,103.3751033082512,158.52210902387293,228.64037935287902,610.4550641793707
savgol,savgol window=81 poly=2,297.3636828494013,105.84978125577011,157.86774975981155,228.6892154685884,613.7604569636624
moving_average,moving-average window=21,297.5539493499905,101.45541000851682,161.29661012817078,228.53567799129596,602.1561613728783
butterworth,butterworth cutoff=2Hz order=4,298.0065164494087,103.71734274787688,160.34567981716384,228.77906290480936,616.921937517783
butterworth,butterworth cutoff=2Hz order=2,298.8641777480218,104.68775992322267,161.0907918192053,228.9323621821963,622.3739128298859
moving_average,moving-average window=41,299.4193616538251,101.01358241486598,164.97790833597543,228.53993100109594,604.2177002091973
wiener,wiener window=21,299.90229966687764,100.57443846065014,163.1723287617171,230.6533390182867,623.8762855167971
moving_average,moving-average window=81,302.8395110091758,103.50324381392524,169.54883745872078,228.5870505183269,612.3086821418631
butterworth,butterworth cutoff=1Hz order=4,302.93606801561145,109.238403294171,163.6300608571072,230.352850502004,650.568420586187
butterworth,butterworth cutoff=1Hz order=2,303.4142085724567,111.32351251076601,163.36079519212203,230.17495111352397,649.3825350435712
wiener,wiener window=11,322.8640120829683,152.55663793811146,166.2236389958738,230.94879163637225,672.666202122455
wiener,wiener window=41,349.419674516287,214.1252394588769,164.2363343279905,221.97053239619692,669.4677630516476
median,median size=21,353.91464263824435,67.74828144877748,261.77201086357985,228.344386755907,545.0600236955149
median,median size=11,435.99065183895516,251.10356433178427,272.11380143562025,230.19323955991052,888.6055598795988
median,median size=41,662.6929176712416,560.347789903183,235.56341187927964,263.9737420010447,1401.9272498301539
