family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
median,median size=11,512.8924570750919,465.1475108624952,156.4628446413024,149.0498034540855,1014.574965208252
median,median size=21,550.5105760900251,452.17853703361584,134.45827362046828,283.7559474057123,1413.3825181694492
median,median size=41,821.433790498999,414.54810325374086,172.74286207977664,687.7959332990902,2208.328139362626
kalman_1d,kalman Q=1e-06 R=1e-02,1025.15565268936,257.2530890397594,170.21997902385527,977.6451908343681,1967.5069815568174
median,median size=5,1089.346518243844,251.64826059542088,155.00509163276826,1048.4857706794126,2000.2798380939785
kalman_1d,kalman Q=1e-06 R=1e-03,1127.8423475077495,249.8289814122454,146.38791146629669,1090.0387241996712,2136.0352058785707
median,median size=3,1136.9850947416844,240.6779237380157,147.88917233811094,1101.334660943286,2129.12238011066
wiener,wiener window=11,1140.581410163725,208.78912073647058,135.201276953553,1113.1278771925945,2134.039116398354
kalman_1d,kalman Q=1e-04 R=1e-02,1161.2625396459832,242.4153242397613,141.53081250455526,1126.8249756153662,2191.2575196355383
kalman_1d,kalman Q=1e-06 R=1e-04,1161.3005712562276,242.4291435741488,141.5281685810151,1126.8615286023607,2191.3253385360345
butterworth,butterworth cutoff=1Hz order=2,1162.6591755161262,229.44123923091982,139.1443388320245,1131.2700513683799,2191.8764259250897
butterworth,butterworth cutoff=1Hz order=4,1163.3741945691386,231.10538766263429,141.05623867104185,1131.429606256913,2193.1649428533656
butterworth,butterworth cutoff=2Hz order=2,1169.4475297159643,234.52104611543982,140.03361156010357,1137.100695330508,2203.9081285476964
butterworth,butterworth cutoff=2Hz order=4,1169.4747157201032,234.4111202277627,139.36263500386266,1137.2337461520217,2203.942017344146
kalman_1d,kalman Q=1e-04 R=1e-03,1171.7126987961126,238.84121826579883,140.5339125430936,1138.4707903159874,2208.4912158758725
savgol,savgol window=81 poly=3,1174.8348338745307,237.64999939506575,138.10042726954794,1142.2292399778994,2213.375879014708
butterworth,butterworth cutoff=5Hz order=2,1174.865336909598,237.5461518386245,141.36200940205424,1141.8831673670377,2213.563417678334
savgol,savgol window=41 poly=2,1175.2321268280555,237.68218306530565,140.0184995436625,1142.3977203967306,2214.1779564102408
butterworth,butterworth cutoff=5Hz order=4,1175.2632404969825,237.7632517617941,141.615405927405,1142.2160029430254,2214.2775438244485
kalman_1d,kalman Q=1e-02 R=1e-02,1175.5203331684265,238.16407706885374,140.67292018185498,1142.513481589543,2214.848775518952
kalman_1d,kalman Q=1e-04 R=1e-04,1175.5302141383847,238.16524537315837,140.67082710767227,1142.5236621835995,2214.8664252272806
savgol,savgol window=21 poly=2,1175.858971931762,238.2449215558222,140.5020271694617,1142.8660724628028,2215.294724940585
butterworth,butterworth cutoff=10Hz order=2,1176.5060319826496,238.11961399258902,140.98113113296057,1143.4989345810739,2216.4777067076834
savgol,savgol window=11 poly=2,1176.5647607236922,238.04625415870777,141.54041974504497,1143.5055428970177,2216.6032617261835
butterworth,butterworth cutoff=10Hz order=4,1176.642343648885,238.18070126301512,140.95848037036757,1143.6292516480485,2216.7195819666445
kalman_1d,kalman Q=1e-02 R=1e-03,1176.699138253354,238.15255945235023,140.69121086200732,1143.7264548740065,2216.837316309729
kalman_1d,kalman Q=1e-02 R=1e-04,1176.89065140035,238.1585466778167,140.69418870619904,1143.9218755064326,2217.161005767726
savgol,savgol window=7 poly=2,1176.8972204638428,238.32501867575166,140.46761425944248,1143.9218077967487,2217.156788621679
raw,raw,1176.9139047600024,238.15932098301735,140.6945581840484,1143.945592387916,2217.2003105816375
butterworth,butterworth cutoff=20Hz order=2,1176.9243871365416,238.25138990409394,140.66778388511955,1143.9404979378696,2217.2147008140105
butterworth,butterworth cutoff=20Hz order=4,1176.950968318334,238.26848803921348,140.68079138726003,1143.9626848667858,2217.2622005944195
savgol,savgol window=7 poly=3,1176.9572834955538,238.12737944482643,140.79214618833237,1143.9848643682558,2217.282554845237
savgol,savgol window=11 poly=3,1177.1421136432239,238.27391822744576,140.07909288824447,1144.2320321248585,2217.5869353670414
savgol,savgol window=41 poly=3,1177.3556332678654,237.9468424383144,141.09458808121704,1144.394994997533,2218.0115888201517
savgol,savgol window=21 poly=3,1177.357739808788,238.03040554862545,141.23090989321798,1144.36296847318,2218.019531229306
moving_average,moving-average window=5,1177.6999075780739,238.1119138716244,140.68837376580763,1144.7648537009375,2218.6146102367047
savgol,savgol window=81 poly=2,1178.0040230414081,238.0457561892015,143.9959259795232,1144.6802477387967,2219.295887347543
moving_average,moving-average window=11,1178.6695367585226,237.6543199150051,140.85066324808918,1145.83741943212,2220.3802977329533
moving_average,moving-average window=21,1180.098619296646,236.75774938212317,140.2213869284368,1147.5698157503218,2222.9641962798064
moving_average,moving-average window=41,1183.2178730010157,235.1747330184117,139.3837472923287,1151.2035228097225,2228.60292970651
moving_average,moving-average window=81,1190.8833786127266,234.14349582119132,138.87170187116678,1159.3509801781775,2242.3817060650986
wiener,wiener window=5,1201.2014719544597,252.657645051022,142.36229622656245,1165.6680776430023,2274.6102747628925
wiener,wiener window=81,1250.7005474471607,279.99969026819554,134.34871214901622,1211.5289746342196,2359.5211709114737
wiener,wiener window=41,1340.2110272949244,290.60254374571844,131.0975724797223,1301.7408289445937,2573.1105524073955
wiener,wiener window=21,1546.727156210379,247.07141544534645,135.3044597585405,1520.8594000097214,3057.857405231792
