rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
01/01/2000,01:23:43.31,17.08,-52.83,-863.03,166.25,-726.25,-315.0,1,100.0,
01/01/2000,01:23:43.33,17.45,-54.90,-886.09,87.50,-665.0,-376.25,1,100.0,
01/01/2000,01:23:43.34,17.81,-55.88,-905.00,140.0,-665.0,-358.75,1,75.0,
01/01/2000,01:23:43.35,18.30,-56.61,-915.73,131.25,-551.25,-411.25,1,80.0,
01/01/2000,01:23:43.36,18.42,-57.10,-925.13,332.50,-577.50,-253.75,1,83.333,
01/01/2000,01:23:43.37,18.54,-57.58,-933.42,210.0,-796.25,-376.25,1,85.714,
01/01/2000,01:23:43.38,18.79,-58.56,-944.16,192.50,-603.75,-253.75,1,87.500,
01/01/2000,01:23:43.39,18.79,-59.05,-950.14,210.0,-761.25,-315.0,1,88.889,
01/01/2000,01:23:43.40,18.79,-59.29,-955.26,192.50,-691.25,-411.25,1,90.0,
01/01/2000,01:23:43.41,18.91,-59.54,-961.73,201.25,-726.25,-385.0,1,90.909,
01/01/2000,01:23:43.42,19.03,-59.54,-965.75,131.25,-761.25,-210.0,1,91.667,
01/01/2000,01:23:43.44,19.15,-59.54,-969.41,166.25,-638.75,-210.0,1,92.308,
01/01/2000,01:23:43.44,19.15,-59.78,-972.34,140.0,-682.50,-253.75,1,92.857,
01/01/2000,01:23:43.46,19.03,-60.15,-975.88,26.25,-656.25,-402.50,1,93.333,
01/01/2000,01:23:43.47,19.03,-60.39,-977.83,210.0,-743.75,-393.75,1,93.750,
01/01/2000,01:23:43.48,19.28,-60.27,-979.78,201.25,-700.0,-297.50,1,94.118,
01/01/2000,01:23:43.49,19.52,-60.51,-981.61,70.0,-743.75,-358.75,1,94.444,
01/01/2000,01:23:43.50,19.28,-60.51,-983.81,280.0,-568.75,-271.25,1,94.737,
01/01/2000,01:23:43.51,19.28,-60.63,-984.78,201.25,-665.0,-297.50,1,95.0,
01/01/2000,01:23:43.52,19.40,-60.76,-985.88,52.50,-665.0,-332.50,1,95.238,
01/01/2000,01:23:43.53,19.64,-61.0,-987.47,105.0,-630.0,-315.0,1,95.455,
01/01/2000,01:23:43.54,19.76,-61.0,-988.20,17.50,-665.0,-236.25,1,95.652,
01/01/2000,01:23:43.55,19.76,-61.12,-988.93,183.75,-778.75,-358.75,1,95.833,
