rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
01/01/2000,01:46:24.98,10.13,-69.91,-862.05,218.75,-638.75,-341.25,1,0.0,
01/01/2000,01:46:24.99,10.61,-72.22,-891.82,227.50,-726.25,-280.0,1,100.0,
01/01/2000,01:46:25.00,10.74,-73.20,-903.78,70.0,-673.75,-201.25,1,100.0,
01/01/2000,01:46:25.01,10.74,-74.66,-919.27,122.50,-577.50,-446.25,1,100.0,
01/01/2000,01:46:25.02,10.74,-75.40,-928.18,183.75,-770.0,-358.75,1,100.0,
01/01/2000,01:46:25.03,10.86,-75.88,-935.98,105.0,-630.0,-367.50,1,100.0,
01/01/2000,01:46:25.04,10.86,-76.25,-942.94,192.50,-638.75,-341.25,1,100.0,
01/01/2000,01:46:25.06,10.98,-76.86,-951.60,245.0,-647.50,-271.25,1,100.0,
01/01/2000,01:46:25.07,11.22,-77.47,-956.48,288.75,-673.75,-350.0,1,100.0,
01/01/2000,01:46:25.08,11.35,-77.96,-960.75,175.0,-656.25,-315.0,1,100.0,
01/01/2000,01:46:25.09,11.47,-78.45,-966.24,96.25,-691.25,-376.25,1,100.0,
01/01/2000,01:46:25.10,11.47,-78.81,-969.41,131.25,-656.25,-411.25,1,100.0,
01/01/2000,01:46:25.11,11.47,-78.81,-971.97,288.75,-630.0,-358.75,1,100.0,
01/01/2000,01:46:25.12,11.71,-78.81,-974.41,87.50,-638.75,-236.25,1,100.0,
01/01/2000,01:46:25.13,11.71,-79.06,-977.46,113.75,-761.25,-420.0,1,100.0,
01/01/2000,01:46:25.14,11.71,-79.30,-979.29,210.0,-603.75,-218.75,1,100.0,
01/01/2000,01:46:25.15,11.71,-79.54,-980.88,113.75,-743.75,-367.50,1,100.0,
01/01/2000,01:46:25.16,11.59,-79.67,-982.22,157.50,-612.50,-262.50,1,100.0,
01/01/2000,01:46:25.17,11.71,-79.67,-984.05,113.75,-726.25,-437.50,1,100.0,
01/01/2000,01:46:25.18,11.71,-79.67,-985.03,96.25,-761.25,-323.75,1,100.0,
01/01/2000,01:46:25.19,11.71,-79.79,-986.00,148.75,-656.25,-306.25,1,100.0,
01/01/2000,01:46:25.20,11.83,-79.79,-986.86,87.50,-682.50,-332.50,1,100.0,
01/01/2000,01:46:25.21,11.83,-80.28,-987.71,183.75,-778.75,-446.25,1,100.0,
01/01/2000,01:46:25.22,11.96,-80.28,-988.08,131.25,-647.50,-262.50,1,100.0,
