Frame,X,Y,Z,Roll,Pitch,Yaw
0,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
1,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000
2,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000
3,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000
4,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000
5,0.0000,0.0000,0.0000,0.0000,-0.0014,0.0000
6,0.0000,0.0000,0.0000,0.0000,-0.0004,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
8,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
9,0.0000,0.0000,0.0000,0.0000,-0.0006,0.0000
10,0.0000,0.0000,0.0000,0.0000,-0.0002,0.0000
11,0.0000,0.0000,0.0000,0.0000,-0.0007,0.0000
12,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000
13,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000
14,0.0000,0.0000,0.0000,0.0000,-0.0027,0.0000
15,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000
16,0.0000,0.0000,0.0000,0.0000,-0.0009,0.0000
17,0.0000,0.0000,0.0000,0.0000,-0.0007,0.0000
18,0.0000,0.0000,0.0000,0.0000,-0.0027,0.0000
19,0.0000,0.0000,0.0000,0.0000,-0.0020,0.0000
20,0.0000,0.0000,0.0000,0.0000,-0.0007,0.0000
21,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000
22,0.0000,0.0000,0.0000,0.0000,-0.0054,0.0000
23,0.0000,0.0000,0.0000,0.0000,-0.0033,0.0000
24,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000
25,0.0000,0.0000,0.0000,0.0000,-0.0022,0.0000
26,0.0000,0.0000,0.0000,0.0000,-0.0072,0.0000
27,0.0000,0.0000,0.0000,0.0000,-0.0042,0.0000
28,0.0000,0.0000,0.0000,0.0000,-0.0018,0.0000
29,0.0000,0.0000,0.0000,0.0000,-0.0040,0.0000
30,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000
31,0.0000,0.0000,0.0000,0.0000,-0.0045,0.0000
32,0.0000,0.0000,0.0000,0.0000,-0.0039,0.0000
33,0.0000,0.0000,0.0000,0.0000,-0.0038,0.0000
34,0.0000,0.0000,0.0000,0.0000,-0.0035,0.0000
35,0.0000,0.0000,0.0000,0.0000,-0.0040,0.0000
36,0.0000,0.0000,0.0000,0.0000,-0.0030,0.0000
37,0.0000,0.0000,0.0000,0.0000,-0.0034,0.0000
38,0.0000,0.0000,0.0000,0.0000,-0.0024,0.0000
39,0.0000,0.0000,0.0000,0.0000,-0.0052,0.0000
40,0.0000,0.0000,0.0000,0.0000,-0.0028,0.0000
41,0.0000,0.0000,0.0000,0.0000,-0.0050,0.0000
42,0.0000,0.0000,0.0000,0.0000,-0.0046,0.0000
43,0.0000,0.0000,0.0000,0.0000,-0.0074,0.0000
44,0.0000,0.0000,0.0000,0.0000,-0.0060,0.0000
45,0.0000,0.0000,0.0000,0.0000,-0.0076,0.0000
46,0.0000,0.0000,0.0000,0.0000,-0.0073,0.0000
47,0.0000,0.0000,0.0000,0.0000,-0.0064,0.0000
48,0.0000,0.0000,0.0000,0.0000,-0.0035,0.0000
49,0.0000,0.0000,0.0000,0.0000,-0.0052,0.0000
50,0.0000,0.0000,0.0000,0.0000,-0.0086,0.0000
51,0.0000,0.0000,0.0000,0.0000,-0.0090,0.0000
52,0.0000,0.0000,0.0000,0.0000,-0.0058,0.0000
53,0.0000,0.0000,0.0000,0.0000,-0.0074,0.0000
54,0.0000,0.0000,0.0000,0.0000,-0.0077,0.0000
55,0.0000,0.0000,0.0000,0.0000,-0.0087,0.0000
56,0.0000,0.0000,0.0000,0.0000,-0.0053,0.0000
57,0.0000,0.0000,0.0000,0.0000,-0.0101,0.0000
58,0.0000,0.0000,0.0000,0.0000,-0.0081,0.0000
59,0.0000,0.0000,0.0000,0.0000,-0.0086,0.0000
60,0.0000,0.0000,0.0000,0.0000,-0.0082,0.0000
61,0.0000,0.0000,0.0000,0.0000,-0.0065,0.0000
62,0.0000,0.0000,0.0000,0.0000,-0.0107,0.0000
63,0.0000,0.0000,0.0000,0.0000,-0.0096,0.0000
64,0.0000,0.0000,0.0000,0.0000,-0.0094,0.0000
65,0.0000,0.0000,0.0000,0.0000,-0.0089,0.0000
66,0.0000,0.0000,0.0000,0.0000,-0.0101,0.0000
67,0.0000,0.0000,0.0000,0.0000,-0.0122,0.0000
68,0.0000,0.0000,0.0000,0.0000,-0.0109,0.0000
69,0.0000,0.0000,0.0000,0.0000,-0.0095,0.0000
