timestamp,X,Y,Z,R
0.014019,274.540972,0.353049,99.97113,3.163585
0.019039,274.542102,0.352172,99.971191,3.163402
0.028769,274.540972,0.353049,99.97113,3.166332
0.053353,274.541613,0.35305,99.97171,3.160838
0.06139,274.541521,0.35305,99.971161,3.160838
0.076292,274.541979,0.35305,99.970085,3.160838
0.093653,274.540851,0.352171,99.970032,3.160655
0.100035,274.540912,0.352171,99.970581,3.163402
0.113157,274.54076,0.351292,99.969482,3.163218
0.119684,274.541461,0.352171,99.970612,3.163402
0.137985,274.541461,0.352171,99.970612,3.160655
0.153249,274.541675,0.352172,99.972267,3.155162
0.159981,274.540332,0.35217,99.970551,3.166148
0.173403,274.540852,0.351293,99.970032,3.163218
0.176443,274.54253,0.351295,99.970116,3.160472
0.187407,274.539845,0.351291,99.971077,3.160472
0.197187,274.541523,0.351293,99.971161,3.160472
0.203393,274.540913,0.351293,99.970581,3.157725
0.219282,274.542104,0.350416,99.971191,3.160289
0.228812,274.5414,0.352171,99.970062,3.160655
0.236763,274.540913,0.351293,99.970581,3.163218
0.243279,274.540851,0.352171,99.970032,3.160655
0.253818,274.540334,0.350414,99.970551,3.168528
0.260313,274.541462,0.351293,99.970612,3.157725
0.267135,274.540272,0.351292,99.970001,3.160472
0.278017,274.540851,0.352171,99.970032,3.160655
0.282074,274.54134,0.351293,99.969505,3.160472
0.301074,274.539691,0.352169,99.969971,3.166148
0.309485,274.540913,0.351293,99.970581,3.163218
0.316287,274.541339,0.352171,99.969505,3.157908
0.325977,274.540911,0.353049,99.970581,3.158092
0.332244,274.54027,0.353048,99.970001,3.163585
0.34164,274.540911,0.353049,99.970581,3.160838
0.348682,274.541337,0.353928,99.969505,3.163768
0.355768,274.540851,0.352171,99.970032,3.157908
0.363859,274.54146,0.35305,99.970612,3.160838
0.379774,274.541339,0.352171,99.969505,3.157908
0.389397,274.541339,0.352171,99.969505,3.160655
0.395193,274.541338,0.35305,99.969505,3.163585
0.402985,274.541399,0.35305,99.970062,3.163585
0.413571,274.541857,0.35305,99.968987,3.160838
0.419236,274.541338,0.35305,99.969505,3.158092
0.427607,274.541185,0.353049,99.968407,3.160838
0.436125,274.540178,0.353048,99.969452,3.160838
0.443766,274.541338,0.35305,99.969505,3.163585
0.451375,274.540849,0.353927,99.970032,3.163768
0.469337,274.541462,0.351293,99.970612,3.160472
0.477784,274.541277,0.35305,99.968956,3.166332
0.484064,274.542529,0.352173,99.970116,3.166148
0.493174,274.540851,0.352171,99.970032,3.166148
0.49975,274.540912,0.352171,99.970581,3.163402
0.510202,274.540851,0.352171,99.970032,3.160655
0.515974,274.541399,0.35305,99.970062,3.163585
0.525186,274.541398,0.353928,99.970062,3.158275
0.541612,274.540911,0.353049,99.970581,3.160838
0.542621,274.540334,0.350414,99.970551,3.163035
0.555684,274.542103,0.351294,99.971191,3.160472
0.563575,274.541338,0.35305,99.969505,3.166332
0.573926,274.54085,0.353049,99.970032,3.160838
0.58057,274.54192,0.351294,99.969536,3.160472
0.586951,274.541339,0.352171,99.969505,3.157908
0.596959,274.542041,0.352172,99.970642,3.157908
0.613831,274.541461,0.352171,99.970612,3.155162
0.620275,274.540974,0.351293,99.97113,3.163218
0.627608,274.540913,0.351293,99.970581,3.157725
0.636606,274.54204,0.35305,99.970642,3.160838
0.64304,274.541401,0.351293,99.970062,3.163218
0.653703,274.541919,0.352172,99.969536,3.160655
0.668574,274.541399,0.35305,99.970062,3.160838
0.677002,274.540973,0.352171,99.97113,3.163402
0.68345,274.540911,0.353049,99.970581,3.160838
0.693319,274.541399,0.35305,99.970062,3.155345
0.699731,274.541462,0.351293,99.970612,3.163218
0.709383,274.541339,0.352171,99.969505,3.166148
0.716061,274.541401,0.351293,99.970062,3.163218
0.725022,274.540179,0.35217,99.969452,3.160655
0.732298,274.540851,0.352171,99.970032,3.160655
0.749353,274.541919,0.352172,99.969536,3.163402
0.755228,274.541401,0.351293,99.970062,3.160472
0.75937,274.541981,0.351294,99.970085,3.160472
0.776664,274.540974,0.351293,99.97113,3.163218
0.783088,274.540763,0.349536,99.969482,3.160105
0.797713,274.540333,0.351292,99.970551,3.163218
0.813608,274.541339,0.352171,99.969505,3.160655
0.819421,274.540758,0.353049,99.969482,3.160838
0.828353,274.540179,0.35217,99.969452,3.157908
0.837878,274.54076,0.351292,99.969482,3.160472
0.843793,274.541402,0.350415,99.970062,3.163035
0.851648,274.541401,0.351293,99.970062,3.165965
0.86006,274.540851,0.352171,99.970032,3.160655
0.876787,274.540912,0.352171,99.970581,3.163402
0.885189,274.54085,0.353049,99.970032,3.152599
0.893089,274.539752,0.352169,99.970528,3.163402
0.899406,274.540272,0.351292,99.970001,3.152232
0.909442,274.540393,0.35217,99.971107,3.157908
0.915406,274.540179,0.35217,99.969452,3.160655
0.926131,274.540852,0.351293,99.970032,3.160472
0.931048,274.540393,0.35217,99.971107,3.160655
0.948788,274.540697,0.353049,99.968925,3.158092
0.956468,274.541399,0.35305,99.970062,3.160838
0.964554,274.54027,0.353048,99.970001,3.158092
0.97337,274.54076,0.351292,99.969482,3.157725
0.981864,274.539753,0.351291,99.970528,3.157725
0.992715,274.54027,0.353048,99.970001,3.163585
1.002871,274.54076,0.351292,99.969482,3.160472
1.016031,274.541339,0.352171,99.969505,3.157908
1.025726,274.54076,0.351292,99.969482,3.160472
1.03046,274.540699,0.351292,99.968925,3.154979
1.048326,274.541341,0.350415,99.969505,3.157542
1.059972,274.541341,0.350415,99.969505,3.157542
1.069165,274.541278,0.352171,99.968956,3.160655
1.076697,274.540271,0.35217,99.970001,3.160655
1.083943,274.541279,0.351293,99.968956,3.163218
1.093172,274.540759,0.352171,99.969482,3.166148
1.110268,274.541858,0.352172,99.968987,3.155162
1.11773,274.541339,0.352171,99.969505,3.157908
1.126524,274.541277,0.35305,99.968956,3.158092
1.130018,274.541339,0.352171,99.969505,3.157908
1.143847,274.540575,0.353049,99.967827,3.160838
1.156195,274.540757,0.353927,99.969482,3.161022
1.173143,274.540852,0.351293,99.970032,3.154979
1.180419,274.540636,0.353049,99.968376,3.158092
1.193644,274.540117,0.353048,99.968895,3.160838
1.199232,274.540637,0.35217,99.968376,3.160655
1.209902,274.540697,0.353049,99.968925,3.155345
1.217842,274.540179,0.35217,99.969452,3.155162
1.225038,274.541337,0.353928,99.969505,3.155529
