family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
wiener,wiener window=81,482.40264247857164,60.82242546277746,467.0364461660437,104.35468357350159,811.6399989565481
wiener,wiener window=41,500.29694230737056,60.665389728235816,471.3432590895306,156.37222605720427,856.104242978435
wiener,wiener window=11,500.8609642580859,64.12719877296388,474.39231630812037,147.313740441578,854.551072337017
kalman_1d,kalman Q=1e-06 R=1e-02,502.23793941521853,72.44797148106046,488.81895672957273,89.72327879729077,867.5513704292403
kalman_1d,kalman Q=1e-06 R=1e-03,504.20620311689737,72.83108122920505,477.38341086188825,144.99864793304985,869.0755593057019
kalman_1d,kalman Q=1e-06 R=1e-04,508.91511192154735,77.05468324856223,474.83379146665317,166.10249068869422,876.5672013398705
kalman_1d,kalman Q=1e-04 R=1e-02,508.91706274521056,77.05760718129585,474.84062407167886,166.08757828303774,876.5689208658109
wiener,wiener window=5,510.60665831151664,83.61831214646224,475.08751880272376,167.3887297989393,878.1090166711515
savgol,savgol window=21 poly=3,510.6644474012091,78.86606258718946,474.39750812352247,171.77114512562403,878.7198492314053
butterworth,butterworth cutoff=10Hz order=4,510.7069539270905,79.0680374792757,474.69199914130394,170.98931016263998,878.7110932806645
butterworth,butterworth cutoff=10Hz order=2,510.80600091362584,79.05578905853203,474.80565209571574,170.975277521828,878.8788421673573
savgol,savgol window=41 poly=2,510.89926135070397,79.43366053963653,474.50174993347133,171.91985962081898,879.1906756204736
savgol,savgol window=7 poly=2,510.9021339471702,79.11447840513873,474.7523401346881,171.38292013818784,879.1004330628216
savgol,savgol window=11 poly=2,510.92034686357624,79.0168887677698,474.78495671253836,171.39188139504154,879.1248102678035
savgol,savgol window=81 poly=3,510.9850715528026,78.85385986689198,475.4019549069154,169.94350062476187,879.0304146990904
moving_average,moving-average window=5,511.03747538928803,79.12769166076038,474.7811290945972,171.70028864377662,879.3744141424041
butterworth,butterworth cutoff=20Hz order=2,511.06142326028316,79.09770358627433,474.88008181606915,171.51163087839728,879.3894583293245
butterworth,butterworth cutoff=5Hz order=4,511.063029966233,78.9861356272396,475.3663972454514,170.21574353396852,879.2201157433451
butterworth,butterworth cutoff=20Hz order=4,511.09426662808823,79.1029125603951,474.8933065346526,171.57046952535356,879.4538223543077
savgol,savgol window=11 poly=3,511.13284328236375,79.13651515883942,474.9154982636989,171.6084641250857,879.5278001772975
butterworth,butterworth cutoff=5Hz order=2,511.1341885028443,79.07392056573268,475.3592423304672,170.40852230399003,879.374336600152
moving_average,moving-average window=11,511.14548907589176,79.20834132038581,474.7768579874405,171.99617666529537,879.6042808752263
kalman_1d,kalman Q=1e-04 R=1e-03,511.15474026606967,78.70150369813938,475.18700246162814,171.12146125970702,879.9655131700246
raw,raw,511.161231941009,79.08946576804004,474.9162622412588,171.7125659431134,879.5858217883789
kalman_1d,kalman Q=1e-02 R=1e-04,511.1629581372249,79.08825068935674,474.9185074038176,171.71205461418765,879.5904586070003
kalman_1d,kalman Q=1e-02 R=1e-03,511.17718518281066,79.07821703729572,474.93704975496877,171.7077430160626,879.6286768939669
kalman_1d,kalman Q=1e-02 R=1e-02,511.26134705111946,79.01252765175984,475.052481618506,171.66923186961665,879.8604955795092
kalman_1d,kalman Q=1e-04 R=1e-04,511.2646608808773,79.01209619842079,475.0519595044438,171.680744089016,879.8676095017305
savgol,savgol window=7 poly=3,511.26603049521134,79.08512431162866,474.9951779460954,171.80825934425195,879.7779068729338
savgol,savgol window=21 poly=2,511.62207800520287,79.28881093297036,475.6403198490255,170.98748871515224,880.3035388360671
savgol,savgol window=41 poly=3,511.6240164688458,78.84638521984282,475.63528474185216,171.21173345894005,880.2976018623812
moving_average,moving-average window=21,511.77386436801663,79.55768554002553,475.02528527770437,173.01456952673948,880.8426967898077
savgol,savgol window=81 poly=2,511.83105792849017,79.63213699886097,474.68542522045146,174.0790099364978,881.0972726406856
moving_average,moving-average window=41,512.3635649329171,80.31952366614195,474.38911596526503,176.12541963755802,882.3083704179523
moving_average,moving-average window=81,512.9180072376026,81.19414833447514,472.6588440288027,181.89560078844286,884.0451564008965
butterworth,butterworth cutoff=2Hz order=4,513.0351734025327,80.15089263447544,477.3617833096835,170.01956179646598,882.6907053393029
butterworth,butterworth cutoff=2Hz order=2,513.0482014396305,80.0156529429723,477.06152964957863,170.96271293166131,882.8181352400669
butterworth,butterworth cutoff=1Hz order=4,515.1496667972116,82.26457139443129,477.51626033969956,174.8998016172597,887.1122132054383
butterworth,butterworth cutoff=1Hz order=2,516.1296743769734,82.04691074267483,479.08320053387433,173.60135994940748,888.6126168753882
median,median size=3,516.4570068567069,88.76617653628352,464.079186422931,208.51598155428863,898.3324907903096
wiener,wiener window=21,520.2804215203893,125.8252061038454,470.5350781052714,182.9111117423567,909.0231931572708
median,median size=5,562.4152281628569,159.80455534825322,477.42340323772504,250.67965015200983,1017.184865533974
median,median size=41,970.7013462192305,563.5918482361424,570.1120275052662,547.3551025133775,2004.241098418215
median,median size=11,1108.3163893855142,599.3801935497107,531.4722518176068,765.9280959129103,2387.0070112204367
median,median size=21,1138.3219931237904,706.9228549126212,534.24111018582,714.5792282308033,2464.2364025731904
