family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
wiener,wiener window=21,758.6007423343847,66.52218867814872,526.4166067512887,542.1581326699871,1149.9354656847845
kalman_1d,kalman Q=1e-06 R=1e-02,785.1289168731679,103.86222139555657,561.7705802439143,538.5664956619844,1246.393913783147
median,median size=3,785.137839875083,52.22834945269317,523.3423729054182,582.9462992754006,1203.36752414813
wiener,wiener window=81,790.2834592805373,57.25640518571905,522.8513523949072,589.8271894177462,1207.9003080232203
wiener,wiener window=5,791.8986474546125,58.46992280337007,530.7783211887653,584.7726991950362,1220.1050584903314
moving_average,moving-average window=41,792.33150001118,54.92174017198658,525.649213283953,590.3098448615004,1222.899256788231
moving_average,moving-average window=21,792.718273073541,56.11223682878104,527.7911859370074,588.803992335289,1224.3034279447354
moving_average,moving-average window=11,793.0835471228298,56.82029898848041,528.2408664332188,588.8247221114887,1225.1595663414232
savgol,savgol window=21 poly=3,793.2528191961683,57.52112335690972,528.4837229641438,588.7667705402421,1225.6493111697562
moving_average,moving-average window=5,793.4551835060544,57.26615248384896,528.554359401484,589.0008532846194,1225.925193372841
savgol,savgol window=11 poly=3,793.7092472949168,57.482227022782844,528.6802142126132,589.2091257932707,1226.4061425985951
moving_average,moving-average window=81,793.7305673488686,53.821641451566244,522.4872774582448,595.0785572928057,1224.1005059559009
raw,raw,793.7640413294354,57.5559888100843,528.955568932575,589.0285795739852,1226.5704997763423
kalman_1d,kalman Q=1e-02 R=1e-04,793.7698439117032,57.563353997289106,528.964749497296,589.0274349887749,1226.5854082760789
savgol,savgol window=7 poly=3,793.7965812514756,57.5509679590391,529.016328690731,589.0183549534671,1226.6339868044147
kalman_1d,kalman Q=1e-02 R=1e-03,793.8180756181108,57.62407334899222,529.0406581132518,589.0183234941067,1226.7089712117277
savgol,savgol window=7 poly=2,793.8296995155698,57.4727778191248,528.950765740818,589.1294926117139,1226.654112349694
butterworth,butterworth cutoff=20Hz order=4,793.8851039822792,57.47112659919513,529.0855069981521,589.0833168719702,1226.7707519706748
butterworth,butterworth cutoff=20Hz order=2,793.924932972451,57.44952949654505,529.0937587782084,589.1316874671427,1226.8306295204338
savgol,savgol window=41 poly=2,794.0538848751074,57.24486856446296,529.0745142434182,589.3426469265386,1226.9875933717294
kalman_1d,kalman Q=1e-04 R=1e-04,794.1342729023179,58.008454752766504,529.5076980219907,588.987147831548,1227.5060025896437
kalman_1d,kalman Q=1e-02 R=1e-02,794.1495588103629,58.00187886433826,529.525300834565,588.9925802444069,1227.5325584647605
savgol,savgol window=11 poly=2,794.158864828488,57.46892821828899,529.4742918823973,589.1032160078129,1227.2892106309193
savgol,savgol window=81 poly=3,794.1652711912368,57.47981333938896,529.4812352526818,589.1045497532795,1227.3318940471113
savgol,savgol window=41 poly=3,794.2468151529097,57.53450854393436,530.1571454213143,588.6010404899667,1227.5888627724657
butterworth,butterworth cutoff=10Hz order=4,794.3365382522808,57.27546391602298,529.398063292457,589.4300194408299,1227.5082230589346
butterworth,butterworth cutoff=10Hz order=2,794.3638993893046,57.26826535306764,529.6509393663276,589.2403863151258,1227.6046788051685
savgol,savgol window=81 poly=2,794.3887000061529,57.21560693372535,529.6532266501553,589.2768793358098,1227.586545447755
savgol,savgol window=21 poly=2,794.9050476361928,57.392686249889174,530.4279728410761,589.2590940751157,1228.6602647619104
kalman_1d,kalman Q=1e-04 R=1e-03,795.2060078017957,59.44526002566351,530.8231195767503,589.1058237934488,1230.2224961288896
butterworth,butterworth cutoff=5Hz order=4,795.2068945027527,57.041782207591,531.5559066810055,588.6837505994437,1229.3006778140461
butterworth,butterworth cutoff=5Hz order=2,795.4371932829375,56.972725833089214,531.871042586637,588.7169362493224,1229.7175788387674
kalman_1d,kalman Q=1e-06 R=1e-03,795.5637365490943,77.48493303243433,545.1152015098778,574.253568685264,1242.6492202159384
wiener,wiener window=41,796.2752254074925,46.878374046483835,522.3982206431978,599.1299956715002,1232.9725207965787
kalman_1d,kalman Q=1e-06 R=1e-04,796.9663859887683,64.3004094633254,534.1453219434189,587.9707924589522,1236.0287063759351
kalman_1d,kalman Q=1e-04 R=1e-02,797.0081589559611,64.28434828326101,534.1956238430961,587.9834721104432,1236.1028321363315
butterworth,butterworth cutoff=2Hz order=4,800.1635731318255,55.78243259210508,537.3161216261658,590.2892929926926,1238.0937491555164
butterworth,butterworth cutoff=2Hz order=2,800.1970291437725,55.81329892588425,537.1914013783606,590.4452213361393,1238.1260770783563
wiener,wiener window=11,802.8757774916539,55.05125751717571,521.9473955706471,607.576982271073,1239.634143734991
butterworth,butterworth cutoff=1Hz order=4,807.4042046002539,54.595283424312136,543.1443896397352,594.9076202544958,1250.5134344490577
butterworth,butterworth cutoff=1Hz order=2,811.2401241506577,54.58302840954094,545.1969147873217,598.2403832474065,1257.0306666777672
median,median size=5,815.4575492519457,92.49651004976805,533.477369355772,609.7682401091812,1285.9076155395176
median,median size=11,866.1225155447604,231.1788954251664,516.6584385739257,655.5826325444693,1437.8104767586447
median,median size=41,877.8667104503339,221.41249112862636,529.8169815973454,664.0184004228985,1421.2698784186275
median,median size=21,945.3550474704458,212.5461877126278,509.84144038232137,767.1909733147,1599.6705609988019
