family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
wiener,wiener window=81,587.9917100996706,40.8717803816941,388.31666646963,439.6292929915837,815.508088052502
kalman_1d,kalman Q=1e-06 R=1e-02,640.4908964595113,42.46585781444341,435.0010129205376,468.1873109405019,986.1881371823301
wiener,wiener window=11,642.5938675771314,38.89578358296065,395.8169796326356,504.72063094518063,946.7479948223546
kalman_1d,kalman Q=1e-06 R=1e-03,644.4877313112125,37.14439074298475,406.33198103538024,498.8777918838134,967.5906916901525
wiener,wiener window=41,649.9596873001813,36.21375565173115,394.3214879087663,515.4092773615575,962.0757157668997
kalman_1d,kalman Q=1e-06 R=1e-04,650.0774887032687,37.34794957936925,399.44019573441955,511.52067603628103,968.5558489802963
kalman_1d,kalman Q=1e-04 R=1e-02,650.0834697034225,37.347402296612934,399.4450165178794,511.5245525899675,968.5657984144448
savgol,savgol window=81 poly=3,650.6454125355289,37.772070321381086,395.93601936861353,514.924647034595,965.9575205221665
wiener,wiener window=5,650.7577363799825,37.409224327191374,395.8112615519205,515.188923233326,964.8603903593178
kalman_1d,kalman Q=1e-04 R=1e-03,651.4451477716605,37.63489020610012,397.5615400838869,514.6933236797844,968.3537185629757
savgol,savgol window=41 poly=2,651.767424150481,37.77175578088406,396.5125347537595,515.8990981113758,967.8862764571593
kalman_1d,kalman Q=1e-04 R=1e-04,651.8651065226024,37.75156121567234,396.83980918452653,515.7723359912702,968.3060482935327
kalman_1d,kalman Q=1e-02 R=1e-02,651.8685342268167,37.751538930416146,396.84061066740463,515.7760530971995,968.3117449310944
savgol,savgol window=21 poly=2,651.9354131168133,37.7705777660855,396.4914334563085,516.127609731128,968.1514630982632
kalman_1d,kalman Q=1e-02 R=1e-03,652.013678075168,37.78485195008079,396.62028544391984,516.1264288278626,968.3626432277833
moving_average,moving-average window=21,652.0310115184155,37.768450121829204,395.6631644147194,516.8835889080381,968.1567645814705
kalman_1d,kalman Q=1e-02 R=1e-04,652.0378878440579,37.79025066008658,396.5835327699685,516.1848561076541,968.3731790829354
raw,raw,652.0408309600496,37.79090682930205,396.5790580638149,516.1919636194546,968.374469595071
moving_average,moving-average window=11,652.0441353870118,37.79204061317466,396.05136026627883,516.6010416076589,968.2876225644363
savgol,savgol window=7 poly=3,652.059473153626,37.793013846884634,396.5990084064157,516.2000301867498,968.4118317501667
savgol,savgol window=11 poly=3,652.0622531817845,37.781348343528514,396.5906999769246,516.210779075431,968.395405373829
savgol,savgol window=11 poly=2,652.0740278492265,37.80591884261599,396.48191715151285,516.3074081086191,968.4348768714938
butterworth,butterworth cutoff=2Hz order=4,652.0834803354322,37.71941544813661,397.056487740841,515.8839564936364,968.3655195049806
moving_average,moving-average window=5,652.0891825779321,37.793173125110634,396.3800475000477,516.405689399479,968.4214580635404
savgol,savgol window=7 poly=2,652.1272575305975,37.78858662371667,396.5827643949375,516.2984541137323,968.5123215268152
butterworth,butterworth cutoff=20Hz order=2,652.1331645241354,37.79211908090759,396.58982408029544,516.3002338209793,968.5289821892019
butterworth,butterworth cutoff=10Hz order=4,652.151986173019,37.79630545090693,396.44783995986324,516.4327280051431,968.5410449465745
butterworth,butterworth cutoff=20Hz order=4,652.1557776149222,37.792896614747015,396.61750547775597,516.3074758228792,968.5720815959953
butterworth,butterworth cutoff=10Hz order=2,652.1788369482177,37.79438273414834,396.5651388840713,516.37671386182,968.6027326227762
savgol,savgol window=21 poly=3,652.2129205197083,37.81058162421737,396.74447360173775,516.2808114549347,968.7154767580661
butterworth,butterworth cutoff=5Hz order=4,652.2217858842414,37.785442928803285,396.8927634605279,516.1798645795561,968.7166472878605
savgol,savgol window=41 poly=3,652.2239319719635,37.8017480693506,396.70915160235944,516.3225099826716,968.7124711397943
butterworth,butterworth cutoff=5Hz order=2,652.2710531319096,37.782513146969805,396.8986190406105,516.2378276122022,968.7929764410875
moving_average,moving-average window=41,652.377158585716,37.735597055461106,394.74839339652203,518.0209336215139,968.4927910233013
butterworth,butterworth cutoff=2Hz order=2,652.5235556605069,37.715710330078416,397.73012605598825,515.9217602637206,969.189498325293
moving_average,moving-average window=81,653.7490155653713,37.6970013423207,392.75958067634923,521.2548543941127,970.227517170729
savgol,savgol window=81 poly=2,653.9637693038311,37.79165436974193,397.72057176611514,517.7439031182374,971.7057269446067
butterworth,butterworth cutoff=1Hz order=2,654.2458773260939,37.73253784260872,399.2856830780348,516.8992811709585,971.9913248173607
butterworth,butterworth cutoff=1Hz order=4,655.0833092234643,37.70470760312444,400.22505780025017,517.2353431045816,973.6469129501108
median,median size=3,656.7884518907751,44.28792843251673,403.0338917856028,516.6946216135682,982.7471885590745
wiener,wiener window=21,665.4024263357236,59.67223551367512,404.76888521397825,524.7492380603347,1003.2771916700353
median,median size=5,679.5552355948751,66.63039214621233,403.3641625066681,542.8195477984764,1040.2063016220936
median,median size=41,704.4565655607979,314.95525461640807,431.8904346216581,458.8386348527592,1188.955536470346
median,median size=11,778.225756817037,308.33553690702684,459.9075737238855,546.8542300148316,1330.015063485801
median,median size=21,788.1154538128617,342.5544956987602,442.7445560701967,554.7608891093763,1375.640384727799
