family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
wiener,wiener window=81,362.92659618533537,101.54740087975526,132.39244634532892,322.29812246418527,500.74925861965636
wiener,wiener window=11,404.61635327515097,112.56075645867084,139.54242762401864,362.729072912455,572.1435076324607
median,median size=5,431.9569775038629,127.36170514650294,110.5020617755272,397.68721480556246,659.2032151299429
median,median size=3,457.32941202836133,104.80030993683013,116.78003712785541,429.5689805744448,703.9003706404444
kalman_1d,kalman Q=1e-06 R=1e-03,469.27143439620664,113.6539928686955,130.89620050361543,436.078701313184,735.3576554439601
kalman_1d,kalman Q=1e-04 R=1e-02,470.43566085183477,111.60537594169963,132.0658711948784,437.50720762925977,732.6986413501429
kalman_1d,kalman Q=1e-06 R=1e-04,470.4419343483042,111.55412102556976,132.0592178204693,437.5290329386525,732.7070106135911
butterworth,butterworth cutoff=1Hz order=2,470.59377098727305,125.83695722988236,131.23667450246094,434.05125590497016,731.6154904929144
butterworth,butterworth cutoff=1Hz order=4,471.4996133798906,123.37043211557668,131.56418664007836,435.64031802708166,733.0355601720183
kalman_1d,kalman Q=1e-04 R=1e-03,473.2938962419485,110.76650348173142,132.2938972252856,440.72238277997803,736.1565133385456
butterworth,butterworth cutoff=2Hz order=2,474.00125634514205,117.53590819728187,132.80249578124906,439.57479274326516,737.1303640477347
moving_average,moving-average window=81,474.27938291788826,109.92739526987977,133.23185578357092,441.70824469848674,737.3580808914694
kalman_1d,kalman Q=1e-04 R=1e-04,474.49771951582426,110.90178019285622,132.91942297661268,441.7932864715551,737.8230934229189
kalman_1d,kalman Q=1e-02 R=1e-02,474.49955209519607,110.92757055256945,132.92985161651401,441.78564211510763,737.8277278159799
savgol,savgol window=81 poly=2,474.50793009432726,112.99295618825245,133.0918958992453,441.22206973381003,737.7850489126238
butterworth,butterworth cutoff=5Hz order=4,474.5443105236463,113.22528646437463,133.2756943857916,441.14615088585794,737.8876889675646
savgol,savgol window=21 poly=2,474.68135687097197,111.9844338852883,133.19774260894792,441.633602086774,738.0660380857374
butterworth,butterworth cutoff=5Hz order=2,474.6953044390266,113.40273079275657,133.41430488210707,441.2211191205946,738.1611169070603
savgol,savgol window=41 poly=3,474.8490300989093,111.77845331151799,132.97122423488065,441.9341945206737,738.3384013777188
savgol,savgol window=11 poly=2,474.93871153247136,111.47849189153887,133.1066747351431,442.0655366556694,738.4861091430172
butterworth,butterworth cutoff=2Hz order=4,474.9528427141767,117.29329152517474,133.12624685523568,440.5676894232107,738.7718369742663
kalman_1d,kalman Q=1e-02 R=1e-03,474.96530876372856,111.08359224646509,133.35773833553472,442.11785045242874,738.54267512405
butterworth,butterworth cutoff=10Hz order=2,474.98462827376403,112.36911397223292,133.89875636958325,441.6499772038261,738.6310931529438
butterworth,butterworth cutoff=10Hz order=4,475.0296228106674,112.36170782748471,133.99708347096828,441.67043231691457,738.7117845711568
kalman_1d,kalman Q=1e-02 R=1e-04,475.04895203425986,111.11121991212491,133.43601863469624,442.177150664085,738.6738224699546
raw,raw,475.05916483651225,111.11459271807121,133.4455780264839,442.1843903683612,738.6898514177358
savgol,savgol window=7 poly=3,475.12831378405406,110.92821704638791,133.3591667286022,442.33152484493,738.7983974713311
savgol,savgol window=21 poly=3,475.145599790979,111.07196898794545,133.6431709112245,442.2282912418238,738.8441133297077
savgol,savgol window=11 poly=3,475.1548547379074,111.4687300567916,134.0575844026092,442.01292092501694,738.8911929503182
savgol,savgol window=7 poly=2,475.18159128238824,111.86126319779807,133.99096017768508,441.96269648027715,738.9521843621475
butterworth,butterworth cutoff=20Hz order=2,475.2291190097782,111.5693131718192,133.80000625863076,442.1454084782163,739.0151839241665
savgol,savgol window=81 poly=3,475.2898833430674,110.56748801379075,133.4955013344914,442.55423953007124,739.085896161145
butterworth,butterworth cutoff=20Hz order=4,475.29980579498437,111.50333724741547,133.77941410325738,442.24425325110576,739.1337989665086
moving_average,moving-average window=5,475.3412196967626,111.25994440032862,133.75001775426105,442.35894098071145,739.1940908936255
moving_average,moving-average window=11,475.4910020111279,111.00035372659946,133.52505867415545,442.652994084734,739.4355645076031
savgol,savgol window=41 poly=2,475.49149678844435,111.38131260835358,134.0387396611188,442.40251241354196,739.472233943058
moving_average,moving-average window=21,476.0583100418378,110.80987149552203,133.45338859051216,443.3315689331702,740.4094960512083
moving_average,moving-average window=41,476.3467345064481,110.2485615453486,133.50348569915212,443.76602557914947,740.8991907580227
kalman_1d,kalman Q=1e-06 R=1e-02,477.2773495002126,114.32365294430805,121.6878777938584,447.11948193010386,759.477206436804
wiener,wiener window=41,479.5233910024851,124.1744462960638,125.72230360101774,445.7771772790097,753.2764946874257
wiener,wiener window=21,487.8115147516428,105.40581906093094,126.25809231448362,459.24784306242947,765.9160570166551
wiener,wiener window=5,487.83553359049563,112.61934152634403,135.05103493126236,455.0402286740055,766.7713355634769
median,median size=41,490.10294281456027,464.97880135968205,121.86596956974181,95.62580353875335,1101.127300154872
median,median size=11,789.3961260071853,349.7921154876861,112.77571391921867,698.6224717598283,1538.7878039695684
median,median size=21,1064.0578319783774,506.0205808482966,105.95644982838081,930.0190709293239,2216.239410142566
